['1stgeneration', 202591536, 'impression', '2', 241527066L, datetime.datetime(2013, 5, 29, 2, 31, 54), 0.196092188133821, False, 'best']
['1stgeneration', 202591536, 'impression', '3', 241526790L, datetime.datetime(2013, 5, 29, 2, 31, 54), 0.0779734788688544, False, 'best']
['1stgeneration', 202591536, 'impression', '1', 241523716L, datetime.datetime(2013, 5, 29, 2, 31, 54), 0.237035470782413, False, 'best']

['1stgeneration', 202591536, 'impression', '6', 241526790L, datetime.datetime(2013, 5, 29, 20, 18, 53), 0.0779734788688544, False, 'best']
['1stgeneration', 202591536, 'impression', '8', 241588539L, datetime.datetime(2013, 5, 29, 20, 18, 53), 0.0634134893694548, False, 'best']
['1stgeneration', 202591536, 'impression', '4', 241543494L, datetime.datetime(2013, 5, 29, 20, 18, 53), 0.129953354767804, False, 'best']
['1stgeneration', 202591536, 'impression', '1', 241523716L, datetime.datetime(2013, 5, 29, 20, 18, 53), 0.237035470782413, False, 'best']
['1stgeneration', 202591536, 'impression', '5', 241615674L, datetime.datetime(2013, 5, 29, 20, 18, 53), 0.121922455527145, False, 'best']
['1stgeneration', 202591536, 'impression', '7', 241613690L, datetime.datetime(2013, 5, 29, 20, 18, 53), 0.0746110643129951, False, 'best']
['1stgeneration', 202591536, 'impression', '2', 241527066L, datetime.datetime(2013, 5, 29, 20, 18, 53), 0.196092188133821, False, 'best']
['1stgeneration', 202591536, 'impression', '3', 241581773L, datetime.datetime(2013, 5, 29, 20, 18, 53), 0.159972442041962, False, 'best']
['1stgeneration', 202591536, 'shortlist', '3', 241581773L, datetime.datetime(2013, 5, 29, 20, 19, 5), 0.159972442041962, False, 'best']
['1stgeneration', 202591536, 'shortlist', '4', 241543494L, datetime.datetime(2013, 5, 29, 20, 19, 6), 0.129953354767804, False, 'best']
['1stgeneration', 202591536, 'shortlist', '7', 241613690L, datetime.datetime(2013, 5, 29, 20, 19, 23), 0.0746110643129951, False, 'best']
['1stgeneration', 202591536, 'shortlist', '8', 241588539L, datetime.datetime(2013, 5, 29, 20, 19, 23), 0.0634134893694548, False, 'best']
['1stgeneration', 202591536, 'expand_tile', '7', 241613690L, datetime.datetime(2013, 5, 29, 20, 19, 36), 0.0746110643129951, False, 'best']
['1stgeneration', 202591536, 'expand_tile', '5', 241615674L, datetime.datetime(2013, 5, 29, 20, 20), 0.121922455527145, False, 'best']
['1stgeneration', 202591536, 'expand_tile', '5', 241615674L, datetime.datetime(2013, 5, 29, 20, 20, 14), 0.121922455527145, False, 'best']
['1stgeneration', 202591536, 'shortlist', '5', 241615674L, datetime.datetime(2013, 5, 29, 20, 20, 14), 0.121922455527145, False, 'best']
['1stgeneration', 202591536, 'expand_tile', '5', 241615674L, datetime.datetime(2013, 5, 29, 20, 20, 22), 0.121922455527145, False, 'best']
['1stgeneration', 202591536, 'send_message', '5', 241615674L, datetime.datetime(2013, 5, 29, 20, 20, 25), 0.121922455527145, False, 'best']
['1stgeneration', 202591536, 'expand_tile', '5', 241615674L, datetime.datetime(2013, 5, 29, 20, 21, 15), 0.121922455527145, False, 'best']
['1stgeneration', 202591536, 'expand_tile', '4', 241543494L, datetime.datetime(2013, 5, 29, 20, 21, 19), 0.129953354767804, False, 'best']
['1stgeneration', 202591536, 'send_message', '4', 241543494L, datetime.datetime(2013, 5, 29, 20, 21, 22), 0.129953354767804, False, 'best']
['1stgeneration', 202591536, 'expand_tile', '4', 241543494L, datetime.datetime(2013, 5, 29, 20, 21, 31), 0.129953354767804, False, 'best']
['1stgeneration', 202591536, 'expand_tile', '3', 241581773L, datetime.datetime(2013, 5, 29, 20, 21, 34), 0.159972442041962, False, 'best']
['1stgeneration', 202591536, 'send_message', '3', 241581773L, datetime.datetime(2013, 5, 29, 20, 21, 38), 0.159972442041962, False, 'best']
['1stgeneration', 202591536, 'expand_tile', '3', 241581773L, datetime.datetime(2013, 5, 29, 20, 21, 52), 0.159972442041962, False, 'best']
['1stgeneration', 202591536, 'expand_tile', '8', 241588539L, datetime.datetime(2013, 5, 29, 20, 21, 58), 0.0634134893694548, False, 'best']
['1stgeneration', 202591536, 'send_message', '8', 241588539L, datetime.datetime(2013, 5, 29, 20, 22, 3), 0.0634134893694548, False, 'best']
['1stgeneration', 202591536, 'expand_tile', '8', 241588539L, datetime.datetime(2013, 5, 29, 20, 22, 11), 0.0634134893694548, False, 'best']
['1stgeneration', 202591536, 'expand_tile', '7', 241613690L, datetime.datetime(2013, 5, 29, 20, 22, 15), 0.0746110643129951, False, 'best']

