['4mrmikeb', 202584370, 'impression', '4', 241359634L, datetime.datetime(2013, 5, 27, 2, 53, 32), 0.00338827348367718, False, 'best']
['4mrmikeb', 202584370, 'impression', '1', 241359276L, datetime.datetime(2013, 5, 27, 2, 53, 32), 0.0407503307298588, True, 'best']
['4mrmikeb', 202584370, 'impression', '3', 241359399L, datetime.datetime(2013, 5, 27, 2, 53, 32), 0.00634298301472521, False, 'best']
['4mrmikeb', 202584370, 'impression', '2', 241360558L, datetime.datetime(2013, 5, 27, 2, 53, 32), 0.0151669350452151, False, 'best']
['4mrmikeb', 202584370, 'shortlist', '1', 241359276L, datetime.datetime(2013, 5, 27, 2, 53, 38), 0.0407503307298588, True, 'best']
['4mrmikeb', 202584370, 'view_full_application_via_name', '4', 241359634L, datetime.datetime(2013, 5, 27, 2, 53, 49), 0.00338827348367718, False, 'best']
['4mrmikeb', 202584370, 'impression', '1', 241359276L, datetime.datetime(2013, 5, 27, 2, 54, 10), 0.0407503307298588, True, 'best']
['4mrmikeb', 202584370, 'impression', '2', 241360558L, datetime.datetime(2013, 5, 27, 2, 54, 10), 0.0151669350452151, False, 'best']
['4mrmikeb', 202584370, 'impression', '4', 241359634L, datetime.datetime(2013, 5, 27, 2, 54, 10), 0.00338827348367718, False, 'best']
['4mrmikeb', 202584370, 'impression', '3', 241359399L, datetime.datetime(2013, 5, 27, 2, 54, 10), 0.00634298301472521, False, 'best']
['4mrmikeb', 202584370, 'view_full_application_via_name', '2', 241360558L, datetime.datetime(2013, 5, 27, 2, 54, 13), 0.0151669350452151, False, 'best']
['4mrmikeb', 202584370, 'impression', '3', 241359399L, datetime.datetime(2013, 5, 27, 2, 54, 36), 0.00634298301472521, False, 'best']
['4mrmikeb', 202584370, 'impression', '1', 241359276L, datetime.datetime(2013, 5, 27, 2, 54, 36), 0.0407503307298588, True, 'best']
['4mrmikeb', 202584370, 'impression', '4', 241359634L, datetime.datetime(2013, 5, 27, 2, 54, 36), 0.00338827348367718, False, 'best']
['4mrmikeb', 202584370, 'impression', '2', 241360558L, datetime.datetime(2013, 5, 27, 2, 54, 36), 0.0151669350452151, False, 'best']
['4mrmikeb', 202584370, 'view_full_application_via_name', '3', 241359399L, datetime.datetime(2013, 5, 27, 2, 54, 57), 0.00634298301472521, False, 'best']

['4mrmikeb', 202584370, 'impression', '1', 241359276L, datetime.datetime(2013, 5, 27, 3, 35, 42), 0.0407503307298588, True, 'best']
['4mrmikeb', 202584370, 'impression', '3', 241359399L, datetime.datetime(2013, 5, 27, 3, 35, 42), 0.00634298301472521, False, 'best']
['4mrmikeb', 202584370, 'impression', '5', 241359634L, datetime.datetime(2013, 5, 27, 3, 35, 42), 0.00338827348367718, False, 'best']
['4mrmikeb', 202584370, 'impression', '2', 241360558L, datetime.datetime(2013, 5, 27, 3, 35, 42), 0.0151669350452151, False, 'best']
['4mrmikeb', 202584370, 'impression', '4', 241361365L, datetime.datetime(2013, 5, 27, 3, 35, 42), 0.00409961491174688, False, 'best']
['4mrmikeb', 202584370, 'impression', '4', 241359399L, datetime.datetime(2013, 5, 27, 3, 52, 46), 0.00634298301472521, False, 'best']
['4mrmikeb', 202584370, 'impression', '3', 241360558L, datetime.datetime(2013, 5, 27, 3, 52, 46), 0.0151669350452151, False, 'best']
['4mrmikeb', 202584370, 'impression', '6', 241359634L, datetime.datetime(2013, 5, 27, 3, 52, 46), 0.00338827348367718, False, 'best']
['4mrmikeb', 202584370, 'impression', '1', 241359276L, datetime.datetime(2013, 5, 27, 3, 52, 46), 0.0407503307298588, True, 'best']
['4mrmikeb', 202584370, 'impression', '2', 241363736L, datetime.datetime(2013, 5, 27, 3, 52, 46), 0.0152911394185479, False, 'best']
['4mrmikeb', 202584370, 'impression', '5', 241361365L, datetime.datetime(2013, 5, 27, 3, 52, 46), 0.00409961491174688, False, 'best']
['4mrmikeb', 202584370, 'view_full_application_via_name', '1', 241359276L, datetime.datetime(2013, 5, 27, 3, 52, 49), 0.0407503307298588, True, 'best']
['4mrmikeb', 202584370, 'impression', '5', 241359634L, datetime.datetime(2013, 5, 27, 3, 55), 0.00338827348367718, False, 'best']
['4mrmikeb', 202584370, 'impression', '2', 241360558L, datetime.datetime(2013, 5, 27, 3, 55), 0.0151669350452151, False, 'best']
['4mrmikeb', 202584370, 'impression', '4', 241361365L, datetime.datetime(2013, 5, 27, 3, 55), 0.00409961491174688, False, 'best']
['4mrmikeb', 202584370, 'impression', '1', 241363736L, datetime.datetime(2013, 5, 27, 3, 55), 0.0152911394185479, False, 'best']
['4mrmikeb', 202584370, 'impression', '3', 241359399L, datetime.datetime(2013, 5, 27, 3, 55), 0.00634298301472521, False, 'best']
['4mrmikeb', 202584370, 'view_full_application_via_name', '1', 241363736L, datetime.datetime(2013, 5, 27, 3, 55, 13), 0.0152911394185479, False, 'best']
['4mrmikeb', 202584370, 'impression', '2', 241360558L, datetime.datetime(2013, 5, 27, 3, 57, 38), 0.0151669350452151, False, 'best']
['4mrmikeb', 202584370, 'impression', '3', 241359399L, datetime.datetime(2013, 5, 27, 3, 57, 38), 0.00634298301472521, False, 'best']
['4mrmikeb', 202584370, 'impression', '4', 241361365L, datetime.datetime(2013, 5, 27, 3, 57, 38), 0.00409961491174688, False, 'best']
['4mrmikeb', 202584370, 'impression', '5', 241359634L, datetime.datetime(2013, 5, 27, 3, 57, 38), 0.00338827348367718, False, 'best']
['4mrmikeb', 202584370, 'impression', '1', 241363736L, datetime.datetime(2013, 5, 27, 3, 57, 38), 0.0152911394185479, False, 'best']
['4mrmikeb', 202584370, 'shortlist', '1', 241363736L, datetime.datetime(2013, 5, 27, 3, 57, 41), 0.0152911394185479, False, 'best']
['4mrmikeb', 202584370, 'hide', '2', 241360558L, datetime.datetime(2013, 5, 27, 3, 57, 46), 0.0151669350452151, False, 'best']
['4mrmikeb', 202584370, 'hide', '3', 241359399L, datetime.datetime(2013, 5, 27, 3, 57, 51), 0.00634298301472521, False, 'best']
['4mrmikeb', 202584370, 'hide', '4', 241361365L, datetime.datetime(2013, 5, 27, 3, 57, 52), 0.00409961491174688, False, 'best']
['4mrmikeb', 202584370, 'impression', '1', 241363736L, datetime.datetime(2013, 5, 27, 4, 22, 19), 0.0152911394185479, False, 'best']
['4mrmikeb', 202584370, 'impression', '2', 241359634L, datetime.datetime(2013, 5, 27, 4, 22, 19), 0.00338827348367718, False, 'best']

['4mrmikeb', 202584370, 'impression', '1', 241363736L, datetime.datetime(2013, 5, 27, 4, 52, 59), 0.0152911394185479, False, 'best']
['4mrmikeb', 202584370, 'impression', '2', 241359634L, datetime.datetime(2013, 5, 27, 4, 52, 59), 0.00338827348367718, False, 'best']
['4mrmikeb', 202584370, 'impression', '3', 241366941L, datetime.datetime(2013, 5, 27, 4, 52, 59), 0.00239595819198476, False, 'best']

['4mrmikeb', 202584370, 'impression', '3', 241401918L, datetime.datetime(2013, 5, 27, 16, 11, 8), 0.00752786814221508, False, 'best']
['4mrmikeb', 202584370, 'impression', '1', 241363736L, datetime.datetime(2013, 5, 27, 16, 11, 8), 0.0152911394185479, False, 'best']
['4mrmikeb', 202584370, 'impression', '13', 241373364L, datetime.datetime(2013, 5, 27, 16, 11, 8), 0.00964015442086772, False, 'best']
['4mrmikeb', 202584370, 'impression', '8', 241359634L, datetime.datetime(2013, 5, 27, 16, 11, 8), 0.00338827348367718, False, 'best']
['4mrmikeb', 202584370, 'impression', '11', 241385885L, datetime.datetime(2013, 5, 27, 16, 11, 8), 0.00265186348303824, False, 'best']
['4mrmikeb', 202584370, 'impression', '4', 241372561L, datetime.datetime(2013, 5, 27, 16, 11, 8), 0.00645824452319687, False, 'best']
['4mrmikeb', 202584370, 'impression', '7', 241384171L, datetime.datetime(2013, 5, 27, 16, 11, 8), 0.00415579401672504, False, 'best']
['4mrmikeb', 202584370, 'impression', '12', 241366941L, datetime.datetime(2013, 5, 27, 16, 11, 8), 0.00239595819198476, False, 'best']
['4mrmikeb', 202584370, 'impression', '9', 241400752L, datetime.datetime(2013, 5, 27, 16, 11, 8), 0.00328566168584232, False, 'best']
['4mrmikeb', 202584370, 'impression', '6', 241395620L, datetime.datetime(2013, 5, 27, 16, 11, 8), 0.00443556844322824, False, 'best']
['4mrmikeb', 202584370, 'impression', '2', 241375753L, datetime.datetime(2013, 5, 27, 16, 11, 8), 0.011948283909142, False, 'best']
['4mrmikeb', 202584370, 'impression', '10', 241372471L, datetime.datetime(2013, 5, 27, 16, 11, 8), 0.00327620711922896, False, 'best']
['4mrmikeb', 202584370, 'impression', '5', 241398200L, datetime.datetime(2013, 5, 27, 16, 11, 8), 0.00604277887728797, False, 'best']

['4mrmikeb', 202584370, 'impression', '2', 241439599L, datetime.datetime(2013, 5, 28, 2, 21, 1), 0.0151515877918398, False, 'best']
['4mrmikeb', 202584370, 'impression', '11', 241400752L, datetime.datetime(2013, 5, 28, 2, 21, 1), 0.00328566168584232, False, 'best']
['4mrmikeb', 202584370, 'impression', '14', 241366941L, datetime.datetime(2013, 5, 28, 2, 21, 1), 0.00239595819198476, False, 'best']
['4mrmikeb', 202584370, 'impression', '9', 241384171L, datetime.datetime(2013, 5, 28, 2, 21, 1), 0.00415579401672504, False, 'best']
['4mrmikeb', 202584370, 'impression', '8', 241395620L, datetime.datetime(2013, 5, 28, 2, 21, 1), 0.00443556844322824, False, 'best']
['4mrmikeb', 202584370, 'impression', '1', 241363736L, datetime.datetime(2013, 5, 28, 2, 21, 1), 0.0152911394185479, False, 'best']
['4mrmikeb', 202584370, 'impression', '15', 241373364L, datetime.datetime(2013, 5, 28, 2, 21, 1), 0.00964015442086772, False, 'best']
['4mrmikeb', 202584370, 'impression', '12', 241372471L, datetime.datetime(2013, 5, 28, 2, 21, 1), 0.00327620711922896, False, 'best']
['4mrmikeb', 202584370, 'impression', '7', 241398200L, datetime.datetime(2013, 5, 28, 2, 21, 1), 0.00604277887728797, False, 'best']
['4mrmikeb', 202584370, 'impression', '5', 241401918L, datetime.datetime(2013, 5, 28, 2, 21, 1), 0.00752786814221508, False, 'best']
['4mrmikeb', 202584370, 'impression', '6', 241372561L, datetime.datetime(2013, 5, 28, 2, 21, 1), 0.00645824452319687, False, 'best']
['4mrmikeb', 202584370, 'impression', '10', 241359634L, datetime.datetime(2013, 5, 28, 2, 21, 1), 0.00338827348367718, False, 'best']
