['911hiring', 202586934, 'impression', '7', 241437969L, datetime.datetime(2013, 5, 28, 5, 40, 41), 0.0410042394587153, False, 'time']
['911hiring', 202586934, 'impression', '1', 241455282L, datetime.datetime(2013, 5, 28, 5, 40, 41), 0.0502305695612309, False, 'time']
['911hiring', 202586934, 'impression', '19', 241425864L, datetime.datetime(2013, 5, 28, 5, 40, 41), 0.0184496750090659, False, 'time']
['911hiring', 202586934, 'impression', '13', 241431161L, datetime.datetime(2013, 5, 28, 5, 40, 41), 0.0189235015898427, False, 'time']
['911hiring', 202586934, 'impression', '8', 241436609L, datetime.datetime(2013, 5, 28, 5, 40, 41), 0.0123223049633228, False, 'time']
['911hiring', 202586934, 'impression', '6', 241440238L, datetime.datetime(2013, 5, 28, 5, 40, 41), 0.0883893163657579, False, 'time']
['911hiring', 202586934, 'impression', '10', 241435817L, datetime.datetime(2013, 5, 28, 5, 40, 41), 0.00668555271022304, False, 'time']
['911hiring', 202586934, 'impression', '15', 241428730L, datetime.datetime(2013, 5, 28, 5, 40, 41), 0.0352965160064066, False, 'time']
['911hiring', 202586934, 'impression', '3', 241447503L, datetime.datetime(2013, 5, 28, 5, 40, 41), 0.0582990489850316, False, 'time']
['911hiring', 202586934, 'impression', '4', 241441880L, datetime.datetime(2013, 5, 28, 5, 40, 41), 0.0468611741970011, False, 'time']
['911hiring', 202586934, 'impression', '12', 241433008L, datetime.datetime(2013, 5, 28, 5, 40, 41), 0.0317466472528042, False, 'time']
['911hiring', 202586934, 'impression', '14', 241430446L, datetime.datetime(2013, 5, 28, 5, 40, 41), 0.0275541190212872, False, 'time']
['911hiring', 202586934, 'impression', '5', 241440828L, datetime.datetime(2013, 5, 28, 5, 40, 41), 0.136626551608095, False, 'time']
['911hiring', 202586934, 'impression', '2', 241448967L, datetime.datetime(2013, 5, 28, 5, 40, 41), 0.0368761732163326, False, 'time']
['911hiring', 202586934, 'impression', '17', 241427540L, datetime.datetime(2013, 5, 28, 5, 40, 41), 0.057186001785231, False, 'time']
['911hiring', 202586934, 'impression', '16', 241428600L, datetime.datetime(2013, 5, 28, 5, 40, 41), 0.0121260026834346, False, 'time']
['911hiring', 202586934, 'impression', '20', 241425739L, datetime.datetime(2013, 5, 28, 5, 40, 41), 0.00862680174141351, False, 'time']
['911hiring', 202586934, 'impression', '18', 241427086L, datetime.datetime(2013, 5, 28, 5, 40, 41), 0.00877725855193484, False, 'time']
['911hiring', 202586934, 'impression', '9', 241436337L, datetime.datetime(2013, 5, 28, 5, 40, 41), 0.0126507523472296, False, 'time']
['911hiring', 202586934, 'impression', '11', 241433079L, datetime.datetime(2013, 5, 28, 5, 40, 41), 0.0416605479952223, False, 'time']

['911hiring', 202586934, 'impression', '13', 241440238L, datetime.datetime(2013, 5, 28, 23, 43, 2), 0.0883893163657579, False, 'time']
['911hiring', 202586934, 'impression', '2', 241506751L, datetime.datetime(2013, 5, 28, 23, 43, 2), 0.00813932522012584, False, 'time']
['911hiring', 202586934, 'impression', '5', 241468296L, datetime.datetime(2013, 5, 28, 23, 43, 2), 0.0218178984846775, False, 'time']
['911hiring', 202586934, 'impression', '17', 241435817L, datetime.datetime(2013, 5, 28, 23, 43, 2), 0.00668555271022304, False, 'time']
['911hiring', 202586934, 'impression', '11', 241441880L, datetime.datetime(2013, 5, 28, 23, 43, 2), 0.0468611741970011, False, 'time']
['911hiring', 202586934, 'impression', '12', 241440828L, datetime.datetime(2013, 5, 28, 23, 43, 2), 0.136626551608095, False, 'time']
['911hiring', 202586934, 'impression', '3', 241500181L, datetime.datetime(2013, 5, 28, 23, 43, 2), 0.0231494047644364, False, 'time']
['911hiring', 202586934, 'impression', '1', 241507003L, datetime.datetime(2013, 5, 28, 23, 43, 2), 0.0102702265050941, False, 'time']
['911hiring', 202586934, 'impression', '19', 241433008L, datetime.datetime(2013, 5, 28, 23, 43, 2), 0.0317466472528042, False, 'time']
['911hiring', 202586934, 'impression', '16', 241436337L, datetime.datetime(2013, 5, 28, 23, 43, 2), 0.0126507523472296, False, 'time']
['911hiring', 202586934, 'impression', '18', 241433079L, datetime.datetime(2013, 5, 28, 23, 43, 2), 0.0416605479952223, False, 'time']
['911hiring', 202586934, 'impression', '15', 241436609L, datetime.datetime(2013, 5, 28, 23, 43, 2), 0.0123223049633228, False, 'time']
['911hiring', 202586934, 'impression', '4', 241475190L, datetime.datetime(2013, 5, 28, 23, 43, 2), 0.0168767447595703, False, 'time']
['911hiring', 202586934, 'impression', '20', 241431161L, datetime.datetime(2013, 5, 28, 23, 43, 2), 0.0189235015898427, False, 'time']
['911hiring', 202586934, 'impression', '7', 241458458L, datetime.datetime(2013, 5, 28, 23, 43, 2), 0.0214745454006447, False, 'time']
['911hiring', 202586934, 'impression', '10', 241447503L, datetime.datetime(2013, 5, 28, 23, 43, 2), 0.0582990489850316, False, 'time']
['911hiring', 202586934, 'impression', '8', 241455282L, datetime.datetime(2013, 5, 28, 23, 43, 2), 0.0502305695612309, False, 'time']
['911hiring', 202586934, 'impression', '14', 241437969L, datetime.datetime(2013, 5, 28, 23, 43, 2), 0.0410042394587153, False, 'time']
['911hiring', 202586934, 'impression', '9', 241448967L, datetime.datetime(2013, 5, 28, 23, 43, 2), 0.0368761732163326, False, 'time']
['911hiring', 202586934, 'impression', '6', 241466848L, datetime.datetime(2013, 5, 28, 23, 43, 2), 0.0109290369140046, False, 'time']

