['abi-abinaya', 202557898, 'impression', '1', 240809726L, datetime.datetime(2013, 5, 20, 10, 32, 3), 0.140830969849608, False, 'best']
['abi-abinaya', 202557898, 'impression', '2', 240810868L, datetime.datetime(2013, 5, 20, 10, 32, 3), 0.0589649434931617, False, 'best']
['abi-abinaya', 202557898, 'impression', '1', 240809726L, datetime.datetime(2013, 5, 20, 10, 33, 36), 0.140830969849608, False, 'best']
['abi-abinaya', 202557898, 'impression', '2', 240810868L, datetime.datetime(2013, 5, 20, 10, 33, 36), 0.0589649434931617, False, 'best']
['abi-abinaya', 202557898, 'impression', '1', 240809726L, datetime.datetime(2013, 5, 20, 10, 34, 10), 0.140830969849608, False, 'best']
['abi-abinaya', 202557898, 'impression', '2', 240810868L, datetime.datetime(2013, 5, 20, 10, 34, 10), 0.0589649434931617, False, 'best']
['abi-abinaya', 202557898, 'shortlist', '1', 240809726L, datetime.datetime(2013, 5, 20, 10, 34, 17), 0.140830969849608, False, 'best']
['abi-abinaya', 202557898, 'shortlist', '2', 240810868L, datetime.datetime(2013, 5, 20, 10, 34, 23), 0.0589649434931617, False, 'best']
['abi-abinaya', 202557898, 'impression', '2', 240810868L, datetime.datetime(2013, 5, 20, 10, 34, 25), 0.0589649434931617, False, 'best']
['abi-abinaya', 202557898, 'impression', None, 240810868L, datetime.datetime(2013, 5, 20, 10, 34, 25), 0.0589649434931617, False, 'best']
['abi-abinaya', 202557898, 'impression', '2', 240810868L, datetime.datetime(2013, 5, 20, 10, 34, 29), 0.0589649434931617, False, 'best']
['abi-abinaya', 202557898, 'impression', None, 240810868L, datetime.datetime(2013, 5, 20, 10, 34, 29), 0.0589649434931617, False, 'best']
['abi-abinaya', 202557898, 'impression', '2', 240810868L, datetime.datetime(2013, 5, 20, 10, 34, 30), 0.0589649434931617, False, 'best']
['abi-abinaya', 202557898, 'impression', None, 240810868L, datetime.datetime(2013, 5, 20, 10, 34, 30), 0.0589649434931617, False, 'best']
['abi-abinaya', 202557898, 'impression', None, 240809726L, datetime.datetime(2013, 5, 20, 10, 34, 39), 0.140830969849608, False, 'best']
['abi-abinaya', 202557898, 'impression', '1', 240809726L, datetime.datetime(2013, 5, 20, 10, 34, 39), 0.140830969849608, False, 'best']
['abi-abinaya', 202557898, 'impression', '2', 240810868L, datetime.datetime(2013, 5, 20, 10, 34, 41), 0.0589649434931617, False, 'best']
