['abuhajira', 202595374, 'impression', '4', 241599798L, datetime.datetime(2013, 5, 29, 17, 11, 46), 0.0276505640327851, False, 'best']
['abuhajira', 202595374, 'impression', '1', 241601286L, datetime.datetime(2013, 5, 29, 17, 11, 46), 0.0462889018677042, False, 'best']
['abuhajira', 202595374, 'impression', '3', 241598991L, datetime.datetime(2013, 5, 29, 17, 11, 46), 0.0359992984947769, False, 'best']
['abuhajira', 202595374, 'impression', '2', 241600462L, datetime.datetime(2013, 5, 29, 17, 11, 46), 0.0442283745912327, False, 'best']
['abuhajira', 202595374, 'shortlist', '3', 241598991L, datetime.datetime(2013, 5, 29, 17, 12, 13), 0.0359992984947769, False, 'best']
['abuhajira', 202595374, 'shortlist', '4', 241599798L, datetime.datetime(2013, 5, 29, 17, 12, 16), 0.0276505640327851, False, 'best']
['abuhajira', 202595374, 'impression', '3', 241600462L, datetime.datetime(2013, 5, 29, 17, 23, 36), 0.0442283745912327, False, 'best']
['abuhajira', 202595374, 'impression', '4', 241598991L, datetime.datetime(2013, 5, 29, 17, 23, 36), 0.0359992984947769, False, 'best']
['abuhajira', 202595374, 'impression', '2', 241601286L, datetime.datetime(2013, 5, 29, 17, 23, 36), 0.0462889018677042, False, 'best']
['abuhajira', 202595374, 'impression', '1', 241602024L, datetime.datetime(2013, 5, 29, 17, 23, 36), 0.0703360020455213, False, 'best']
['abuhajira', 202595374, 'impression', '5', 241599798L, datetime.datetime(2013, 5, 29, 17, 23, 36), 0.0276505640327851, False, 'best']
['abuhajira', 202595374, 'impression', '5', 241599798L, datetime.datetime(2013, 5, 29, 17, 28, 22), 0.0276505640327851, False, 'best']
['abuhajira', 202595374, 'impression', '4', 241598991L, datetime.datetime(2013, 5, 29, 17, 28, 22), 0.0359992984947769, False, 'best']
['abuhajira', 202595374, 'impression', '3', 241600462L, datetime.datetime(2013, 5, 29, 17, 28, 22), 0.0442283745912327, False, 'best']
['abuhajira', 202595374, 'impression', '2', 241601286L, datetime.datetime(2013, 5, 29, 17, 28, 22), 0.0462889018677042, False, 'best']
['abuhajira', 202595374, 'impression', '1', 241602024L, datetime.datetime(2013, 5, 29, 17, 28, 22), 0.0703360020455213, False, 'best']

['abuhajira', 202595374, 'impression', '4', 241598991L, datetime.datetime(2013, 5, 29, 18, 45, 9), 0.0359992984947769, False, 'best']
['abuhajira', 202595374, 'impression', '3', 241600462L, datetime.datetime(2013, 5, 29, 18, 45, 9), 0.0442283745912327, False, 'best']
['abuhajira', 202595374, 'impression', '5', 241599798L, datetime.datetime(2013, 5, 29, 18, 45, 9), 0.0276505640327851, False, 'best']
['abuhajira', 202595374, 'impression', '1', 241602024L, datetime.datetime(2013, 5, 29, 18, 45, 9), 0.0703360020455213, False, 'best']
['abuhajira', 202595374, 'impression', '2', 241601286L, datetime.datetime(2013, 5, 29, 18, 45, 9), 0.0462889018677042, False, 'best']

