['agilityoutsource', 202574579, 'impression', '2', 241141638L, datetime.datetime(2013, 5, 23, 23, 37, 24), 0.28213524848435, False, 'best']
['agilityoutsource', 202574579, 'impression', '1', 241142584L, datetime.datetime(2013, 5, 23, 23, 37, 24), 0.594340364579789, False, 'best']
['agilityoutsource', 202574579, 'impression', '3', 241142062L, datetime.datetime(2013, 5, 23, 23, 37, 24), 0.15668897118099, True, 'best']
['agilityoutsource', 202574579, 'impression', '1', 241142584L, datetime.datetime(2013, 5, 23, 23, 53, 52), 0.594340364579789, False, 'best']
['agilityoutsource', 202574579, 'impression', '3', 241142062L, datetime.datetime(2013, 5, 23, 23, 53, 52), 0.15668897118099, True, 'best']
['agilityoutsource', 202574579, 'impression', '2', 241141638L, datetime.datetime(2013, 5, 23, 23, 53, 52), 0.28213524848435, False, 'best']

['agilityoutsource', 202574579, 'impression', '2', 241141638L, datetime.datetime(2013, 5, 24, 0, 35, 55), 0.28213524848435, False, 'best']
['agilityoutsource', 202574579, 'impression', '3', 241142062L, datetime.datetime(2013, 5, 24, 0, 35, 55), 0.15668897118099, True, 'best']
['agilityoutsource', 202574579, 'impression', '1', 241142584L, datetime.datetime(2013, 5, 24, 0, 35, 55), 0.594340364579789, False, 'best']
['agilityoutsource', 202574579, 'impression', '1', 241142584L, datetime.datetime(2013, 5, 24, 0, 36, 50), 0.594340364579789, False, 'best']
['agilityoutsource', 202574579, 'impression', '3', 241142062L, datetime.datetime(2013, 5, 24, 0, 36, 50), 0.15668897118099, True, 'best']
['agilityoutsource', 202574579, 'impression', '2', 241141638L, datetime.datetime(2013, 5, 24, 0, 36, 50), 0.28213524848435, False, 'best']

['agilityoutsource', 202574579, 'impression', '5', 241142062L, datetime.datetime(2013, 5, 24, 11, 9, 29), 0.15668897118099, True, 'best']
['agilityoutsource', 202574579, 'impression', '2', 241164039L, datetime.datetime(2013, 5, 24, 11, 9, 29), 0.343494123684451, False, 'best']
['agilityoutsource', 202574579, 'impression', '1', 241142584L, datetime.datetime(2013, 5, 24, 11, 9, 29), 0.594340364579789, False, 'best']
['agilityoutsource', 202574579, 'impression', '4', 241183203L, datetime.datetime(2013, 5, 24, 11, 9, 29), 0.163368358053476, False, 'best']
['agilityoutsource', 202574579, 'impression', '3', 241141638L, datetime.datetime(2013, 5, 24, 11, 9, 29), 0.28213524848435, False, 'best']
['agilityoutsource', 202574579, 'expand_tile', '4', 241183203L, datetime.datetime(2013, 5, 24, 11, 9, 53), 0.163368358053476, False, 'best']
['agilityoutsource', 202574579, 'view_full_application', '4', 241183203L, datetime.datetime(2013, 5, 24, 11, 10, 25), 0.163368358053476, False, 'best']
['agilityoutsource', 202574579, 'impression', '4', 241183203L, datetime.datetime(2013, 5, 24, 11, 11, 46), 0.163368358053476, False, 'best']
['agilityoutsource', 202574579, 'impression', '2', 241164039L, datetime.datetime(2013, 5, 24, 11, 11, 46), 0.343494123684451, False, 'best']
['agilityoutsource', 202574579, 'impression', '3', 241141638L, datetime.datetime(2013, 5, 24, 11, 11, 46), 0.28213524848435, False, 'best']
['agilityoutsource', 202574579, 'impression', '5', 241142062L, datetime.datetime(2013, 5, 24, 11, 11, 46), 0.15668897118099, True, 'best']
['agilityoutsource', 202574579, 'impression', '1', 241142584L, datetime.datetime(2013, 5, 24, 11, 11, 46), 0.594340364579789, False, 'best']
['agilityoutsource', 202574579, 'view_full_application_via_name', '2', 241164039L, datetime.datetime(2013, 5, 24, 11, 11, 55), 0.343494123684451, False, 'best']
['agilityoutsource', 202574579, 'impression', '4', 241183203L, datetime.datetime(2013, 5, 24, 11, 13, 11), 0.163368358053476, False, 'best']
['agilityoutsource', 202574579, 'impression', '1', 241142584L, datetime.datetime(2013, 5, 24, 11, 13, 11), 0.594340364579789, False, 'best']
['agilityoutsource', 202574579, 'impression', '3', 241141638L, datetime.datetime(2013, 5, 24, 11, 13, 11), 0.28213524848435, False, 'best']
['agilityoutsource', 202574579, 'impression', '2', 241164039L, datetime.datetime(2013, 5, 24, 11, 13, 11), 0.343494123684451, False, 'best']
['agilityoutsource', 202574579, 'impression', '5', 241142062L, datetime.datetime(2013, 5, 24, 11, 13, 11), 0.15668897118099, True, 'best']

['agilityoutsource', 202574579, 'impression', '1', 241142584L, datetime.datetime(2013, 5, 25, 14, 13, 51), 0.594340364579789, False, 'best']
['agilityoutsource', 202574579, 'impression', '5', 241183203L, datetime.datetime(2013, 5, 25, 14, 13, 51), 0.163368358053476, False, 'best']
