['airmay2010', 202558196, 'impression', '1', 240821765L, datetime.datetime(2013, 5, 20, 11, 58, 9), 0.203852818746632, False, 'best']
['airmay2010', 202558196, 'impression', '2', 240823986L, datetime.datetime(2013, 5, 20, 11, 58, 9), 0.0542052819740355, False, 'best']
['airmay2010', 202558196, 'expand_tile', '2', 240823986L, datetime.datetime(2013, 5, 20, 11, 58, 30), 0.0542052819740355, False, 'best']
['airmay2010', 202558196, 'expand_tile', '2', 240823986L, datetime.datetime(2013, 5, 20, 11, 58, 45), 0.0542052819740355, False, 'best']
['airmay2010', 202558196, 'hide', '2', 240823986L, datetime.datetime(2013, 5, 20, 11, 58, 45), 0.0542052819740355, False, 'best']
['airmay2010', 202558196, 'expand_tile', '1', 240821765L, datetime.datetime(2013, 5, 20, 11, 58, 49), 0.203852818746632, False, 'best']
['airmay2010', 202558196, 'hide', '-1', 240821765L, datetime.datetime(2013, 5, 20, 11, 58, 53), 0.203852818746632, False, 'best']

['airmay2010', 202558196, 'impression', '4', 240838158L, datetime.datetime(2013, 5, 20, 17, 4, 26), 0.030896989554575, False, 'best']
['airmay2010', 202558196, 'impression', '3', 240849334L, datetime.datetime(2013, 5, 20, 17, 4, 26), 0.0784464849308404, False, 'best']
['airmay2010', 202558196, 'impression', '2', 240848716L, datetime.datetime(2013, 5, 20, 17, 4, 26), 0.205139232800631, False, 'best']
['airmay2010', 202558196, 'impression', '1', 240838765L, datetime.datetime(2013, 5, 20, 17, 4, 26), 0.221458303640223, False, 'best']
['airmay2010', 202558196, 'expand_tile', '1', 240838765L, datetime.datetime(2013, 5, 20, 17, 4, 42), 0.221458303640223, False, 'best']
['airmay2010', 202558196, 'hide', '1', 240838765L, datetime.datetime(2013, 5, 20, 17, 5, 16), 0.221458303640223, False, 'best']
['airmay2010', 202558196, 'expand_tile', '1', 240838765L, datetime.datetime(2013, 5, 20, 17, 5, 16), 0.221458303640223, False, 'best']
['airmay2010', 202558196, 'expand_tile', '2', 240848716L, datetime.datetime(2013, 5, 20, 17, 5, 21), 0.205139232800631, False, 'best']
['airmay2010', 202558196, 'hide', '2', 240848716L, datetime.datetime(2013, 5, 20, 17, 5, 32), 0.205139232800631, False, 'best']
['airmay2010', 202558196, 'expand_tile', '2', 240848716L, datetime.datetime(2013, 5, 20, 17, 5, 32), 0.205139232800631, False, 'best']
['airmay2010', 202558196, 'expand_tile', '3', 240849334L, datetime.datetime(2013, 5, 20, 17, 5, 35), 0.0784464849308404, False, 'best']
['airmay2010', 202558196, 'hide', '3', 240849334L, datetime.datetime(2013, 5, 20, 17, 5, 43), 0.0784464849308404, False, 'best']
['airmay2010', 202558196, 'expand_tile', '3', 240849334L, datetime.datetime(2013, 5, 20, 17, 5, 44), 0.0784464849308404, False, 'best']
['airmay2010', 202558196, 'expand_tile', '4', 240838158L, datetime.datetime(2013, 5, 20, 17, 5, 49), 0.030896989554575, False, 'best']
['airmay2010', 202558196, 'hide', '-1', 240838158L, datetime.datetime(2013, 5, 20, 17, 5, 58), 0.030896989554575, False, 'best']

['airmay2010', 202558196, 'impression', '1', 240852116L, datetime.datetime(2013, 5, 20, 18, 42, 36), 0.250889226551246, False, 'best']
['airmay2010', 202558196, 'expand_tile', '1', 240852116L, datetime.datetime(2013, 5, 20, 18, 42, 43), 0.250889226551246, False, 'best']
['airmay2010', 202558196, 'hide', '-1', 240852116L, datetime.datetime(2013, 5, 20, 18, 42, 51), 0.250889226551246, False, 'best']

['airmay2010', 202558196, 'impression', '1', 241105437L, datetime.datetime(2013, 5, 25, 6, 7, 42), 0.0846868864071554, False, 'best']

