['ajay-sunker', 202561633, 'impression', '4', 240881355L, datetime.datetime(2013, 5, 21, 3, 28, 40), 0.00735786149841569, False, 'time']
['ajay-sunker', 202561633, 'impression', '3', 240881628L, datetime.datetime(2013, 5, 21, 3, 28, 40), 0.0464301464508661, False, 'time']
['ajay-sunker', 202561633, 'impression', '2', 240881893L, datetime.datetime(2013, 5, 21, 3, 28, 40), 0.0134752583801198, False, 'time']
['ajay-sunker', 202561633, 'impression', '6', 240880267L, datetime.datetime(2013, 5, 21, 3, 28, 40), 0.0246101263898062, False, 'time']
['ajay-sunker', 202561633, 'impression', '7', 240880234L, datetime.datetime(2013, 5, 21, 3, 28, 40), 0.00789727893513204, False, 'time']
['ajay-sunker', 202561633, 'impression', '5', 240880834L, datetime.datetime(2013, 5, 21, 3, 28, 40), 0.0398924237001943, False, 'time']
['ajay-sunker', 202561633, 'impression', '1', 240882919L, datetime.datetime(2013, 5, 21, 3, 28, 40), 0.0412870179105966, False, 'time']
['ajay-sunker', 202561633, 'expand_tile', '3', 240881628L, datetime.datetime(2013, 5, 21, 3, 29, 2), 0.0464301464508661, False, 'time']
['ajay-sunker', 202561633, 'expand_tile', '3', 240881628L, datetime.datetime(2013, 5, 21, 3, 29, 7), 0.0464301464508661, False, 'time']
['ajay-sunker', 202561633, 'view_full_application', '3', 240881628L, datetime.datetime(2013, 5, 21, 3, 29, 8), 0.0464301464508661, False, 'time']
['ajay-sunker', 202561633, 'impression', '7', 240880234L, datetime.datetime(2013, 5, 21, 3, 32, 49), 0.00789727893513204, False, 'time']
['ajay-sunker', 202561633, 'impression', '3', 240881628L, datetime.datetime(2013, 5, 21, 3, 32, 49), 0.0464301464508661, False, 'time']
['ajay-sunker', 202561633, 'impression', '6', 240880267L, datetime.datetime(2013, 5, 21, 3, 32, 49), 0.0246101263898062, False, 'time']
['ajay-sunker', 202561633, 'impression', '2', 240881893L, datetime.datetime(2013, 5, 21, 3, 32, 49), 0.0134752583801198, False, 'time']
['ajay-sunker', 202561633, 'impression', '4', 240881355L, datetime.datetime(2013, 5, 21, 3, 32, 49), 0.00735786149841569, False, 'time']
['ajay-sunker', 202561633, 'impression', '5', 240880834L, datetime.datetime(2013, 5, 21, 3, 32, 49), 0.0398924237001943, False, 'time']
['ajay-sunker', 202561633, 'impression', '1', 240882919L, datetime.datetime(2013, 5, 21, 3, 32, 49), 0.0412870179105966, False, 'time']
['ajay-sunker', 202561633, 'expand_tile', '1', 240882919L, datetime.datetime(2013, 5, 21, 3, 32, 54), 0.0412870179105966, False, 'time']
['ajay-sunker', 202561633, 'view_full_application', '1', 240882919L, datetime.datetime(2013, 5, 21, 3, 32, 57), 0.0412870179105966, False, 'time']
['ajay-sunker', 202561633, 'impression', '7', 240880234L, datetime.datetime(2013, 5, 21, 3, 33, 55), 0.00789727893513204, False, 'time']
['ajay-sunker', 202561633, 'impression', '5', 240880834L, datetime.datetime(2013, 5, 21, 3, 33, 55), 0.0398924237001943, False, 'time']
['ajay-sunker', 202561633, 'impression', '3', 240881628L, datetime.datetime(2013, 5, 21, 3, 33, 55), 0.0464301464508661, False, 'time']
['ajay-sunker', 202561633, 'impression', '2', 240881893L, datetime.datetime(2013, 5, 21, 3, 33, 55), 0.0134752583801198, False, 'time']
['ajay-sunker', 202561633, 'impression', '6', 240880267L, datetime.datetime(2013, 5, 21, 3, 33, 55), 0.0246101263898062, False, 'time']
['ajay-sunker', 202561633, 'impression', '1', 240882919L, datetime.datetime(2013, 5, 21, 3, 33, 55), 0.0412870179105966, False, 'time']
['ajay-sunker', 202561633, 'impression', '4', 240881355L, datetime.datetime(2013, 5, 21, 3, 33, 55), 0.00735786149841569, False, 'time']
['ajay-sunker', 202561633, 'expand_tile', '4', 240881355L, datetime.datetime(2013, 5, 21, 3, 34, 1), 0.00735786149841569, False, 'time']
['ajay-sunker', 202561633, 'view_full_application', '4', 240881355L, datetime.datetime(2013, 5, 21, 3, 34, 11), 0.00735786149841569, False, 'time']
['ajay-sunker', 202561633, 'impression', '7', 240880234L, datetime.datetime(2013, 5, 21, 3, 40, 22), 0.00789727893513204, False, 'time']
['ajay-sunker', 202561633, 'impression', '5', 240880834L, datetime.datetime(2013, 5, 21, 3, 40, 22), 0.0398924237001943, False, 'time']
['ajay-sunker', 202561633, 'impression', '4', 240881355L, datetime.datetime(2013, 5, 21, 3, 40, 22), 0.00735786149841569, False, 'time']
['ajay-sunker', 202561633, 'impression', '1', 240882919L, datetime.datetime(2013, 5, 21, 3, 40, 22), 0.0412870179105966, False, 'time']
['ajay-sunker', 202561633, 'impression', '2', 240881893L, datetime.datetime(2013, 5, 21, 3, 40, 22), 0.0134752583801198, False, 'time']
['ajay-sunker', 202561633, 'impression', '3', 240881628L, datetime.datetime(2013, 5, 21, 3, 40, 22), 0.0464301464508661, False, 'time']
['ajay-sunker', 202561633, 'impression', '6', 240880267L, datetime.datetime(2013, 5, 21, 3, 40, 22), 0.0246101263898062, False, 'time']
['ajay-sunker', 202561633, 'expand_tile', '5', 240880834L, datetime.datetime(2013, 5, 21, 3, 40, 43), 0.0398924237001943, False, 'time']
['ajay-sunker', 202561633, 'view_full_application', '5', 240880834L, datetime.datetime(2013, 5, 21, 3, 40, 46), 0.0398924237001943, False, 'time']
['ajay-sunker', 202561633, 'impression', '3', 240881628L, datetime.datetime(2013, 5, 21, 3, 41, 56), 0.0464301464508661, False, 'time']
['ajay-sunker', 202561633, 'impression', '2', 240881893L, datetime.datetime(2013, 5, 21, 3, 41, 56), 0.0134752583801198, False, 'time']
['ajay-sunker', 202561633, 'impression', '6', 240880267L, datetime.datetime(2013, 5, 21, 3, 41, 56), 0.0246101263898062, False, 'time']
['ajay-sunker', 202561633, 'impression', '4', 240881355L, datetime.datetime(2013, 5, 21, 3, 41, 56), 0.00735786149841569, False, 'time']
['ajay-sunker', 202561633, 'impression', '5', 240880834L, datetime.datetime(2013, 5, 21, 3, 41, 56), 0.0398924237001943, False, 'time']
['ajay-sunker', 202561633, 'impression', '7', 240880234L, datetime.datetime(2013, 5, 21, 3, 41, 56), 0.00789727893513204, False, 'time']
['ajay-sunker', 202561633, 'impression', '1', 240882919L, datetime.datetime(2013, 5, 21, 3, 41, 56), 0.0412870179105966, False, 'time']
['ajay-sunker', 202561633, 'expand_tile', '6', 240880267L, datetime.datetime(2013, 5, 21, 3, 42, 1), 0.0246101263898062, False, 'time']
['ajay-sunker', 202561633, 'view_full_application', '6', 240880267L, datetime.datetime(2013, 5, 21, 3, 42, 5), 0.0246101263898062, False, 'time']
['ajay-sunker', 202561633, 'impression', '4', 240881355L, datetime.datetime(2013, 5, 21, 3, 43, 30), 0.00735786149841569, False, 'time']
['ajay-sunker', 202561633, 'impression', '7', 240880234L, datetime.datetime(2013, 5, 21, 3, 43, 30), 0.00789727893513204, False, 'time']
['ajay-sunker', 202561633, 'impression', '5', 240880834L, datetime.datetime(2013, 5, 21, 3, 43, 30), 0.0398924237001943, False, 'time']
['ajay-sunker', 202561633, 'impression', '6', 240880267L, datetime.datetime(2013, 5, 21, 3, 43, 30), 0.0246101263898062, False, 'time']
['ajay-sunker', 202561633, 'impression', '2', 240881893L, datetime.datetime(2013, 5, 21, 3, 43, 30), 0.0134752583801198, False, 'time']
['ajay-sunker', 202561633, 'impression', '3', 240881628L, datetime.datetime(2013, 5, 21, 3, 43, 30), 0.0464301464508661, False, 'time']
['ajay-sunker', 202561633, 'impression', '1', 240882919L, datetime.datetime(2013, 5, 21, 3, 43, 30), 0.0412870179105966, False, 'time']
['ajay-sunker', 202561633, 'expand_tile', '7', 240880234L, datetime.datetime(2013, 5, 21, 3, 43, 35), 0.00789727893513204, False, 'time']
['ajay-sunker', 202561633, 'view_full_application', '7', 240880234L, datetime.datetime(2013, 5, 21, 3, 43, 44), 0.00789727893513204, False, 'time']
['ajay-sunker', 202561633, 'impression', '5', 240881355L, datetime.datetime(2013, 5, 21, 3, 52, 20), 0.00735786149841569, False, 'time']
['ajay-sunker', 202561633, 'impression', '2', 240882919L, datetime.datetime(2013, 5, 21, 3, 52, 20), 0.0412870179105966, False, 'time']
['ajay-sunker', 202561633, 'impression', '6', 240880834L, datetime.datetime(2013, 5, 21, 3, 52, 20), 0.0398924237001943, False, 'time']
['ajay-sunker', 202561633, 'impression', '1', 240885256L, datetime.datetime(2013, 5, 21, 3, 52, 20), 0.0160481399602335, False, 'time']
['ajay-sunker', 202561633, 'impression', '8', 240880234L, datetime.datetime(2013, 5, 21, 3, 52, 20), 0.00789727893513204, False, 'time']
['ajay-sunker', 202561633, 'impression', '3', 240881893L, datetime.datetime(2013, 5, 21, 3, 52, 20), 0.0134752583801198, False, 'time']
['ajay-sunker', 202561633, 'impression', '4', 240881628L, datetime.datetime(2013, 5, 21, 3, 52, 20), 0.0464301464508661, False, 'time']
['ajay-sunker', 202561633, 'impression', '7', 240880267L, datetime.datetime(2013, 5, 21, 3, 52, 20), 0.0246101263898062, False, 'time']
['ajay-sunker', 202561633, 'expand_tile', '1', 240885256L, datetime.datetime(2013, 5, 21, 3, 52, 30), 0.0160481399602335, False, 'time']
['ajay-sunker', 202561633, 'view_full_application', '1', 240885256L, datetime.datetime(2013, 5, 21, 3, 52, 51), 0.0160481399602335, False, 'time']
['ajay-sunker', 202561633, 'impression', '2', 240882919L, datetime.datetime(2013, 5, 21, 4, 14, 40), 0.0412870179105966, False, 'time']
['ajay-sunker', 202561633, 'impression', '7', 240880267L, datetime.datetime(2013, 5, 21, 4, 14, 40), 0.0246101263898062, False, 'time']
['ajay-sunker', 202561633, 'impression', '3', 240881893L, datetime.datetime(2013, 5, 21, 4, 14, 40), 0.0134752583801198, False, 'time']
['ajay-sunker', 202561633, 'impression', '4', 240881628L, datetime.datetime(2013, 5, 21, 4, 14, 40), 0.0464301464508661, False, 'time']
['ajay-sunker', 202561633, 'impression', '1', 240885256L, datetime.datetime(2013, 5, 21, 4, 14, 40), 0.0160481399602335, False, 'time']
['ajay-sunker', 202561633, 'impression', '6', 240880834L, datetime.datetime(2013, 5, 21, 4, 14, 40), 0.0398924237001943, False, 'time']
['ajay-sunker', 202561633, 'impression', '5', 240881355L, datetime.datetime(2013, 5, 21, 4, 14, 40), 0.00735786149841569, False, 'time']
['ajay-sunker', 202561633, 'impression', '8', 240880234L, datetime.datetime(2013, 5, 21, 4, 14, 40), 0.00789727893513204, False, 'time']
['ajay-sunker', 202561633, 'shortlist', '8', 240880234L, datetime.datetime(2013, 5, 21, 4, 14, 58), 0.00789727893513204, False, 'time']
['ajay-sunker', 202561633, 'expand_tile', '3', 240881893L, datetime.datetime(2013, 5, 21, 4, 15, 17), 0.0134752583801198, False, 'time']
['ajay-sunker', 202561633, 'view_full_application', '3', 240881893L, datetime.datetime(2013, 5, 21, 4, 15, 21), 0.0134752583801198, False, 'time']
['ajay-sunker', 202561633, 'impression', '4', 240881893L, datetime.datetime(2013, 5, 21, 4, 15, 35), 0.0134752583801198, False, 'time']
['ajay-sunker', 202561633, 'impression', '8', 240880267L, datetime.datetime(2013, 5, 21, 4, 15, 35), 0.0246101263898062, False, 'time']
['ajay-sunker', 202561633, 'impression', '5', 240881628L, datetime.datetime(2013, 5, 21, 4, 15, 35), 0.0464301464508661, False, 'time']
['ajay-sunker', 202561633, 'impression', '9', 240880234L, datetime.datetime(2013, 5, 21, 4, 15, 35), 0.00789727893513204, False, 'time']
['ajay-sunker', 202561633, 'impression', '3', 240882919L, datetime.datetime(2013, 5, 21, 4, 15, 35), 0.0412870179105966, False, 'time']
['ajay-sunker', 202561633, 'impression', '6', 240881355L, datetime.datetime(2013, 5, 21, 4, 15, 35), 0.00735786149841569, False, 'time']
['ajay-sunker', 202561633, 'impression', '1', 240886780L, datetime.datetime(2013, 5, 21, 4, 15, 35), 0.00851248853033083, False, 'time']
['ajay-sunker', 202561633, 'impression', '7', 240880834L, datetime.datetime(2013, 5, 21, 4, 15, 35), 0.0398924237001943, False, 'time']
['ajay-sunker', 202561633, 'impression', '2', 240885256L, datetime.datetime(2013, 5, 21, 4, 15, 35), 0.0160481399602335, False, 'time']
['ajay-sunker', 202561633, 'impression', '3', 240882919L, datetime.datetime(2013, 5, 21, 4, 16, 8), 0.0412870179105966, False, 'time']
['ajay-sunker', 202561633, 'impression', '7', 240880834L, datetime.datetime(2013, 5, 21, 4, 16, 8), 0.0398924237001943, False, 'time']
['ajay-sunker', 202561633, 'impression', '2', 240885256L, datetime.datetime(2013, 5, 21, 4, 16, 8), 0.0160481399602335, False, 'time']
['ajay-sunker', 202561633, 'impression', '4', 240881893L, datetime.datetime(2013, 5, 21, 4, 16, 8), 0.0134752583801198, False, 'time']
['ajay-sunker', 202561633, 'impression', '8', 240880267L, datetime.datetime(2013, 5, 21, 4, 16, 8), 0.0246101263898062, False, 'time']
['ajay-sunker', 202561633, 'impression', '5', 240881628L, datetime.datetime(2013, 5, 21, 4, 16, 8), 0.0464301464508661, False, 'time']
['ajay-sunker', 202561633, 'impression', '9', 240880234L, datetime.datetime(2013, 5, 21, 4, 16, 8), 0.00789727893513204, False, 'time']
['ajay-sunker', 202561633, 'impression', '6', 240881355L, datetime.datetime(2013, 5, 21, 4, 16, 8), 0.00735786149841569, False, 'time']
['ajay-sunker', 202561633, 'impression', '1', 240886780L, datetime.datetime(2013, 5, 21, 4, 16, 8), 0.00851248853033083, False, 'time']
['ajay-sunker', 202561633, 'shortlist', '4', 240881893L, datetime.datetime(2013, 5, 21, 4, 16, 14), 0.0134752583801198, False, 'time']
['ajay-sunker', 202561633, 'expand_tile', '1', 240886780L, datetime.datetime(2013, 5, 21, 4, 16, 17), 0.00851248853033083, False, 'time']
['ajay-sunker', 202561633, 'view_full_application', '1', 240886780L, datetime.datetime(2013, 5, 21, 4, 17, 6), 0.00851248853033083, False, 'time']
['ajay-sunker', 202561633, 'impression', '5', 240881628L, datetime.datetime(2013, 5, 21, 4, 22, 10), 0.0464301464508661, False, 'time']
['ajay-sunker', 202561633, 'impression', '8', 240880267L, datetime.datetime(2013, 5, 21, 4, 22, 10), 0.0246101263898062, False, 'time']
['ajay-sunker', 202561633, 'impression', '4', 240881893L, datetime.datetime(2013, 5, 21, 4, 22, 10), 0.0134752583801198, False, 'time']
['ajay-sunker', 202561633, 'impression', '3', 240882919L, datetime.datetime(2013, 5, 21, 4, 22, 10), 0.0412870179105966, False, 'time']
['ajay-sunker', 202561633, 'impression', '7', 240880834L, datetime.datetime(2013, 5, 21, 4, 22, 10), 0.0398924237001943, False, 'time']
['ajay-sunker', 202561633, 'impression', '2', 240885256L, datetime.datetime(2013, 5, 21, 4, 22, 10), 0.0160481399602335, False, 'time']
['ajay-sunker', 202561633, 'impression', '9', 240880234L, datetime.datetime(2013, 5, 21, 4, 22, 10), 0.00789727893513204, False, 'time']
['ajay-sunker', 202561633, 'impression', '1', 240886780L, datetime.datetime(2013, 5, 21, 4, 22, 10), 0.00851248853033083, False, 'time']
['ajay-sunker', 202561633, 'impression', '6', 240881355L, datetime.datetime(2013, 5, 21, 4, 22, 10), 0.00735786149841569, False, 'time']
['ajay-sunker', 202561633, 'shortlist', '1', 240886780L, datetime.datetime(2013, 5, 21, 4, 22, 14), 0.00851248853033083, False, 'time']

['ajay-sunker', 202561633, 'impression', '7', 240880834L, datetime.datetime(2013, 5, 21, 4, 52, 20), 0.0398924237001943, False, 'time']
['ajay-sunker', 202561633, 'impression', '2', 240885256L, datetime.datetime(2013, 5, 21, 4, 52, 20), 0.0160481399602335, False, 'time']
['ajay-sunker', 202561633, 'impression', '9', 240880234L, datetime.datetime(2013, 5, 21, 4, 52, 20), 0.00789727893513204, False, 'time']
['ajay-sunker', 202561633, 'impression', '1', 240886780L, datetime.datetime(2013, 5, 21, 4, 52, 20), 0.00851248853033083, False, 'time']
['ajay-sunker', 202561633, 'impression', '6', 240881355L, datetime.datetime(2013, 5, 21, 4, 52, 20), 0.00735786149841569, False, 'time']
['ajay-sunker', 202561633, 'impression', '3', 240882919L, datetime.datetime(2013, 5, 21, 4, 52, 20), 0.0412870179105966, False, 'time']
['ajay-sunker', 202561633, 'impression', '8', 240880267L, datetime.datetime(2013, 5, 21, 4, 52, 20), 0.0246101263898062, False, 'time']
['ajay-sunker', 202561633, 'impression', '5', 240881628L, datetime.datetime(2013, 5, 21, 4, 52, 20), 0.0464301464508661, False, 'time']
['ajay-sunker', 202561633, 'impression', '4', 240881893L, datetime.datetime(2013, 5, 21, 4, 52, 20), 0.0134752583801198, False, 'time']
['ajay-sunker', 202561633, 'expand_tile', '1', 240886780L, datetime.datetime(2013, 5, 21, 4, 52, 25), 0.00851248853033083, False, 'time']
['ajay-sunker', 202561633, 'view_full_application', '1', 240886780L, datetime.datetime(2013, 5, 21, 4, 52, 29), 0.00851248853033083, False, 'time']

['ajay-sunker', 202561633, 'impression', '5', 240881628L, datetime.datetime(2013, 5, 21, 5, 25, 1), 0.0464301464508661, False, 'time']
['ajay-sunker', 202561633, 'impression', '8', 240880267L, datetime.datetime(2013, 5, 21, 5, 25, 1), 0.0246101263898062, False, 'time']
['ajay-sunker', 202561633, 'impression', '4', 240881893L, datetime.datetime(2013, 5, 21, 5, 25, 1), 0.0134752583801198, False, 'time']
['ajay-sunker', 202561633, 'impression', '9', 240880234L, datetime.datetime(2013, 5, 21, 5, 25, 1), 0.00789727893513204, False, 'time']
['ajay-sunker', 202561633, 'impression', '1', 240886780L, datetime.datetime(2013, 5, 21, 5, 25, 1), 0.00851248853033083, False, 'time']
['ajay-sunker', 202561633, 'impression', '6', 240881355L, datetime.datetime(2013, 5, 21, 5, 25, 1), 0.00735786149841569, False, 'time']
['ajay-sunker', 202561633, 'impression', '7', 240880834L, datetime.datetime(2013, 5, 21, 5, 25, 1), 0.0398924237001943, False, 'time']
['ajay-sunker', 202561633, 'impression', '2', 240885256L, datetime.datetime(2013, 5, 21, 5, 25, 1), 0.0160481399602335, False, 'time']
['ajay-sunker', 202561633, 'impression', '3', 240882919L, datetime.datetime(2013, 5, 21, 5, 25, 1), 0.0412870179105966, False, 'time']
['ajay-sunker', 202561633, 'impression', '2', 240892659L, datetime.datetime(2013, 5, 21, 5, 48, 53), 0.0104261847840847, False, 'time']
['ajay-sunker', 202561633, 'impression', '10', 240880267L, datetime.datetime(2013, 5, 21, 5, 48, 53), 0.0246101263898062, False, 'time']
['ajay-sunker', 202561633, 'impression', '6', 240881893L, datetime.datetime(2013, 5, 21, 5, 48, 53), 0.0134752583801198, False, 'time']
['ajay-sunker', 202561633, 'impression', '7', 240881628L, datetime.datetime(2013, 5, 21, 5, 48, 53), 0.0464301464508661, False, 'time']
['ajay-sunker', 202561633, 'impression', '1', 240893947L, datetime.datetime(2013, 5, 21, 5, 48, 53), 0.016776655138859, False, 'time']
['ajay-sunker', 202561633, 'impression', '9', 240880834L, datetime.datetime(2013, 5, 21, 5, 48, 53), 0.0398924237001943, False, 'time']
['ajay-sunker', 202561633, 'impression', '4', 240885256L, datetime.datetime(2013, 5, 21, 5, 48, 53), 0.0160481399602335, False, 'time']
['ajay-sunker', 202561633, 'impression', '8', 240881355L, datetime.datetime(2013, 5, 21, 5, 48, 53), 0.00735786149841569, False, 'time']
['ajay-sunker', 202561633, 'impression', '3', 240886780L, datetime.datetime(2013, 5, 21, 5, 48, 53), 0.00851248853033083, False, 'time']
['ajay-sunker', 202561633, 'impression', '5', 240882919L, datetime.datetime(2013, 5, 21, 5, 48, 53), 0.0412870179105966, False, 'time']
['ajay-sunker', 202561633, 'impression', '11', 240880234L, datetime.datetime(2013, 5, 21, 5, 48, 53), 0.00789727893513204, False, 'time']
['ajay-sunker', 202561633, 'expand_tile', '1', 240893947L, datetime.datetime(2013, 5, 21, 5, 49), 0.016776655138859, False, 'time']
['ajay-sunker', 202561633, 'view_full_application', '1', 240893947L, datetime.datetime(2013, 5, 21, 5, 49, 6), 0.016776655138859, False, 'time']
['ajay-sunker', 202561633, 'impression', '9', 240880834L, datetime.datetime(2013, 5, 21, 5, 52, 38), 0.0398924237001943, False, 'time']
['ajay-sunker', 202561633, 'impression', '1', 240893947L, datetime.datetime(2013, 5, 21, 5, 52, 38), 0.016776655138859, False, 'time']
['ajay-sunker', 202561633, 'impression', '4', 240885256L, datetime.datetime(2013, 5, 21, 5, 52, 38), 0.0160481399602335, False, 'time']
['ajay-sunker', 202561633, 'impression', '3', 240886780L, datetime.datetime(2013, 5, 21, 5, 52, 38), 0.00851248853033083, False, 'time']
['ajay-sunker', 202561633, 'impression', '8', 240881355L, datetime.datetime(2013, 5, 21, 5, 52, 38), 0.00735786149841569, False, 'time']
['ajay-sunker', 202561633, 'impression', '11', 240880234L, datetime.datetime(2013, 5, 21, 5, 52, 38), 0.00789727893513204, False, 'time']
['ajay-sunker', 202561633, 'impression', '5', 240882919L, datetime.datetime(2013, 5, 21, 5, 52, 38), 0.0412870179105966, False, 'time']
['ajay-sunker', 202561633, 'impression', '6', 240881893L, datetime.datetime(2013, 5, 21, 5, 52, 38), 0.0134752583801198, False, 'time']
['ajay-sunker', 202561633, 'impression', '2', 240892659L, datetime.datetime(2013, 5, 21, 5, 52, 38), 0.0104261847840847, False, 'time']
['ajay-sunker', 202561633, 'impression', '10', 240880267L, datetime.datetime(2013, 5, 21, 5, 52, 38), 0.0246101263898062, False, 'time']
['ajay-sunker', 202561633, 'impression', '7', 240881628L, datetime.datetime(2013, 5, 21, 5, 52, 38), 0.0464301464508661, False, 'time']
['ajay-sunker', 202561633, 'shortlist', '1', 240893947L, datetime.datetime(2013, 5, 21, 5, 53, 9), 0.016776655138859, False, 'time']
['ajay-sunker', 202561633, 'expand_tile', '2', 240892659L, datetime.datetime(2013, 5, 21, 5, 53, 18), 0.0104261847840847, False, 'time']
['ajay-sunker', 202561633, 'expand_tile', '2', 240892659L, datetime.datetime(2013, 5, 21, 5, 53, 22), 0.0104261847840847, False, 'time']
['ajay-sunker', 202561633, 'shortlist', '2', 240892659L, datetime.datetime(2013, 5, 21, 5, 53, 22), 0.0104261847840847, False, 'time']
['ajay-sunker', 202561633, 'expand_tile', '4', 240885256L, datetime.datetime(2013, 5, 21, 5, 53, 31), 0.0160481399602335, False, 'time']
['ajay-sunker', 202561633, 'hide', '10', 240880267L, datetime.datetime(2013, 5, 21, 5, 53, 44), 0.0246101263898062, False, 'time']
['ajay-sunker', 202561633, 'hide', '9', 240880834L, datetime.datetime(2013, 5, 21, 5, 53, 45), 0.0398924237001943, False, 'time']
['ajay-sunker', 202561633, 'expand_tile', '8', 240881355L, datetime.datetime(2013, 5, 21, 5, 53, 52), 0.00735786149841569, False, 'time']
['ajay-sunker', 202561633, 'collapse_tile', '8', 240881355L, datetime.datetime(2013, 5, 21, 5, 54, 15), 0.00735786149841569, False, 'time']

['ajay-sunker', 202561633, 'impression', '2', 240899146L, datetime.datetime(2013, 5, 21, 7, 34, 46), 0.0256900999732444, False, 'time']
['ajay-sunker', 202561633, 'impression', '5', 240893947L, datetime.datetime(2013, 5, 21, 7, 34, 46), 0.016776655138859, False, 'time']
['ajay-sunker', 202561633, 'impression', '3', 240898572L, datetime.datetime(2013, 5, 21, 7, 34, 46), 0.0519509941316251, False, 'time']
['ajay-sunker', 202561633, 'impression', '8', 240885256L, datetime.datetime(2013, 5, 21, 7, 34, 46), 0.0160481399602335, False, 'time']
['ajay-sunker', 202561633, 'impression', '13', 240880234L, datetime.datetime(2013, 5, 21, 7, 34, 46), 0.00789727893513204, False, 'time']
['ajay-sunker', 202561633, 'impression', '1', 240901262L, datetime.datetime(2013, 5, 21, 7, 34, 46), 0.00436463537533648, False, 'time']
['ajay-sunker', 202561633, 'impression', '7', 240886780L, datetime.datetime(2013, 5, 21, 7, 34, 46), 0.00851248853033083, False, 'time']
['ajay-sunker', 202561633, 'impression', '12', 240881355L, datetime.datetime(2013, 5, 21, 7, 34, 46), 0.00735786149841569, False, 'time']
['ajay-sunker', 202561633, 'impression', '4', 240895586L, datetime.datetime(2013, 5, 21, 7, 34, 46), 0.0147281592335919, False, 'time']
['ajay-sunker', 202561633, 'impression', '9', 240882919L, datetime.datetime(2013, 5, 21, 7, 34, 46), 0.0412870179105966, False, 'time']
