['ak-steve', 202557592, 'impression', '20', 240808346L, datetime.datetime(2013, 5, 24, 15, 52, 14), 0.221920088545457, False, 'time']
['ak-steve', 202557592, 'impression', '2', 240950154L, datetime.datetime(2013, 5, 24, 15, 52, 14), 0.0855872739658175, False, 'time']
['ak-steve', 202557592, 'impression', '13', 240813257L, datetime.datetime(2013, 5, 24, 15, 52, 14), 0.184630709395, False, 'time']
['ak-steve', 202557592, 'impression', '8', 240816851L, datetime.datetime(2013, 5, 24, 15, 52, 14), 0.118350678792741, False, 'time']
['ak-steve', 202557592, 'impression', '3', 240833577L, datetime.datetime(2013, 5, 24, 15, 52, 14), 0.33298102399911, False, 'time']
['ak-steve', 202557592, 'impression', '10', 240815264L, datetime.datetime(2013, 5, 24, 15, 52, 14), 0.307722810403352, False, 'time']
['ak-steve', 202557592, 'impression', '16', 240810359L, datetime.datetime(2013, 5, 24, 15, 52, 14), 0.288570756738467, False, 'time']
['ak-steve', 202557592, 'impression', '17', 240809570L, datetime.datetime(2013, 5, 24, 15, 52, 14), 0.175907312432153, False, 'time']
['ak-steve', 202557592, 'impression', '11', 240813706L, datetime.datetime(2013, 5, 24, 15, 52, 14), 0.292683111834038, False, 'time']
['ak-steve', 202557592, 'impression', '18', 240808913L, datetime.datetime(2013, 5, 24, 15, 52, 14), 0.117676670076161, False, 'time']
['ak-steve', 202557592, 'impression', '15', 240811130L, datetime.datetime(2013, 5, 24, 15, 52, 14), 0.1238350978666, True, 'time']
['ak-steve', 202557592, 'impression', '12', 240813529L, datetime.datetime(2013, 5, 24, 15, 52, 14), 0.123061178603802, False, 'time']
['ak-steve', 202557592, 'impression', '1', 240965943L, datetime.datetime(2013, 5, 24, 15, 52, 14), 0.384053885469142, False, 'time']
['ak-steve', 202557592, 'impression', '6', 240824440L, datetime.datetime(2013, 5, 24, 15, 52, 14), 0.21323689077518, False, 'time']
['ak-steve', 202557592, 'impression', '14', 240812307L, datetime.datetime(2013, 5, 24, 15, 52, 14), 0.228513445804129, False, 'time']
['ak-steve', 202557592, 'impression', '5', 240824688L, datetime.datetime(2013, 5, 24, 15, 52, 14), 0.230337521450902, False, 'time']
['ak-steve', 202557592, 'impression', '4', 240829828L, datetime.datetime(2013, 5, 24, 15, 52, 14), 0.180148313457748, False, 'time']
['ak-steve', 202557592, 'impression', '9', 240816219L, datetime.datetime(2013, 5, 24, 15, 52, 14), 0.0479668105720229, False, 'time']
['ak-steve', 202557592, 'impression', '19', 240808581L, datetime.datetime(2013, 5, 24, 15, 52, 14), 0.110247387393424, False, 'time']
['ak-steve', 202557592, 'impression', '7', 240818279L, datetime.datetime(2013, 5, 24, 15, 52, 14), 0.39264994660714, True, 'time']
['ak-steve', 202557592, 'view_full_application_via_name', '1', 240965943L, datetime.datetime(2013, 5, 24, 15, 52, 36), 0.384053885469142, False, 'time']

['ak-steve', 202557592, 'impression', '7', 240818279L, datetime.datetime(2013, 5, 26, 5, 9, 51), 0.39264994660714, True, 'time']
['ak-steve', 202557592, 'impression', '12', 240813529L, datetime.datetime(2013, 5, 26, 5, 9, 51), 0.123061178603802, False, 'time']
['ak-steve', 202557592, 'impression', '1', 240965943L, datetime.datetime(2013, 5, 26, 5, 9, 51), 0.384053885469142, False, 'time']
['ak-steve', 202557592, 'impression', '9', 240816219L, datetime.datetime(2013, 5, 26, 5, 9, 51), 0.0479668105720229, False, 'time']
['ak-steve', 202557592, 'impression', '5', 240824688L, datetime.datetime(2013, 5, 26, 5, 9, 51), 0.230337521450902, False, 'time']
['ak-steve', 202557592, 'impression', '4', 240829828L, datetime.datetime(2013, 5, 26, 5, 9, 51), 0.180148313457748, False, 'time']
['ak-steve', 202557592, 'impression', '19', 240808581L, datetime.datetime(2013, 5, 26, 5, 9, 51), 0.110247387393424, False, 'time']
['ak-steve', 202557592, 'impression', '14', 240812307L, datetime.datetime(2013, 5, 26, 5, 9, 51), 0.228513445804129, False, 'time']
['ak-steve', 202557592, 'impression', '6', 240824440L, datetime.datetime(2013, 5, 26, 5, 9, 51), 0.21323689077518, False, 'time']
['ak-steve', 202557592, 'impression', '3', 240833577L, datetime.datetime(2013, 5, 26, 5, 9, 51), 0.33298102399911, False, 'time']
['ak-steve', 202557592, 'impression', '8', 240816851L, datetime.datetime(2013, 5, 26, 5, 9, 51), 0.118350678792741, False, 'time']
['ak-steve', 202557592, 'impression', '2', 240950154L, datetime.datetime(2013, 5, 26, 5, 9, 51), 0.0855872739658175, False, 'time']
['ak-steve', 202557592, 'impression', '20', 240808346L, datetime.datetime(2013, 5, 26, 5, 9, 51), 0.221920088545457, False, 'time']
['ak-steve', 202557592, 'impression', '13', 240813257L, datetime.datetime(2013, 5, 26, 5, 9, 51), 0.184630709395, False, 'time']
['ak-steve', 202557592, 'impression', '17', 240809570L, datetime.datetime(2013, 5, 26, 5, 9, 51), 0.175907312432153, False, 'time']
['ak-steve', 202557592, 'impression', '10', 240815264L, datetime.datetime(2013, 5, 26, 5, 9, 51), 0.307722810403352, False, 'time']
['ak-steve', 202557592, 'impression', '16', 240810359L, datetime.datetime(2013, 5, 26, 5, 9, 51), 0.288570756738467, False, 'time']
['ak-steve', 202557592, 'impression', '11', 240813706L, datetime.datetime(2013, 5, 26, 5, 9, 51), 0.292683111834038, False, 'time']
['ak-steve', 202557592, 'impression', '18', 240808913L, datetime.datetime(2013, 5, 26, 5, 9, 51), 0.117676670076161, False, 'time']
['ak-steve', 202557592, 'impression', '15', 240811130L, datetime.datetime(2013, 5, 26, 5, 9, 51), 0.1238350978666, True, 'time']
['ak-steve', 202557592, 'expand_tile', '2', 240950154L, datetime.datetime(2013, 5, 26, 5, 10, 2), 0.0855872739658175, False, 'time']
['ak-steve', 202557592, 'expand_tile', '2', 240950154L, datetime.datetime(2013, 5, 26, 5, 10, 30), 0.0855872739658175, False, 'time']
['ak-steve', 202557592, 'hide', '2', 240950154L, datetime.datetime(2013, 5, 26, 5, 10, 30), 0.0855872739658175, False, 'time']
['ak-steve', 202557592, 'expand_tile', '3', 240833577L, datetime.datetime(2013, 5, 26, 5, 10, 38), 0.33298102399911, False, 'time']
['ak-steve', 202557592, 'expand_tile', '3', 240833577L, datetime.datetime(2013, 5, 26, 5, 11, 17), 0.33298102399911, False, 'time']
['ak-steve', 202557592, 'shortlist', '3', 240833577L, datetime.datetime(2013, 5, 26, 5, 11, 17), 0.33298102399911, False, 'time']
['ak-steve', 202557592, 'expand_tile', '4', 240829828L, datetime.datetime(2013, 5, 26, 5, 11, 22), 0.180148313457748, False, 'time']
['ak-steve', 202557592, 'expand_tile', '4', 240829828L, datetime.datetime(2013, 5, 26, 5, 12, 2), 0.180148313457748, False, 'time']
['ak-steve', 202557592, 'shortlist', '4', 240829828L, datetime.datetime(2013, 5, 26, 5, 12, 2), 0.180148313457748, False, 'time']
['ak-steve', 202557592, 'expand_tile', '5', 240824688L, datetime.datetime(2013, 5, 26, 5, 12, 12), 0.230337521450902, False, 'time']
['ak-steve', 202557592, 'hide', '5', 240824688L, datetime.datetime(2013, 5, 26, 5, 12, 20), 0.230337521450902, False, 'time']
['ak-steve', 202557592, 'expand_tile', '5', 240824688L, datetime.datetime(2013, 5, 26, 5, 12, 20), 0.230337521450902, False, 'time']
['ak-steve', 202557592, 'expand_tile', '6', 240824440L, datetime.datetime(2013, 5, 26, 5, 12, 24), 0.21323689077518, False, 'time']
['ak-steve', 202557592, 'hide', '6', 240824440L, datetime.datetime(2013, 5, 26, 5, 12, 47), 0.21323689077518, False, 'time']
['ak-steve', 202557592, 'expand_tile', '6', 240824440L, datetime.datetime(2013, 5, 26, 5, 12, 47), 0.21323689077518, False, 'time']
['ak-steve', 202557592, 'expand_tile', '7', 240818279L, datetime.datetime(2013, 5, 26, 5, 12, 52), 0.39264994660714, True, 'time']
['ak-steve', 202557592, 'expand_tile', '7', 240818279L, datetime.datetime(2013, 5, 26, 5, 13, 28), 0.39264994660714, True, 'time']
['ak-steve', 202557592, 'shortlist', '7', 240818279L, datetime.datetime(2013, 5, 26, 5, 13, 28), 0.39264994660714, True, 'time']
['ak-steve', 202557592, 'expand_tile', '8', 240816851L, datetime.datetime(2013, 5, 26, 5, 13, 33), 0.118350678792741, False, 'time']
['ak-steve', 202557592, 'hide', '8', 240816851L, datetime.datetime(2013, 5, 26, 5, 13, 52), 0.118350678792741, False, 'time']
['ak-steve', 202557592, 'expand_tile', '8', 240816851L, datetime.datetime(2013, 5, 26, 5, 13, 53), 0.118350678792741, False, 'time']
['ak-steve', 202557592, 'expand_tile', '9', 240816219L, datetime.datetime(2013, 5, 26, 5, 13, 55), 0.0479668105720229, False, 'time']
['ak-steve', 202557592, 'expand_tile', '9', 240816219L, datetime.datetime(2013, 5, 26, 5, 14, 5), 0.0479668105720229, False, 'time']
['ak-steve', 202557592, 'hide', '9', 240816219L, datetime.datetime(2013, 5, 26, 5, 14, 5), 0.0479668105720229, False, 'time']
['ak-steve', 202557592, 'expand_tile', '10', 240815264L, datetime.datetime(2013, 5, 26, 5, 14, 12), 0.307722810403352, False, 'time']
['ak-steve', 202557592, 'shortlist', '10', 240815264L, datetime.datetime(2013, 5, 26, 5, 14, 36), 0.307722810403352, False, 'time']
['ak-steve', 202557592, 'expand_tile', '10', 240815264L, datetime.datetime(2013, 5, 26, 5, 14, 36), 0.307722810403352, False, 'time']
['ak-steve', 202557592, 'expand_tile', '11', 240813706L, datetime.datetime(2013, 5, 26, 5, 14, 42), 0.292683111834038, False, 'time']
['ak-steve', 202557592, 'expand_tile', '11', 240813706L, datetime.datetime(2013, 5, 26, 5, 14, 58), 0.292683111834038, False, 'time']
['ak-steve', 202557592, 'hide', '11', 240813706L, datetime.datetime(2013, 5, 26, 5, 14, 58), 0.292683111834038, False, 'time']
['ak-steve', 202557592, 'expand_tile', '12', 240813529L, datetime.datetime(2013, 5, 26, 5, 15, 1), 0.123061178603802, False, 'time']
['ak-steve', 202557592, 'hide', '12', 240813529L, datetime.datetime(2013, 5, 26, 5, 15, 7), 0.123061178603802, False, 'time']
['ak-steve', 202557592, 'expand_tile', '12', 240813529L, datetime.datetime(2013, 5, 26, 5, 15, 8), 0.123061178603802, False, 'time']
['ak-steve', 202557592, 'expand_tile', '13', 240813257L, datetime.datetime(2013, 5, 26, 5, 15, 18), 0.184630709395, False, 'time']
['ak-steve', 202557592, 'collapse_tile', '13', 240813257L, datetime.datetime(2013, 5, 26, 5, 15, 20), 0.184630709395, False, 'time']
['ak-steve', 202557592, 'expand_tile', '13', 240813257L, datetime.datetime(2013, 5, 26, 5, 15, 22), 0.184630709395, False, 'time']
['ak-steve', 202557592, 'hide', '13', 240813257L, datetime.datetime(2013, 5, 26, 5, 16, 1), 0.184630709395, False, 'time']
