['akcan_marco', 202576497, 'impression', '16', 241178136L, datetime.datetime(2013, 5, 24, 9, 3, 52), 0.0275633450902401, False, 'time']
['akcan_marco', 202576497, 'impression', '20', 241177989L, datetime.datetime(2013, 5, 24, 9, 3, 52), 0.0240102677164203, False, 'time']
['akcan_marco', 202576497, 'impression', '3', 241180360L, datetime.datetime(2013, 5, 24, 9, 3, 52), 0.0473565191271695, False, 'time']
['akcan_marco', 202576497, 'impression', '17', 241178132L, datetime.datetime(2013, 5, 24, 9, 3, 52), 0.0514665379369486, False, 'time']
['akcan_marco', 202576497, 'impression', '7', 241179320L, datetime.datetime(2013, 5, 24, 9, 3, 52), 0.0353956408046202, False, 'time']
['akcan_marco', 202576497, 'impression', '18', 241178124L, datetime.datetime(2013, 5, 24, 9, 3, 52), 0.094265779438327, False, 'time']
['akcan_marco', 202576497, 'impression', '8', 241179295L, datetime.datetime(2013, 5, 24, 9, 3, 52), 0.0363619655617469, False, 'time']
['akcan_marco', 202576497, 'impression', '15', 241178231L, datetime.datetime(2013, 5, 24, 9, 3, 52), 0.0339533508427152, False, 'time']
['akcan_marco', 202576497, 'impression', '11', 241178892L, datetime.datetime(2013, 5, 24, 9, 3, 52), 0.084255914168315, False, 'time']
['akcan_marco', 202576497, 'impression', '1', 241180442L, datetime.datetime(2013, 5, 24, 9, 3, 52), 0.0127468567862993, False, 'time']
['akcan_marco', 202576497, 'impression', '6', 241179614L, datetime.datetime(2013, 5, 24, 9, 3, 52), 0.0348665615392926, False, 'time']
['akcan_marco', 202576497, 'impression', '13', 241178349L, datetime.datetime(2013, 5, 24, 9, 3, 52), 0.0642398707455228, False, 'time']
['akcan_marco', 202576497, 'impression', '10', 241178996L, datetime.datetime(2013, 5, 24, 9, 3, 52), 0.0302905509410555, False, 'time']
['akcan_marco', 202576497, 'impression', '12', 241178513L, datetime.datetime(2013, 5, 24, 9, 3, 52), 0.108239908645719, False, 'time']
['akcan_marco', 202576497, 'impression', '4', 241179780L, datetime.datetime(2013, 5, 24, 9, 3, 52), 0.0414489216813212, False, 'time']
['akcan_marco', 202576497, 'impression', '14', 241178306L, datetime.datetime(2013, 5, 24, 9, 3, 52), 0.0905970624761932, False, 'time']
['akcan_marco', 202576497, 'impression', '5', 241179720L, datetime.datetime(2013, 5, 24, 9, 3, 52), 0.03813532946006, False, 'time']
['akcan_marco', 202576497, 'impression', '19', 241178122L, datetime.datetime(2013, 5, 24, 9, 3, 52), 0.0595678776106914, False, 'time']
['akcan_marco', 202576497, 'impression', '9', 241179277L, datetime.datetime(2013, 5, 24, 9, 3, 52), 0.121169529144416, False, 'time']
['akcan_marco', 202576497, 'impression', '2', 241180409L, datetime.datetime(2013, 5, 24, 9, 3, 52), 0.0436662162410992, False, 'time']

['akcan_marco', 202576497, 'impression', '13', 241185470L, datetime.datetime(2013, 5, 24, 11, 4, 43), 0.10426397577631, False, 'time']
['akcan_marco', 202576497, 'impression', '3', 241187387L, datetime.datetime(2013, 5, 24, 11, 4, 43), 0.0579615230116316, False, 'time']
['akcan_marco', 202576497, 'impression', '10', 241186636L, datetime.datetime(2013, 5, 24, 11, 4, 43), 0.14559223122504, False, 'time']
['akcan_marco', 202576497, 'impression', '20', 241182978L, datetime.datetime(2013, 5, 24, 11, 4, 43), 0.0760224184317806, False, 'time']
['akcan_marco', 202576497, 'impression', '15', 241184014L, datetime.datetime(2013, 5, 24, 11, 4, 43), 0.0457262308621299, False, 'time']
['akcan_marco', 202576497, 'impression', '5', 241187104L, datetime.datetime(2013, 5, 24, 11, 4, 43), 0.0644498774443375, False, 'time']
['akcan_marco', 202576497, 'impression', '4', 241187160L, datetime.datetime(2013, 5, 24, 11, 4, 43), 0.0576310265381525, False, 'time']
['akcan_marco', 202576497, 'impression', '6', 241187072L, datetime.datetime(2013, 5, 24, 11, 4, 43), 0.0549396385313369, False, 'time']
['akcan_marco', 202576497, 'impression', '12', 241185867L, datetime.datetime(2013, 5, 24, 11, 4, 43), 0.0321981882159923, False, 'time']
['akcan_marco', 202576497, 'impression', '9', 241186730L, datetime.datetime(2013, 5, 24, 11, 4, 43), 0.0343668008366018, False, 'time']
['akcan_marco', 202576497, 'impression', '8', 241186847L, datetime.datetime(2013, 5, 24, 11, 4, 43), 0.0940247701823261, False, 'time']
['akcan_marco', 202576497, 'impression', '7', 241187031L, datetime.datetime(2013, 5, 24, 11, 4, 43), 0.0840140085852754, False, 'time']
['akcan_marco', 202576497, 'impression', '14', 241185069L, datetime.datetime(2013, 5, 24, 11, 4, 43), 0.00785198953198183, False, 'time']
['akcan_marco', 202576497, 'impression', '19', 241183125L, datetime.datetime(2013, 5, 24, 11, 4, 43), 0.0454672435382245, False, 'time']
['akcan_marco', 202576497, 'impression', '16', 241183770L, datetime.datetime(2013, 5, 24, 11, 4, 43), 0.0568835779056755, False, 'time']
['akcan_marco', 202576497, 'impression', '1', 241187692L, datetime.datetime(2013, 5, 24, 11, 4, 43), 0.0602793783887074, False, 'time']
['akcan_marco', 202576497, 'impression', '2', 241187458L, datetime.datetime(2013, 5, 24, 11, 4, 43), 0.112582789493311, False, 'time']
['akcan_marco', 202576497, 'impression', '11', 241186609L, datetime.datetime(2013, 5, 24, 11, 4, 43), 0.0029902508448502, False, 'time']
['akcan_marco', 202576497, 'impression', '17', 241183362L, datetime.datetime(2013, 5, 24, 11, 4, 43), 0.0246150447415061, False, 'time']
['akcan_marco', 202576497, 'impression', '18', 241183346L, datetime.datetime(2013, 5, 24, 11, 4, 43), 0.0451012195197539, False, 'time']
