['alainapercival', 202543893, 'impression', '9', 240536009L, datetime.datetime(2013, 5, 16, 16, 52, 17), 0.296633532426751, False, 'best']
['alainapercival', 202543893, 'impression', '5', 240512827L, datetime.datetime(2013, 5, 16, 16, 52, 17), 0.283362574586225, False, 'best']
['alainapercival', 202543893, 'impression', '3', 240507211L, datetime.datetime(2013, 5, 16, 16, 52, 17), 0.259087393221142, False, 'best']
['alainapercival', 202543893, 'impression', '1', 240504000L, datetime.datetime(2013, 5, 16, 16, 52, 17), 0.270597258701136, True, 'best']
['alainapercival', 202543893, 'impression', '4', 240509026L, datetime.datetime(2013, 5, 16, 16, 52, 17), 0.122587592779591, False, 'best']
['alainapercival', 202543893, 'impression', '6', 240518044L, datetime.datetime(2013, 5, 16, 16, 52, 17), 0.384485121547554, True, 'best']
['alainapercival', 202543893, 'impression', '12', 240545852L, datetime.datetime(2013, 5, 16, 16, 52, 17), 0.0491485940842309, False, 'best']
['alainapercival', 202543893, 'impression', '10', 240538166L, datetime.datetime(2013, 5, 16, 16, 52, 17), 0.114385630074579, False, 'best']
['alainapercival', 202543893, 'impression', '7', 240520187L, datetime.datetime(2013, 5, 16, 16, 52, 17), 0.287602385146217, True, 'best']
['alainapercival', 202543893, 'impression', '8', 240530245L, datetime.datetime(2013, 5, 16, 16, 52, 17), 0.208403917311245, False, 'best']
['alainapercival', 202543893, 'impression', '11', 240538509L, datetime.datetime(2013, 5, 16, 16, 52, 17), 0.155253460074811, False, 'best']
['alainapercival', 202543893, 'impression', '2', 240504955L, datetime.datetime(2013, 5, 16, 16, 52, 17), 0.578953017745994, False, 'best']
['alainapercival', 202543893, 'view_full_application_via_name', '1', 240504000L, datetime.datetime(2013, 5, 16, 16, 52, 46), 0.270597258701136, True, 'best']
['alainapercival', 202543893, 'impression', '8', 240536009L, datetime.datetime(2013, 5, 16, 16, 54, 31), 0.296633532426751, False, 'best']
['alainapercival', 202543893, 'impression', '4', 240512827L, datetime.datetime(2013, 5, 16, 16, 54, 31), 0.283362574586225, False, 'best']
['alainapercival', 202543893, 'impression', '2', 240507211L, datetime.datetime(2013, 5, 16, 16, 54, 31), 0.259087393221142, False, 'best']
['alainapercival', 202543893, 'impression', '7', 240530245L, datetime.datetime(2013, 5, 16, 16, 54, 31), 0.208403917311245, False, 'best']
['alainapercival', 202543893, 'impression', '1', 240504955L, datetime.datetime(2013, 5, 16, 16, 54, 31), 0.578953017745994, False, 'best']
['alainapercival', 202543893, 'impression', '10', 240538509L, datetime.datetime(2013, 5, 16, 16, 54, 31), 0.155253460074811, False, 'best']
['alainapercival', 202543893, 'impression', '3', 240509026L, datetime.datetime(2013, 5, 16, 16, 54, 31), 0.122587592779591, False, 'best']
['alainapercival', 202543893, 'impression', '5', 240518044L, datetime.datetime(2013, 5, 16, 16, 54, 31), 0.384485121547554, True, 'best']
['alainapercival', 202543893, 'impression', '6', 240520187L, datetime.datetime(2013, 5, 16, 16, 54, 31), 0.287602385146217, True, 'best']
['alainapercival', 202543893, 'impression', '11', 240545852L, datetime.datetime(2013, 5, 16, 16, 54, 31), 0.0491485940842309, False, 'best']
['alainapercival', 202543893, 'impression', '9', 240538166L, datetime.datetime(2013, 5, 16, 16, 54, 31), 0.114385630074579, False, 'best']
['alainapercival', 202543893, 'impression', '2', 240507211L, datetime.datetime(2013, 5, 16, 17, 0, 13), 0.259087393221142, False, 'best']
['alainapercival', 202543893, 'impression', '8', 240536009L, datetime.datetime(2013, 5, 16, 17, 0, 13), 0.296633532426751, False, 'best']
['alainapercival', 202543893, 'impression', '3', 240509026L, datetime.datetime(2013, 5, 16, 17, 0, 13), 0.122587592779591, False, 'best']
['alainapercival', 202543893, 'impression', '5', 240518044L, datetime.datetime(2013, 5, 16, 17, 0, 13), 0.384485121547554, True, 'best']
['alainapercival', 202543893, 'impression', '1', 240504955L, datetime.datetime(2013, 5, 16, 17, 0, 13), 0.578953017745994, False, 'best']
['alainapercival', 202543893, 'impression', '10', 240538509L, datetime.datetime(2013, 5, 16, 17, 0, 13), 0.155253460074811, False, 'best']
['alainapercival', 202543893, 'impression', '7', 240530245L, datetime.datetime(2013, 5, 16, 17, 0, 13), 0.208403917311245, False, 'best']
['alainapercival', 202543893, 'impression', '4', 240512827L, datetime.datetime(2013, 5, 16, 17, 0, 13), 0.283362574586225, False, 'best']
['alainapercival', 202543893, 'impression', '9', 240538166L, datetime.datetime(2013, 5, 16, 17, 0, 13), 0.114385630074579, False, 'best']
['alainapercival', 202543893, 'impression', '11', 240545852L, datetime.datetime(2013, 5, 16, 17, 0, 13), 0.0491485940842309, False, 'best']
['alainapercival', 202543893, 'impression', '6', 240520187L, datetime.datetime(2013, 5, 16, 17, 0, 13), 0.287602385146217, True, 'best']
['alainapercival', 202543893, 'expand_tile', '11', 240545852L, datetime.datetime(2013, 5, 16, 17, 2, 31), 0.0491485940842309, False, 'best']

['alainapercival', 202543893, 'impression', '1', 240504955L, datetime.datetime(2013, 5, 17, 18, 52, 44), 0.578953017745994, False, 'best']
['alainapercival', 202543893, 'impression', '1', 240504955L, datetime.datetime(2013, 5, 17, 18, 52, 44), 0.578953017745994, False, 'best']
['alainapercival', 202543893, 'impression', '2', 240507211L, datetime.datetime(2013, 5, 17, 18, 52, 55), 0.259087393221142, False, 'best']
['alainapercival', 202543893, 'view_full_application_via_name', '2', 240507211L, datetime.datetime(2013, 5, 17, 18, 53, 1), 0.259087393221142, False, 'best']

['alainapercival', 202543893, 'impression', '1', 240504955L, datetime.datetime(2013, 5, 17, 22, 29, 49), 0.578953017745994, False, 'best']
