['alemao85', 202563492, 'impression', '2', 240927921L, datetime.datetime(2013, 5, 21, 13, 27, 44), 0.0421741645695, False, 'time']
['alemao85', 202563492, 'impression', '1', 240928217L, datetime.datetime(2013, 5, 21, 13, 27, 44), 0.0733318877371395, False, 'time']
['alemao85', 202563492, 'view_full_application_via_name', '1', 240928217L, datetime.datetime(2013, 5, 21, 13, 27, 51), 0.0733318877371395, False, 'time']
['alemao85', 202563492, 'impression', '2', 240927921L, datetime.datetime(2013, 5, 21, 13, 28, 50), 0.0421741645695, False, 'time']
['alemao85', 202563492, 'impression', '1', 240928217L, datetime.datetime(2013, 5, 21, 13, 28, 50), 0.0733318877371395, False, 'time']
['alemao85', 202563492, 'view_full_application_via_name', '2', 240927921L, datetime.datetime(2013, 5, 21, 13, 28, 53), 0.0421741645695, False, 'time']
['alemao85', 202563492, 'impression', '4', 240927921L, datetime.datetime(2013, 5, 21, 13, 32, 2), 0.0421741645695, False, 'time']
['alemao85', 202563492, 'impression', '2', 240928580L, datetime.datetime(2013, 5, 21, 13, 32, 2), 0.0445760730231626, False, 'time']
['alemao85', 202563492, 'impression', '3', 240928217L, datetime.datetime(2013, 5, 21, 13, 32, 2), 0.0733318877371395, False, 'time']
['alemao85', 202563492, 'impression', '1', 240928710L, datetime.datetime(2013, 5, 21, 13, 32, 2), 0.0227886573355359, False, 'time']
['alemao85', 202563492, 'view_full_application_via_name', '2', 240928580L, datetime.datetime(2013, 5, 21, 13, 32, 11), 0.0445760730231626, False, 'time']
['alemao85', 202563492, 'impression', '3', 240928217L, datetime.datetime(2013, 5, 21, 13, 32, 26), 0.0733318877371395, False, 'time']
['alemao85', 202563492, 'impression', '1', 240928710L, datetime.datetime(2013, 5, 21, 13, 32, 26), 0.0227886573355359, False, 'time']
['alemao85', 202563492, 'impression', '2', 240928580L, datetime.datetime(2013, 5, 21, 13, 32, 26), 0.0445760730231626, False, 'time']
['alemao85', 202563492, 'impression', '4', 240927921L, datetime.datetime(2013, 5, 21, 13, 32, 26), 0.0421741645695, False, 'time']
['alemao85', 202563492, 'impression', '3', 240928217L, datetime.datetime(2013, 5, 21, 13, 32, 43), 0.0733318877371395, False, 'time']
['alemao85', 202563492, 'impression', '1', 240928710L, datetime.datetime(2013, 5, 21, 13, 32, 43), 0.0227886573355359, False, 'time']
['alemao85', 202563492, 'impression', '2', 240928580L, datetime.datetime(2013, 5, 21, 13, 32, 43), 0.0445760730231626, False, 'time']
['alemao85', 202563492, 'impression', '4', 240927921L, datetime.datetime(2013, 5, 21, 13, 32, 43), 0.0421741645695, False, 'time']
['alemao85', 202563492, 'view_full_application_via_name', '1', 240928710L, datetime.datetime(2013, 5, 21, 13, 32, 45), 0.0227886573355359, False, 'time']
['alemao85', 202563492, 'impression', '3', 240928217L, datetime.datetime(2013, 5, 21, 13, 33, 23), 0.0733318877371395, False, 'time']
['alemao85', 202563492, 'impression', '4', 240927921L, datetime.datetime(2013, 5, 21, 13, 33, 23), 0.0421741645695, False, 'time']
['alemao85', 202563492, 'impression', '2', 240928580L, datetime.datetime(2013, 5, 21, 13, 33, 23), 0.0445760730231626, False, 'time']
['alemao85', 202563492, 'impression', '1', 240928710L, datetime.datetime(2013, 5, 21, 13, 33, 23), 0.0227886573355359, False, 'time']
['alemao85', 202563492, 'expand_tile', '3', 240928217L, datetime.datetime(2013, 5, 21, 13, 33, 29), 0.0733318877371395, False, 'time']
['alemao85', 202563492, 'collapse_tile', '3', 240928217L, datetime.datetime(2013, 5, 21, 13, 33, 33), 0.0733318877371395, False, 'time']
['alemao85', 202563492, 'expand_tile', '4', 240927921L, datetime.datetime(2013, 5, 21, 13, 33, 37), 0.0421741645695, False, 'time']

['alemao85', 202563492, 'impression', '6', 240928710L, datetime.datetime(2013, 5, 21, 14, 20, 55), 0.0227886573355359, False, 'time']
['alemao85', 202563492, 'impression', '2', 240930971L, datetime.datetime(2013, 5, 21, 14, 20, 55), 0.0739084253027428, True, 'time']
['alemao85', 202563492, 'impression', '3', 240930742L, datetime.datetime(2013, 5, 21, 14, 20, 55), 0.156981153914783, False, 'time']
['alemao85', 202563492, 'impression', '7', 240928580L, datetime.datetime(2013, 5, 21, 14, 20, 55), 0.0445760730231626, False, 'time']
['alemao85', 202563492, 'impression', '9', 240927921L, datetime.datetime(2013, 5, 21, 14, 20, 55), 0.0421741645695, False, 'time']
