['allsite702', 202574462, 'impression', '9', 241141993L, datetime.datetime(2013, 5, 29, 17, 20, 19), 0.0325927413132141, False, 'best']
['allsite702', 202574462, 'impression', '1', 241161474L, datetime.datetime(2013, 5, 29, 17, 20, 19), 0.0738849969638744, False, 'best']
['allsite702', 202574462, 'impression', '2', 241165971L, datetime.datetime(2013, 5, 29, 17, 20, 19), 0.0564164786211279, False, 'best']
['allsite702', 202574462, 'impression', '6', 241199016L, datetime.datetime(2013, 5, 29, 17, 20, 19), 0.0360466677299405, False, 'best']
['allsite702', 202574462, 'impression', '4', 241152006L, datetime.datetime(2013, 5, 29, 17, 20, 19), 0.0473524421049373, False, 'best']
['allsite702', 202574462, 'impression', '13', 241145440L, datetime.datetime(2013, 5, 29, 17, 20, 19), 0.0284940163351606, False, 'best']
['allsite702', 202574462, 'impression', '3', 241147700L, datetime.datetime(2013, 5, 29, 17, 20, 19), 0.0562781393642403, False, 'best']
['allsite702', 202574462, 'impression', '18', 241539095L, datetime.datetime(2013, 5, 29, 17, 20, 19), 0.0225337667714949, False, 'best']
['allsite702', 202574462, 'impression', '7', 241158946L, datetime.datetime(2013, 5, 29, 17, 20, 19), 0.0348217411119554, False, 'best']
['allsite702', 202574462, 'impression', '20', 241164507L, datetime.datetime(2013, 5, 29, 17, 20, 19), 0.0198943473317897, False, 'best']
['allsite702', 202574462, 'impression', '17', 241166704L, datetime.datetime(2013, 5, 29, 17, 20, 19), 0.0250289872673989, False, 'best']
['allsite702', 202574462, 'impression', '14', 241143208L, datetime.datetime(2013, 5, 29, 17, 20, 19), 0.0267240792130921, False, 'best']
['allsite702', 202574462, 'impression', '11', 241144060L, datetime.datetime(2013, 5, 29, 17, 20, 19), 0.0298777711747337, False, 'best']
['allsite702', 202574462, 'impression', '15', 241142183L, datetime.datetime(2013, 5, 29, 17, 20, 19), 0.0256709729227189, False, 'best']
['allsite702', 202574462, 'impression', '8', 241226502L, datetime.datetime(2013, 5, 29, 17, 20, 19), 0.0339609515015829, False, 'best']
['allsite702', 202574462, 'impression', '16', 241144932L, datetime.datetime(2013, 5, 29, 17, 20, 19), 0.0251736446028252, False, 'best']
['allsite702', 202574462, 'impression', '19', 241190682L, datetime.datetime(2013, 5, 29, 17, 20, 19), 0.0220176015341592, False, 'best']
['allsite702', 202574462, 'impression', '10', 241175368L, datetime.datetime(2013, 5, 29, 17, 20, 19), 0.0310975088922018, False, 'best']
['allsite702', 202574462, 'impression', '12', 241189889L, datetime.datetime(2013, 5, 29, 17, 20, 19), 0.0285734107640054, False, 'best']
['allsite702', 202574462, 'impression', '5', 241143567L, datetime.datetime(2013, 5, 29, 17, 20, 19), 0.0392972354605261, False, 'best']
['allsite702', 202574462, 'expand_tile', '4', 241152006L, datetime.datetime(2013, 5, 29, 17, 20, 30), 0.0473524421049373, False, 'best']
['allsite702', 202574462, 'collapse_tile', '4', 241152006L, datetime.datetime(2013, 5, 29, 17, 20, 32), 0.0473524421049373, False, 'best']
['allsite702', 202574462, 'expand_tile', '4', 241152006L, datetime.datetime(2013, 5, 29, 17, 20, 33), 0.0473524421049373, False, 'best']
['allsite702', 202574462, 'view_full_application_via_name', '4', 241152006L, datetime.datetime(2013, 5, 29, 17, 20, 34), 0.0473524421049373, False, 'best']
['allsite702', 202574462, 'impression', '8', 241226502L, datetime.datetime(2013, 5, 29, 17, 20, 48), 0.0339609515015829, False, 'best']
['allsite702', 202574462, 'impression', '16', 241144932L, datetime.datetime(2013, 5, 29, 17, 20, 48), 0.0251736446028252, False, 'best']
['allsite702', 202574462, 'impression', '19', 241190682L, datetime.datetime(2013, 5, 29, 17, 20, 48), 0.0220176015341592, False, 'best']
['allsite702', 202574462, 'impression', '1', 241161474L, datetime.datetime(2013, 5, 29, 17, 20, 48), 0.0738849969638744, False, 'best']
['allsite702', 202574462, 'impression', '9', 241141993L, datetime.datetime(2013, 5, 29, 17, 20, 48), 0.0325927413132141, False, 'best']
['allsite702', 202574462, 'impression', '2', 241165971L, datetime.datetime(2013, 5, 29, 17, 20, 48), 0.0564164786211279, False, 'best']
['allsite702', 202574462, 'impression', '12', 241189889L, datetime.datetime(2013, 5, 29, 17, 20, 48), 0.0285734107640054, False, 'best']
['allsite702', 202574462, 'impression', '5', 241143567L, datetime.datetime(2013, 5, 29, 17, 20, 48), 0.0392972354605261, False, 'best']
['allsite702', 202574462, 'impression', '10', 241175368L, datetime.datetime(2013, 5, 29, 17, 20, 48), 0.0310975088922018, False, 'best']
['allsite702', 202574462, 'impression', '15', 241142183L, datetime.datetime(2013, 5, 29, 17, 20, 48), 0.0256709729227189, False, 'best']
['allsite702', 202574462, 'impression', '11', 241144060L, datetime.datetime(2013, 5, 29, 17, 20, 48), 0.0298777711747337, False, 'best']
['allsite702', 202574462, 'impression', '4', 241152006L, datetime.datetime(2013, 5, 29, 17, 20, 48), 0.0473524421049373, False, 'best']
['allsite702', 202574462, 'impression', '6', 241199016L, datetime.datetime(2013, 5, 29, 17, 20, 48), 0.0360466677299405, False, 'best']
['allsite702', 202574462, 'impression', '13', 241145440L, datetime.datetime(2013, 5, 29, 17, 20, 48), 0.0284940163351606, False, 'best']
['allsite702', 202574462, 'impression', '17', 241166704L, datetime.datetime(2013, 5, 29, 17, 20, 48), 0.0250289872673989, False, 'best']
['allsite702', 202574462, 'impression', '7', 241158946L, datetime.datetime(2013, 5, 29, 17, 20, 48), 0.0348217411119554, False, 'best']
['allsite702', 202574462, 'impression', '20', 241164507L, datetime.datetime(2013, 5, 29, 17, 20, 48), 0.0198943473317897, False, 'best']
['allsite702', 202574462, 'impression', '18', 241539095L, datetime.datetime(2013, 5, 29, 17, 20, 48), 0.0225337667714949, False, 'best']
['allsite702', 202574462, 'impression', '3', 241147700L, datetime.datetime(2013, 5, 29, 17, 20, 48), 0.0562781393642403, False, 'best']
['allsite702', 202574462, 'impression', '14', 241143208L, datetime.datetime(2013, 5, 29, 17, 20, 48), 0.0267240792130921, False, 'best']
['allsite702', 202574462, 'impression', '7', 241158946L, datetime.datetime(2013, 5, 29, 17, 21, 23), 0.0348217411119554, False, 'best']

['allsite702', 202574462, 'impression', '14', 241143208L, datetime.datetime(2013, 5, 29, 20, 3, 52), 0.0267240792130921, False, 'best']
['allsite702', 202574462, 'impression', '8', 241226502L, datetime.datetime(2013, 5, 29, 20, 3, 52), 0.0339609515015829, False, 'best']
['allsite702', 202574462, 'impression', '19', 241190682L, datetime.datetime(2013, 5, 29, 20, 3, 52), 0.0220176015341592, False, 'best']
['allsite702', 202574462, 'impression', '16', 241144932L, datetime.datetime(2013, 5, 29, 20, 3, 52), 0.0251736446028252, False, 'best']
['allsite702', 202574462, 'impression', '9', 241141993L, datetime.datetime(2013, 5, 29, 20, 3, 52), 0.0325927413132141, False, 'best']
['allsite702', 202574462, 'impression', '1', 241161474L, datetime.datetime(2013, 5, 29, 20, 3, 52), 0.0738849969638744, False, 'best']
['allsite702', 202574462, 'impression', '2', 241165971L, datetime.datetime(2013, 5, 29, 20, 3, 52), 0.0564164786211279, False, 'best']
['allsite702', 202574462, 'impression', '18', 241539095L, datetime.datetime(2013, 5, 29, 20, 3, 52), 0.0225337667714949, False, 'best']
['allsite702', 202574462, 'impression', '3', 241147700L, datetime.datetime(2013, 5, 29, 20, 3, 52), 0.0562781393642403, False, 'best']
['allsite702', 202574462, 'impression', '13', 241145440L, datetime.datetime(2013, 5, 29, 20, 3, 52), 0.0284940163351606, False, 'best']
['allsite702', 202574462, 'impression', '6', 241199016L, datetime.datetime(2013, 5, 29, 20, 3, 52), 0.0360466677299405, False, 'best']
['allsite702', 202574462, 'impression', '4', 241152006L, datetime.datetime(2013, 5, 29, 20, 3, 52), 0.0473524421049373, False, 'best']
['allsite702', 202574462, 'impression', '11', 241144060L, datetime.datetime(2013, 5, 29, 20, 3, 52), 0.0298777711747337, False, 'best']
['allsite702', 202574462, 'impression', '15', 241142183L, datetime.datetime(2013, 5, 29, 20, 3, 52), 0.0256709729227189, False, 'best']
['allsite702', 202574462, 'impression', '5', 241143567L, datetime.datetime(2013, 5, 29, 20, 3, 52), 0.0392972354605261, False, 'best']
['allsite702', 202574462, 'impression', '10', 241175368L, datetime.datetime(2013, 5, 29, 20, 3, 52), 0.0310975088922018, False, 'best']
['allsite702', 202574462, 'impression', '12', 241189889L, datetime.datetime(2013, 5, 29, 20, 3, 52), 0.0285734107640054, False, 'best']
['allsite702', 202574462, 'impression', '17', 241166704L, datetime.datetime(2013, 5, 29, 20, 3, 52), 0.0250289872673989, False, 'best']
['allsite702', 202574462, 'impression', '7', 241158946L, datetime.datetime(2013, 5, 29, 20, 3, 52), 0.0348217411119554, False, 'best']
['allsite702', 202574462, 'impression', '20', 241164507L, datetime.datetime(2013, 5, 29, 20, 3, 52), 0.0198943473317897, False, 'best']
['allsite702', 202574462, 'view_full_application_via_name', '11', 241144060L, datetime.datetime(2013, 5, 29, 20, 4, 16), 0.0298777711747337, False, 'best']
['allsite702', 202574462, 'impression', '6', 241199016L, datetime.datetime(2013, 5, 29, 20, 12, 50), 0.0360466677299405, False, 'best']
['allsite702', 202574462, 'impression', '13', 241145440L, datetime.datetime(2013, 5, 29, 20, 12, 50), 0.0284940163351606, False, 'best']
['allsite702', 202574462, 'impression', '4', 241152006L, datetime.datetime(2013, 5, 29, 20, 12, 50), 0.0473524421049373, False, 'best']
['allsite702', 202574462, 'impression', '2', 241165971L, datetime.datetime(2013, 5, 29, 20, 12, 50), 0.0564164786211279, False, 'best']
['allsite702', 202574462, 'impression', '9', 241141993L, datetime.datetime(2013, 5, 29, 20, 12, 50), 0.0325927413132141, False, 'best']
['allsite702', 202574462, 'impression', '1', 241161474L, datetime.datetime(2013, 5, 29, 20, 12, 50), 0.0738849969638744, False, 'best']
['allsite702', 202574462, 'impression', '19', 241190682L, datetime.datetime(2013, 5, 29, 20, 12, 50), 0.0220176015341592, False, 'best']
['allsite702', 202574462, 'impression', '8', 241226502L, datetime.datetime(2013, 5, 29, 20, 12, 50), 0.0339609515015829, False, 'best']
['allsite702', 202574462, 'impression', '16', 241144932L, datetime.datetime(2013, 5, 29, 20, 12, 50), 0.0251736446028252, False, 'best']
['allsite702', 202574462, 'impression', '11', 241144060L, datetime.datetime(2013, 5, 29, 20, 12, 50), 0.0298777711747337, False, 'best']
['allsite702', 202574462, 'impression', '15', 241142183L, datetime.datetime(2013, 5, 29, 20, 12, 50), 0.0256709729227189, False, 'best']
['allsite702', 202574462, 'impression', '12', 241189889L, datetime.datetime(2013, 5, 29, 20, 12, 50), 0.0285734107640054, False, 'best']
['allsite702', 202574462, 'impression', '5', 241143567L, datetime.datetime(2013, 5, 29, 20, 12, 50), 0.0392972354605261, False, 'best']
['allsite702', 202574462, 'impression', '10', 241175368L, datetime.datetime(2013, 5, 29, 20, 12, 50), 0.0310975088922018, False, 'best']
['allsite702', 202574462, 'impression', '20', 241164507L, datetime.datetime(2013, 5, 29, 20, 12, 50), 0.0198943473317897, False, 'best']
['allsite702', 202574462, 'impression', '7', 241158946L, datetime.datetime(2013, 5, 29, 20, 12, 50), 0.0348217411119554, False, 'best']
['allsite702', 202574462, 'impression', '17', 241166704L, datetime.datetime(2013, 5, 29, 20, 12, 50), 0.0250289872673989, False, 'best']
['allsite702', 202574462, 'impression', '14', 241143208L, datetime.datetime(2013, 5, 29, 20, 12, 50), 0.0267240792130921, False, 'best']
['allsite702', 202574462, 'impression', '18', 241539095L, datetime.datetime(2013, 5, 29, 20, 12, 50), 0.0225337667714949, False, 'best']
['allsite702', 202574462, 'impression', '3', 241147700L, datetime.datetime(2013, 5, 29, 20, 12, 50), 0.0562781393642403, False, 'best']
['allsite702', 202574462, 'view_full_application_via_name', '1', 241161474L, datetime.datetime(2013, 5, 29, 20, 13, 3), 0.0738849969638744, False, 'best']

['allsite702', 202574462, 'impression', '3', 241147700L, datetime.datetime(2013, 5, 29, 23, 23, 39), 0.0562781393642403, False, 'best']
['allsite702', 202574462, 'impression', '18', 241539095L, datetime.datetime(2013, 5, 29, 23, 23, 39), 0.0225337667714949, False, 'best']
['allsite702', 202574462, 'impression', '14', 241143208L, datetime.datetime(2013, 5, 29, 23, 23, 39), 0.0267240792130921, False, 'best']
['allsite702', 202574462, 'impression', '15', 241142183L, datetime.datetime(2013, 5, 29, 23, 23, 39), 0.0256709729227189, False, 'best']
['allsite702', 202574462, 'impression', '11', 241144060L, datetime.datetime(2013, 5, 29, 23, 23, 39), 0.0298777711747337, False, 'best']
