['ally_c', 202559141, 'impression', '2', 240839991L, datetime.datetime(2013, 5, 20, 15, 6, 30), 0.256781791175126, False, 'best']
['ally_c', 202559141, 'impression', '6', 240840127L, datetime.datetime(2013, 5, 20, 15, 6, 30), 0.109129057125316, False, 'best']
['ally_c', 202559141, 'impression', '4', 240839957L, datetime.datetime(2013, 5, 20, 15, 6, 30), 0.123131730590874, False, 'best']
['ally_c', 202559141, 'impression', '7', 240839905L, datetime.datetime(2013, 5, 20, 15, 6, 30), 0.102245478092525, False, 'best']
['ally_c', 202559141, 'impression', '3', 240840265L, datetime.datetime(2013, 5, 20, 15, 6, 30), 0.208253193223736, False, 'best']
['ally_c', 202559141, 'impression', '5', 240840260L, datetime.datetime(2013, 5, 20, 15, 6, 30), 0.117707644445566, False, 'best']
['ally_c', 202559141, 'impression', '1', 240839993L, datetime.datetime(2013, 5, 20, 15, 6, 30), 0.293823247927987, False, 'best']
['ally_c', 202559141, 'shortlist', '1', 240839993L, datetime.datetime(2013, 5, 20, 15, 8, 8), 0.293823247927987, False, 'best']
['ally_c', 202559141, 'hide', '2', 240839991L, datetime.datetime(2013, 5, 20, 15, 8, 15), 0.256781791175126, False, 'best']
['ally_c', 202559141, 'hide', '3', 240840265L, datetime.datetime(2013, 5, 20, 15, 8, 18), 0.208253193223736, False, 'best']
['ally_c', 202559141, 'hide', '4', 240839957L, datetime.datetime(2013, 5, 20, 15, 8, 20), 0.123131730590874, False, 'best']
['ally_c', 202559141, 'hide', '5', 240840260L, datetime.datetime(2013, 5, 20, 15, 8, 22), 0.117707644445566, False, 'best']
['ally_c', 202559141, 'hide', '6', 240840127L, datetime.datetime(2013, 5, 20, 15, 8, 27), 0.109129057125316, False, 'best']
['ally_c', 202559141, 'hide', '7', 240839905L, datetime.datetime(2013, 5, 20, 15, 8, 29), 0.102245478092525, False, 'best']
['ally_c', 202559141, 'view_full_application_via_name', '1', 240839993L, datetime.datetime(2013, 5, 20, 15, 8, 31), 0.293823247927987, False, 'best']
['ally_c', 202559141, 'view_full_application_via_name', '1', 240839993L, datetime.datetime(2013, 5, 20, 15, 8, 35), 0.293823247927987, False, 'best']
['ally_c', 202559141, 'impression', '1', 240839993L, datetime.datetime(2013, 5, 20, 15, 14, 11), 0.293823247927987, False, 'best']

['ally_c', 202559141, 'impression', '18', 240841818L, datetime.datetime(2013, 5, 20, 15, 56, 9), 0.206330963038122, False, 'best']
['ally_c', 202559141, 'impression', '17', 240842264L, datetime.datetime(2013, 5, 20, 15, 56, 9), 0.209190401799797, False, 'best']
['ally_c', 202559141, 'impression', '3', 240841209L, datetime.datetime(2013, 5, 20, 15, 56, 9), 0.402662731760667, False, 'best']
['ally_c', 202559141, 'impression', '10', 240842377L, datetime.datetime(2013, 5, 20, 15, 56, 9), 0.262896978467539, False, 'best']
['ally_c', 202559141, 'impression', '1', 240841064L, datetime.datetime(2013, 5, 20, 15, 56, 9), 0.457418517989134, False, 'best']
['ally_c', 202559141, 'impression', '12', 240844324L, datetime.datetime(2013, 5, 20, 15, 56, 9), 0.247274262309436, False, 'best']
['ally_c', 202559141, 'impression', '5', 240839993L, datetime.datetime(2013, 5, 20, 15, 56, 9), 0.293823247927987, False, 'best']
['ally_c', 202559141, 'impression', '6', 240841876L, datetime.datetime(2013, 5, 20, 15, 56, 9), 0.273437862067521, False, 'best']
['ally_c', 202559141, 'impression', '19', 240841322L, datetime.datetime(2013, 5, 20, 15, 56, 9), 0.198974936433291, False, 'best']
['ally_c', 202559141, 'impression', '20', 240843062L, datetime.datetime(2013, 5, 20, 15, 56, 9), 0.176246849051696, False, 'best']
['ally_c', 202559141, 'impression', '7', 240840990L, datetime.datetime(2013, 5, 20, 15, 56, 9), 0.272319738955328, False, 'best']
['ally_c', 202559141, 'impression', '4', 240841678L, datetime.datetime(2013, 5, 20, 15, 56, 9), 0.373157342811379, False, 'best']
['ally_c', 202559141, 'impression', '13', 240841217L, datetime.datetime(2013, 5, 20, 15, 56, 9), 0.24657694318014, False, 'best']
['ally_c', 202559141, 'impression', '14', 240840346L, datetime.datetime(2013, 5, 20, 15, 56, 9), 0.246288867308674, False, 'best']
['ally_c', 202559141, 'impression', '8', 240840948L, datetime.datetime(2013, 5, 20, 15, 56, 9), 0.267509967172085, False, 'best']
['ally_c', 202559141, 'impression', '16', 240840362L, datetime.datetime(2013, 5, 20, 15, 56, 9), 0.213851354492407, False, 'best']
['ally_c', 202559141, 'impression', '11', 240841864L, datetime.datetime(2013, 5, 20, 15, 56, 9), 0.260900511695804, False, 'best']
['ally_c', 202559141, 'impression', '2', 240841122L, datetime.datetime(2013, 5, 20, 15, 56, 9), 0.411554934827996, False, 'best']
['ally_c', 202559141, 'impression', '15', 240840765L, datetime.datetime(2013, 5, 20, 15, 56, 9), 0.220964443840479, False, 'best']
['ally_c', 202559141, 'impression', '9', 240843427L, datetime.datetime(2013, 5, 20, 15, 56, 9), 0.265251857678111, False, 'best']
['ally_c', 202559141, 'shortlist', '2', 240841122L, datetime.datetime(2013, 5, 20, 15, 56, 18), 0.411554934827996, False, 'best']
['ally_c', 202559141, 'expand_tile', '1', 240841064L, datetime.datetime(2013, 5, 20, 15, 56, 34), 0.457418517989134, False, 'best']
['ally_c', 202559141, 'view_full_application', '1', 240841064L, datetime.datetime(2013, 5, 20, 15, 56, 36), 0.457418517989134, False, 'best']
['ally_c', 202559141, 'impression', '17', 240842264L, datetime.datetime(2013, 5, 20, 15, 57, 18), 0.209190401799797, False, 'best']
['ally_c', 202559141, 'impression', '3', 240841209L, datetime.datetime(2013, 5, 20, 15, 57, 18), 0.402662731760667, False, 'best']
['ally_c', 202559141, 'impression', '18', 240841818L, datetime.datetime(2013, 5, 20, 15, 57, 18), 0.206330963038122, False, 'best']
['ally_c', 202559141, 'impression', '19', 240841322L, datetime.datetime(2013, 5, 20, 15, 57, 18), 0.198974936433291, False, 'best']
['ally_c', 202559141, 'impression', '6', 240841876L, datetime.datetime(2013, 5, 20, 15, 57, 18), 0.273437862067521, False, 'best']
['ally_c', 202559141, 'impression', '14', 240840346L, datetime.datetime(2013, 5, 20, 15, 57, 18), 0.246288867308674, False, 'best']
['ally_c', 202559141, 'impression', '16', 240840362L, datetime.datetime(2013, 5, 20, 15, 57, 18), 0.213851354492407, False, 'best']
['ally_c', 202559141, 'impression', '11', 240841864L, datetime.datetime(2013, 5, 20, 15, 57, 18), 0.260900511695804, False, 'best']
['ally_c', 202559141, 'impression', '8', 240840948L, datetime.datetime(2013, 5, 20, 15, 57, 18), 0.267509967172085, False, 'best']
['ally_c', 202559141, 'impression', '12', 240844324L, datetime.datetime(2013, 5, 20, 15, 57, 18), 0.247274262309436, False, 'best']
['ally_c', 202559141, 'impression', '5', 240839993L, datetime.datetime(2013, 5, 20, 15, 57, 18), 0.293823247927987, False, 'best']
['ally_c', 202559141, 'impression', '2', 240841122L, datetime.datetime(2013, 5, 20, 15, 57, 18), 0.411554934827996, False, 'best']
['ally_c', 202559141, 'impression', '9', 240843427L, datetime.datetime(2013, 5, 20, 15, 57, 18), 0.265251857678111, False, 'best']
['ally_c', 202559141, 'impression', '15', 240840765L, datetime.datetime(2013, 5, 20, 15, 57, 18), 0.220964443840479, False, 'best']
['ally_c', 202559141, 'impression', '7', 240840990L, datetime.datetime(2013, 5, 20, 15, 57, 18), 0.272319738955328, False, 'best']
['ally_c', 202559141, 'impression', '20', 240843062L, datetime.datetime(2013, 5, 20, 15, 57, 18), 0.176246849051696, False, 'best']
['ally_c', 202559141, 'impression', '4', 240841678L, datetime.datetime(2013, 5, 20, 15, 57, 18), 0.373157342811379, False, 'best']
['ally_c', 202559141, 'impression', '13', 240841217L, datetime.datetime(2013, 5, 20, 15, 57, 18), 0.24657694318014, False, 'best']
['ally_c', 202559141, 'impression', '10', 240842377L, datetime.datetime(2013, 5, 20, 15, 57, 18), 0.262896978467539, False, 'best']
['ally_c', 202559141, 'impression', '1', 240841064L, datetime.datetime(2013, 5, 20, 15, 57, 18), 0.457418517989134, False, 'best']
['ally_c', 202559141, 'hide', '1', 240841064L, datetime.datetime(2013, 5, 20, 15, 58, 19), 0.457418517989134, False, 'best']
