['amergen', 202571790, 'impression', '5', 241078956L, datetime.datetime(2013, 5, 23, 7, 3, 27), 0.008721969236001, False, 'time']
['amergen', 202571790, 'impression', '3', 241079345L, datetime.datetime(2013, 5, 23, 7, 3, 27), 0.011854348495338, False, 'time']
['amergen', 202571790, 'impression', '2', 241079646L, datetime.datetime(2013, 5, 23, 7, 3, 27), 0.0172468676779343, False, 'time']
['amergen', 202571790, 'impression', '1', 241079735L, datetime.datetime(2013, 5, 23, 7, 3, 27), 0.0859642263553268, False, 'time']
['amergen', 202571790, 'impression', '4', 241079268L, datetime.datetime(2013, 5, 23, 7, 3, 27), 0.0137633558919677, False, 'time']
['amergen', 202571790, 'expand_tile', '4', 241079268L, datetime.datetime(2013, 5, 23, 7, 4, 48), 0.0137633558919677, False, 'time']
['amergen', 202571790, 'expand_tile', '4', 241079268L, datetime.datetime(2013, 5, 23, 7, 5, 27), 0.0137633558919677, False, 'time']
['amergen', 202571790, 'shortlist', '4', 241079268L, datetime.datetime(2013, 5, 23, 7, 5, 27), 0.0137633558919677, False, 'time']

['amergen', 202571790, 'impression', '1', 241079735L, datetime.datetime(2013, 5, 23, 7, 43, 54), 0.0859642263553268, False, 'time']
['amergen', 202571790, 'impression', '6', 241079345L, datetime.datetime(2013, 5, 23, 7, 45, 22), 0.011854348495338, False, 'time']
['amergen', 202571790, 'impression', '5', 241079646L, datetime.datetime(2013, 5, 23, 7, 45, 22), 0.0172468676779343, False, 'time']
['amergen', 202571790, 'impression', '7', 241079268L, datetime.datetime(2013, 5, 23, 7, 45, 22), 0.0137633558919677, False, 'time']
['amergen', 202571790, 'impression', '4', 241079735L, datetime.datetime(2013, 5, 23, 7, 45, 22), 0.0859642263553268, False, 'time']
['amergen', 202571790, 'impression', '2', 241082672L, datetime.datetime(2013, 5, 23, 7, 45, 22), 0.0284147530668033, False, 'time']
['amergen', 202571790, 'impression', '1', 241082824L, datetime.datetime(2013, 5, 23, 7, 45, 22), 0.0177473188962186, False, 'time']
['amergen', 202571790, 'impression', '3', 241082290L, datetime.datetime(2013, 5, 23, 7, 45, 22), 0.0150314386051935, False, 'time']
['amergen', 202571790, 'impression', '8', 241078956L, datetime.datetime(2013, 5, 23, 7, 45, 22), 0.008721969236001, False, 'time']
['amergen', 202571790, 'expand_tile', '3', 241082290L, datetime.datetime(2013, 5, 23, 7, 46, 9), 0.0150314386051935, False, 'time']
['amergen', 202571790, 'collapse_tile', '3', 241082290L, datetime.datetime(2013, 5, 23, 7, 46, 21), 0.0150314386051935, False, 'time']
['amergen', 202571790, 'expand_tile', '3', 241082290L, datetime.datetime(2013, 5, 23, 7, 46, 22), 0.0150314386051935, False, 'time']
['amergen', 202571790, 'view_full_application', '3', 241082290L, datetime.datetime(2013, 5, 23, 7, 46, 28), 0.0150314386051935, False, 'time']
['amergen', 202571790, 'impression', '3', 241082672L, datetime.datetime(2013, 5, 23, 7, 56, 50), 0.0284147530668033, False, 'time']
['amergen', 202571790, 'impression', '2', 241082824L, datetime.datetime(2013, 5, 23, 7, 56, 50), 0.0177473188962186, False, 'time']
['amergen', 202571790, 'impression', '9', 241078956L, datetime.datetime(2013, 5, 23, 7, 56, 50), 0.008721969236001, False, 'time']
['amergen', 202571790, 'impression', '1', 241084454L, datetime.datetime(2013, 5, 23, 7, 56, 50), 0.0365729408277966, False, 'time']
['amergen', 202571790, 'impression', '8', 241079268L, datetime.datetime(2013, 5, 23, 7, 56, 50), 0.0137633558919677, False, 'time']
['amergen', 202571790, 'impression', '5', 241079735L, datetime.datetime(2013, 5, 23, 7, 56, 50), 0.0859642263553268, False, 'time']
['amergen', 202571790, 'impression', '4', 241082290L, datetime.datetime(2013, 5, 23, 7, 56, 50), 0.0150314386051935, False, 'time']
['amergen', 202571790, 'impression', '6', 241079646L, datetime.datetime(2013, 5, 23, 7, 56, 50), 0.0172468676779343, False, 'time']
['amergen', 202571790, 'impression', '7', 241079345L, datetime.datetime(2013, 5, 23, 7, 56, 50), 0.011854348495338, False, 'time']
['amergen', 202571790, 'impression', '2', 241082824L, datetime.datetime(2013, 5, 23, 7, 58), 0.0177473188962186, False, 'time']
['amergen', 202571790, 'impression', '2', 241079646L, datetime.datetime(2013, 5, 23, 7, 58, 13), 0.0172468676779343, False, 'best']
['amergen', 202571790, 'impression', '6', 241079345L, datetime.datetime(2013, 5, 23, 7, 58, 13), 0.011854348495338, False, 'best']
['amergen', 202571790, 'impression', '9', 241082824L, datetime.datetime(2013, 5, 23, 7, 58, 13), 0.0177473188962186, False, 'best']
['amergen', 202571790, 'impression', '8', 241082672L, datetime.datetime(2013, 5, 23, 7, 58, 13), 0.0284147530668033, False, 'best']
['amergen', 202571790, 'impression', '4', 241079268L, datetime.datetime(2013, 5, 23, 7, 58, 13), 0.0137633558919677, False, 'best']
['amergen', 202571790, 'impression', '3', 241082290L, datetime.datetime(2013, 5, 23, 7, 58, 13), 0.0150314386051935, False, 'best']
['amergen', 202571790, 'impression', '5', 241078956L, datetime.datetime(2013, 5, 23, 7, 58, 13), 0.008721969236001, False, 'best']
['amergen', 202571790, 'impression', '1', 241084454L, datetime.datetime(2013, 5, 23, 7, 58, 13), 0.0365729408277966, False, 'best']
['amergen', 202571790, 'impression', '7', 241079735L, datetime.datetime(2013, 5, 23, 7, 58, 13), 0.0859642263553268, False, 'best']
['amergen', 202571790, 'expand_tile', '4', 241079268L, datetime.datetime(2013, 5, 23, 7, 59, 13), 0.0137633558919677, False, 'best']
['amergen', 202571790, 'view_full_application', '4', 241079268L, datetime.datetime(2013, 5, 23, 7, 59, 17), 0.0137633558919677, False, 'best']
['amergen', 202571790, 'impression', '4', 241082290L, datetime.datetime(2013, 5, 23, 8, 18, 57), 0.0150314386051935, False, 'time']
['amergen', 202571790, 'impression', '2', 241082824L, datetime.datetime(2013, 5, 23, 8, 18, 57), 0.0177473188962186, False, 'time']
['amergen', 202571790, 'impression', '3', 241082672L, datetime.datetime(2013, 5, 23, 8, 18, 57), 0.0284147530668033, False, 'time']
['amergen', 202571790, 'impression', '9', 241078956L, datetime.datetime(2013, 5, 23, 8, 18, 57), 0.008721969236001, False, 'time']
['amergen', 202571790, 'impression', '1', 241084454L, datetime.datetime(2013, 5, 23, 8, 18, 57), 0.0365729408277966, False, 'time']
['amergen', 202571790, 'impression', '8', 241079268L, datetime.datetime(2013, 5, 23, 8, 18, 57), 0.0137633558919677, False, 'time']
['amergen', 202571790, 'impression', '6', 241079646L, datetime.datetime(2013, 5, 23, 8, 18, 57), 0.0172468676779343, False, 'time']
['amergen', 202571790, 'impression', '7', 241079345L, datetime.datetime(2013, 5, 23, 8, 18, 57), 0.011854348495338, False, 'time']
['amergen', 202571790, 'impression', '5', 241079735L, datetime.datetime(2013, 5, 23, 8, 18, 57), 0.0859642263553268, False, 'time']
['amergen', 202571790, 'expand_tile', '1', 241084454L, datetime.datetime(2013, 5, 23, 8, 19, 29), 0.0365729408277966, False, 'time']
['amergen', 202571790, 'expand_tile', '7', 241079345L, datetime.datetime(2013, 5, 23, 8, 20, 46), 0.011854348495338, False, 'time']
['amergen', 202571790, 'view_full_application', '1', 241084454L, datetime.datetime(2013, 5, 23, 8, 21, 50), 0.0365729408277966, False, 'time']
