['amykattaylor', 202586993, 'impression', '3', 241423403L, datetime.datetime(2013, 5, 27, 19, 29, 50), 0.446982611251584, False, 'best']
['amykattaylor', 202586993, 'impression', '9', 241423541L, datetime.datetime(2013, 5, 27, 19, 29, 50), 0.11159370478687, True, 'best']
['amykattaylor', 202586993, 'impression', '8', 241423739L, datetime.datetime(2013, 5, 27, 19, 29, 50), 0.206465637149815, False, 'best']
['amykattaylor', 202586993, 'impression', '2', 241424472L, datetime.datetime(2013, 5, 27, 19, 29, 50), 0.475187562522543, False, 'best']
['amykattaylor', 202586993, 'impression', '6', 241427074L, datetime.datetime(2013, 5, 27, 19, 29, 50), 0.275117528095708, False, 'best']
['amykattaylor', 202586993, 'impression', '1', 241427123L, datetime.datetime(2013, 5, 27, 19, 29, 50), 0.557872891955782, False, 'best']
['amykattaylor', 202586993, 'impression', '5', 241423378L, datetime.datetime(2013, 5, 27, 19, 29, 50), 0.300187620815846, False, 'best']
['amykattaylor', 202586993, 'impression', '7', 241424024L, datetime.datetime(2013, 5, 27, 19, 29, 50), 0.265678080967716, False, 'best']
['amykattaylor', 202586993, 'impression', '4', 241426359L, datetime.datetime(2013, 5, 27, 19, 29, 50), 0.307628286015067, False, 'best']
['amykattaylor', 202586993, 'impression', '10', 241422578L, datetime.datetime(2013, 5, 27, 19, 29, 50), 0.0936557311652785, False, 'best']
['amykattaylor', 202586993, 'expand_tile', '4', 241426359L, datetime.datetime(2013, 5, 27, 19, 31, 19), 0.307628286015067, False, 'best']
['amykattaylor', 202586993, 'expand_tile', '9', 241423541L, datetime.datetime(2013, 5, 27, 19, 31, 28), 0.11159370478687, True, 'best']
['amykattaylor', 202586993, 'hire', '9', 241423541L, datetime.datetime(2013, 5, 27, 19, 31, 50), 0.11159370478687, True, 'best']

