['andrewschad', 202592182, 'impression', '1', 241532179L, datetime.datetime(2013, 5, 28, 23, 56, 25), 0.204856937273559, True, 'time']

['andrewschad', 202592182, 'impression', '1', 241532179L, datetime.datetime(2013, 5, 29, 0, 26, 31), 0.204856937273559, True, 'time']
['andrewschad', 202592182, 'expand_tile', '1', 241532179L, datetime.datetime(2013, 5, 29, 0, 26, 37), 0.204856937273559, True, 'time']
['andrewschad', 202592182, 'view_full_application_via_name', '1', 241532179L, datetime.datetime(2013, 5, 29, 0, 26, 47), 0.204856937273559, True, 'time']

['andrewschad', 202592182, 'impression', '1', 241580031L, datetime.datetime(2013, 5, 29, 15, 57, 47), 0.0397871140645339, False, 'time']
['andrewschad', 202592182, 'impression', '3', 241537879L, datetime.datetime(2013, 5, 29, 15, 57, 47), 0.103237176713633, False, 'time']
['andrewschad', 202592182, 'impression', '2', 241568404L, datetime.datetime(2013, 5, 29, 15, 57, 47), 0.063609206290541, False, 'time']
['andrewschad', 202592182, 'impression', '5', 241536917L, datetime.datetime(2013, 5, 29, 15, 57, 47), 0.180165593040186, False, 'time']
['andrewschad', 202592182, 'impression', '4', 241537552L, datetime.datetime(2013, 5, 29, 15, 57, 47), 0.0440429745529282, False, 'time']
['andrewschad', 202592182, 'view_full_application_via_name', '4', 241537552L, datetime.datetime(2013, 5, 29, 15, 58, 3), 0.0440429745529282, False, 'time']

['andrewschad', 202592182, 'impression', '5', 241536917L, datetime.datetime(2013, 5, 29, 19, 42, 29), 0.180165593040186, False, 'time']
['andrewschad', 202592182, 'impression', '3', 241537879L, datetime.datetime(2013, 5, 29, 19, 42, 29), 0.103237176713633, False, 'time']
['andrewschad', 202592182, 'impression', '2', 241568404L, datetime.datetime(2013, 5, 29, 19, 42, 29), 0.063609206290541, False, 'time']
['andrewschad', 202592182, 'impression', '4', 241537552L, datetime.datetime(2013, 5, 29, 19, 42, 29), 0.0440429745529282, False, 'time']
['andrewschad', 202592182, 'impression', '1', 241580031L, datetime.datetime(2013, 5, 29, 19, 42, 29), 0.0397871140645339, False, 'time']

