['andychenhp', 202557198, 'impression', '1', 240795682L, datetime.datetime(2013, 5, 20, 5, 17, 39), 0.013364495525257, False, 'time']
['andychenhp', 202557198, 'shortlist', '1', 240795682L, datetime.datetime(2013, 5, 20, 5, 17, 47), 0.013364495525257, False, 'time']
['andychenhp', 202557198, 'impression', None, 240795682L, datetime.datetime(2013, 5, 20, 5, 17, 49), 0.013364495525257, False, 'time']
['andychenhp', 202557198, 'impression', '1', 240795682L, datetime.datetime(2013, 5, 20, 5, 17, 49), 0.013364495525257, False, 'time']
['andychenhp', 202557198, 'impression', '1', 240795682L, datetime.datetime(2013, 5, 20, 5, 18, 12), 0.013364495525257, False, 'time']
['andychenhp', 202557198, 'expand_tile', '1', 240795682L, datetime.datetime(2013, 5, 20, 5, 18, 16), 0.013364495525257, False, 'time']
['andychenhp', 202557198, 'send_message', '1', 240795682L, datetime.datetime(2013, 5, 20, 5, 18, 31), 0.013364495525257, False, 'time']
['andychenhp', 202557198, 'expand_tile', '1', 240795682L, datetime.datetime(2013, 5, 20, 5, 18, 49), 0.013364495525257, False, 'time']
['andychenhp', 202557198, 'impression', '1', 240795682L, datetime.datetime(2013, 5, 20, 5, 19, 3), 0.013364495525257, False, 'time']

['andychenhp', 202557198, 'impression', '1', 240800078L, datetime.datetime(2013, 5, 20, 5, 55, 7), 0.0740364960379223, False, 'time']
['andychenhp', 202557198, 'impression', '2', 240795682L, datetime.datetime(2013, 5, 20, 5, 55, 7), 0.013364495525257, False, 'time']

['andychenhp', 202557198, 'impression', '1', 240824964L, datetime.datetime(2013, 5, 20, 13, 57, 23), 0.0134812480082224, False, 'time']
['andychenhp', 202557198, 'impression', '2', 240817437L, datetime.datetime(2013, 5, 20, 13, 57, 23), 0.0376850993136829, False, 'time']
['andychenhp', 202557198, 'impression', '4', 240800078L, datetime.datetime(2013, 5, 20, 13, 57, 23), 0.0740364960379223, False, 'time']
['andychenhp', 202557198, 'impression', '5', 240795682L, datetime.datetime(2013, 5, 20, 13, 57, 23), 0.013364495525257, False, 'time']
['andychenhp', 202557198, 'impression', '3', 240812331L, datetime.datetime(2013, 5, 20, 13, 57, 23), 0.0308597554171862, False, 'time']
['andychenhp', 202557198, 'expand_tile', '1', 240824964L, datetime.datetime(2013, 5, 20, 13, 57, 35), 0.0134812480082224, False, 'time']
['andychenhp', 202557198, 'impression', '2', 240817437L, datetime.datetime(2013, 5, 20, 14, 0, 28), 0.0376850993136829, False, 'time']

['andychenhp', 202557198, 'impression', '7', 240812331L, datetime.datetime(2013, 5, 23, 3, 16, 20), 0.0308597554171862, False, 'time']
['andychenhp', 202557198, 'impression', '2', 240945370L, datetime.datetime(2013, 5, 23, 3, 16, 20), 0.0286405221216838, False, 'time']
['andychenhp', 202557198, 'impression', '1', 240949592L, datetime.datetime(2013, 5, 23, 3, 16, 20), 0.0396697933994255, False, 'time']
['andychenhp', 202557198, 'impression', '9', 240795682L, datetime.datetime(2013, 5, 23, 3, 16, 20), 0.013364495525257, False, 'time']
['andychenhp', 202557198, 'impression', '5', 240824964L, datetime.datetime(2013, 5, 23, 3, 16, 20), 0.0134812480082224, False, 'time']
['andychenhp', 202557198, 'impression', '6', 240817437L, datetime.datetime(2013, 5, 23, 3, 16, 20), 0.0376850993136829, False, 'time']
['andychenhp', 202557198, 'impression', '8', 240800078L, datetime.datetime(2013, 5, 23, 3, 16, 20), 0.0740364960379223, False, 'time']
['andychenhp', 202557198, 'impression', '3', 240903180L, datetime.datetime(2013, 5, 23, 3, 16, 20), 0.0255785927151515, False, 'time']
['andychenhp', 202557198, 'impression', '4', 240844832L, datetime.datetime(2013, 5, 23, 3, 16, 20), 0.0184183979679731, False, 'time']
['andychenhp', 202557198, 'impression', '7', 240812331L, datetime.datetime(2013, 5, 23, 3, 16, 49), 0.0308597554171862, False, 'time']
['andychenhp', 202557198, 'impression', '9', 240795682L, datetime.datetime(2013, 5, 23, 3, 16, 49), 0.013364495525257, False, 'time']
['andychenhp', 202557198, 'impression', '6', 240817437L, datetime.datetime(2013, 5, 23, 3, 16, 49), 0.0376850993136829, False, 'time']
['andychenhp', 202557198, 'impression', '5', 240824964L, datetime.datetime(2013, 5, 23, 3, 16, 49), 0.0134812480082224, False, 'time']
['andychenhp', 202557198, 'impression', '1', 240949592L, datetime.datetime(2013, 5, 23, 3, 16, 49), 0.0396697933994255, False, 'time']
['andychenhp', 202557198, 'impression', '2', 240945370L, datetime.datetime(2013, 5, 23, 3, 16, 49), 0.0286405221216838, False, 'time']
['andychenhp', 202557198, 'impression', '8', 240800078L, datetime.datetime(2013, 5, 23, 3, 16, 49), 0.0740364960379223, False, 'time']
['andychenhp', 202557198, 'impression', '4', 240844832L, datetime.datetime(2013, 5, 23, 3, 16, 49), 0.0184183979679731, False, 'time']
['andychenhp', 202557198, 'impression', '3', 240903180L, datetime.datetime(2013, 5, 23, 3, 16, 49), 0.0255785927151515, False, 'time']
['andychenhp', 202557198, 'impression', '4', 240844832L, datetime.datetime(2013, 5, 23, 3, 17, 9), 0.0184183979679731, False, 'time']
['andychenhp', 202557198, 'impression', '8', 240800078L, datetime.datetime(2013, 5, 23, 3, 17, 9), 0.0740364960379223, False, 'time']
['andychenhp', 202557198, 'impression', '3', 240903180L, datetime.datetime(2013, 5, 23, 3, 17, 9), 0.0255785927151515, False, 'time']
['andychenhp', 202557198, 'impression', '2', 240945370L, datetime.datetime(2013, 5, 23, 3, 17, 9), 0.0286405221216838, False, 'time']
['andychenhp', 202557198, 'impression', '1', 240949592L, datetime.datetime(2013, 5, 23, 3, 17, 9), 0.0396697933994255, False, 'time']
['andychenhp', 202557198, 'impression', '7', 240812331L, datetime.datetime(2013, 5, 23, 3, 17, 9), 0.0308597554171862, False, 'time']
['andychenhp', 202557198, 'impression', '5', 240824964L, datetime.datetime(2013, 5, 23, 3, 17, 9), 0.0134812480082224, False, 'time']
['andychenhp', 202557198, 'impression', '6', 240817437L, datetime.datetime(2013, 5, 23, 3, 17, 9), 0.0376850993136829, False, 'time']
['andychenhp', 202557198, 'impression', '9', 240795682L, datetime.datetime(2013, 5, 23, 3, 17, 9), 0.013364495525257, False, 'time']

['andychenhp', 202557198, 'impression', '6', 240903180L, datetime.datetime(2013, 5, 28, 7, 34, 18), 0.0255785927151515, False, 'time']
['andychenhp', 202557198, 'impression', '7', 240844832L, datetime.datetime(2013, 5, 28, 7, 34, 18), 0.0184183979679731, False, 'time']
['andychenhp', 202557198, 'impression', '11', 240800078L, datetime.datetime(2013, 5, 28, 7, 34, 18), 0.0740364960379223, False, 'time']
['andychenhp', 202557198, 'impression', '3', 241106704L, datetime.datetime(2013, 5, 28, 7, 34, 18), 0.0430898798145676, False, 'time']
['andychenhp', 202557198, 'impression', '4', 240949592L, datetime.datetime(2013, 5, 28, 7, 34, 18), 0.0396697933994255, False, 'time']
['andychenhp', 202557198, 'impression', '5', 240945370L, datetime.datetime(2013, 5, 28, 7, 34, 18), 0.0286405221216838, False, 'time']
['andychenhp', 202557198, 'impression', '9', 240817437L, datetime.datetime(2013, 5, 28, 7, 34, 18), 0.0376850993136829, False, 'time']
['andychenhp', 202557198, 'impression', '8', 240824964L, datetime.datetime(2013, 5, 28, 7, 34, 18), 0.0134812480082224, False, 'time']
['andychenhp', 202557198, 'impression', '1', 241222035L, datetime.datetime(2013, 5, 28, 7, 34, 18), 0.0373414619052679, False, 'time']
['andychenhp', 202557198, 'impression', '12', 240795682L, datetime.datetime(2013, 5, 28, 7, 34, 18), 0.013364495525257, False, 'time']
['andychenhp', 202557198, 'impression', '2', 241144202L, datetime.datetime(2013, 5, 28, 7, 34, 18), 0.0738194353010879, False, 'time']
['andychenhp', 202557198, 'impression', '10', 240812331L, datetime.datetime(2013, 5, 28, 7, 34, 18), 0.0308597554171862, False, 'time']

