['ann_nolan', 202554562, 'impression', '3', 240744113L, datetime.datetime(2013, 5, 19, 11, 24), 0.174100279613508, False, 'time']
['ann_nolan', 202554562, 'impression', '2', 240744412L, datetime.datetime(2013, 5, 19, 11, 24), 0.0871289733312041, False, 'time']
['ann_nolan', 202554562, 'impression', '1', 240744703L, datetime.datetime(2013, 5, 19, 11, 24), 0.237559616405694, False, 'time']
['ann_nolan', 202554562, 'impression', '4', 240736959L, datetime.datetime(2013, 5, 19, 11, 24), 0.311090744858764, False, 'time']
['ann_nolan', 202554562, 'expand_tile', '4', 240736959L, datetime.datetime(2013, 5, 19, 11, 24, 47), 0.311090744858764, False, 'time']
['ann_nolan', 202554562, 'expand_tile', '1', 240744703L, datetime.datetime(2013, 5, 19, 11, 25, 24), 0.237559616405694, False, 'time']

['ann_nolan', 202554562, 'impression', '7', 240744703L, datetime.datetime(2013, 5, 20, 14, 44, 26), 0.237559616405694, False, 'time']
['ann_nolan', 202554562, 'impression', '5', 240758960L, datetime.datetime(2013, 5, 20, 14, 44, 26), 0.130936631575687, False, 'time']
['ann_nolan', 202554562, 'impression', '4', 240761178L, datetime.datetime(2013, 5, 20, 14, 44, 26), 0.356923450026686, False, 'time']
['ann_nolan', 202554562, 'impression', '3', 240788586L, datetime.datetime(2013, 5, 20, 14, 44, 26), 0.237752132856308, False, 'time']
['ann_nolan', 202554562, 'impression', '8', 240744412L, datetime.datetime(2013, 5, 20, 14, 44, 26), 0.0871289733312041, False, 'time']
['ann_nolan', 202554562, 'impression', '9', 240744113L, datetime.datetime(2013, 5, 20, 14, 44, 26), 0.174100279613508, False, 'time']
['ann_nolan', 202554562, 'impression', '6', 240756565L, datetime.datetime(2013, 5, 20, 14, 44, 26), 0.103317810045977, False, 'time']
['ann_nolan', 202554562, 'impression', '11', 240735357L, datetime.datetime(2013, 5, 20, 14, 44, 26), 0.290252129461238, True, 'time']
['ann_nolan', 202554562, 'impression', '10', 240736959L, datetime.datetime(2013, 5, 20, 14, 44, 26), 0.311090744858764, False, 'time']
['ann_nolan', 202554562, 'impression', '1', 240830063L, datetime.datetime(2013, 5, 20, 14, 44, 26), 0.112034296690994, False, 'time']
['ann_nolan', 202554562, 'impression', '2', 240804824L, datetime.datetime(2013, 5, 20, 14, 44, 26), 0.280059939720823, False, 'time']

['ann_nolan', 202554562, 'impression', '5', 240758960L, datetime.datetime(2013, 5, 20, 17, 35, 20), 0.130936631575687, False, 'time']
['ann_nolan', 202554562, 'impression', '10', 240736959L, datetime.datetime(2013, 5, 20, 17, 35, 20), 0.311090744858764, False, 'time']
['ann_nolan', 202554562, 'impression', '11', 240735357L, datetime.datetime(2013, 5, 20, 17, 35, 20), 0.290252129461238, True, 'time']
['ann_nolan', 202554562, 'impression', '9', 240744113L, datetime.datetime(2013, 5, 20, 17, 35, 20), 0.174100279613508, False, 'time']
['ann_nolan', 202554562, 'impression', '7', 240744703L, datetime.datetime(2013, 5, 20, 17, 35, 20), 0.237559616405694, False, 'time']
['ann_nolan', 202554562, 'impression', '1', 240830063L, datetime.datetime(2013, 5, 20, 17, 35, 20), 0.112034296690994, False, 'time']
['ann_nolan', 202554562, 'impression', '2', 240804824L, datetime.datetime(2013, 5, 20, 17, 35, 20), 0.280059939720823, False, 'time']
['ann_nolan', 202554562, 'impression', '6', 240756565L, datetime.datetime(2013, 5, 20, 17, 35, 20), 0.103317810045977, False, 'time']
['ann_nolan', 202554562, 'impression', '8', 240744412L, datetime.datetime(2013, 5, 20, 17, 35, 20), 0.0871289733312041, False, 'time']
['ann_nolan', 202554562, 'impression', '4', 240761178L, datetime.datetime(2013, 5, 20, 17, 35, 20), 0.356923450026686, False, 'time']
['ann_nolan', 202554562, 'impression', '3', 240788586L, datetime.datetime(2013, 5, 20, 17, 35, 20), 0.237752132856308, False, 'time']

