['anthonycg2003', 202538401, 'impression', '1', 240396454L, datetime.datetime(2013, 5, 14, 21, 25, 58), 0.0910761047133233, False, 'best']
['anthonycg2003', 202538401, 'view_full_application_via_name', '1', 240396454L, datetime.datetime(2013, 5, 14, 21, 26, 8), 0.0910761047133233, False, 'best']

['anthonycg2003', 202538401, 'impression', '1', 240396454L, datetime.datetime(2013, 5, 14, 22, 48, 26), 0.0910761047133233, False, 'best']
['anthonycg2003', 202538401, 'impression', '2', 240398473L, datetime.datetime(2013, 5, 14, 22, 48, 26), 0.21700856168893, False, 'best']
['anthonycg2003', 202538401, 'impression', '3', 240398872L, datetime.datetime(2013, 5, 14, 22, 48, 26), 0.259894240576553, False, 'best']
['anthonycg2003', 202538401, 'expand_tile', '2', 240398473L, datetime.datetime(2013, 5, 14, 22, 48, 29), 0.21700856168893, False, 'best']
['anthonycg2003', 202538401, 'view_full_application_via_name', '2', 240398473L, datetime.datetime(2013, 5, 14, 22, 48, 32), 0.21700856168893, False, 'best']
['anthonycg2003', 202538401, 'impression', '2', 240398473L, datetime.datetime(2013, 5, 14, 22, 48, 35), 0.21700856168893, False, 'best']
['anthonycg2003', 202538401, 'impression', '3', 240398872L, datetime.datetime(2013, 5, 14, 22, 48, 35), 0.259894240576553, False, 'best']
['anthonycg2003', 202538401, 'impression', '1', 240396454L, datetime.datetime(2013, 5, 14, 22, 48, 35), 0.0910761047133233, False, 'best']
['anthonycg2003', 202538401, 'expand_tile', '2', 240398473L, datetime.datetime(2013, 5, 14, 22, 48, 38), 0.21700856168893, False, 'best']
['anthonycg2003', 202538401, 'view_full_application', '2', 240398473L, datetime.datetime(2013, 5, 14, 22, 48, 40), 0.21700856168893, False, 'best']
['anthonycg2003', 202538401, 'impression', '3', 240398872L, datetime.datetime(2013, 5, 14, 22, 49, 59), 0.259894240576553, False, 'best']
['anthonycg2003', 202538401, 'impression', '1', 240396454L, datetime.datetime(2013, 5, 14, 22, 49, 59), 0.0910761047133233, False, 'best']
['anthonycg2003', 202538401, 'impression', '2', 240398473L, datetime.datetime(2013, 5, 14, 22, 49, 59), 0.21700856168893, False, 'best']
['anthonycg2003', 202538401, 'expand_tile', '3', 240398872L, datetime.datetime(2013, 5, 14, 22, 50, 2), 0.259894240576553, False, 'best']
['anthonycg2003', 202538401, 'view_full_application', '3', 240398872L, datetime.datetime(2013, 5, 14, 22, 50, 5), 0.259894240576553, False, 'best']
['anthonycg2003', 202538401, 'impression', '2', 240398473L, datetime.datetime(2013, 5, 14, 22, 54, 31), 0.21700856168893, False, 'best']
['anthonycg2003', 202538401, 'impression', '1', 240396454L, datetime.datetime(2013, 5, 14, 22, 54, 31), 0.0910761047133233, False, 'best']
['anthonycg2003', 202538401, 'impression', '3', 240398872L, datetime.datetime(2013, 5, 14, 22, 54, 31), 0.259894240576553, False, 'best']

['anthonycg2003', 202538401, 'impression', '3', 240396626L, datetime.datetime(2013, 5, 16, 0, 57, 59), 0.303165478975128, False, 'best']
['anthonycg2003', 202538401, 'impression', '6', 240435562L, datetime.datetime(2013, 5, 16, 0, 57, 59), 0.208594940134672, False, 'best']
['anthonycg2003', 202538401, 'impression', '2', 240413760L, datetime.datetime(2013, 5, 16, 0, 57, 59), 0.468674085668146, False, 'best']
['anthonycg2003', 202538401, 'impression', '1', 240409431L, datetime.datetime(2013, 5, 16, 0, 57, 59), 0.611559169548775, False, 'best']
['anthonycg2003', 202538401, 'impression', '5', 240398473L, datetime.datetime(2013, 5, 16, 0, 57, 59), 0.21700856168893, False, 'best']
['anthonycg2003', 202538401, 'impression', '4', 240398872L, datetime.datetime(2013, 5, 16, 0, 57, 59), 0.259894240576553, False, 'best']
['anthonycg2003', 202538401, 'expand_tile', '1', 240409431L, datetime.datetime(2013, 5, 16, 0, 58, 6), 0.611559169548775, False, 'best']
['anthonycg2003', 202538401, 'expand_tile', '1', 240409431L, datetime.datetime(2013, 5, 16, 0, 58, 8), 0.611559169548775, False, 'best']
['anthonycg2003', 202538401, 'view_full_application', '1', 240409431L, datetime.datetime(2013, 5, 16, 0, 58, 9), 0.611559169548775, False, 'best']
['anthonycg2003', 202538401, 'impression', '6', 240435562L, datetime.datetime(2013, 5, 16, 0, 58, 44), 0.208594940134672, False, 'best']
['anthonycg2003', 202538401, 'impression', '3', 240396626L, datetime.datetime(2013, 5, 16, 0, 58, 44), 0.303165478975128, False, 'best']
['anthonycg2003', 202538401, 'impression', '4', 240398872L, datetime.datetime(2013, 5, 16, 0, 58, 44), 0.259894240576553, False, 'best']
['anthonycg2003', 202538401, 'impression', '1', 240409431L, datetime.datetime(2013, 5, 16, 0, 58, 44), 0.611559169548775, False, 'best']
['anthonycg2003', 202538401, 'impression', '5', 240398473L, datetime.datetime(2013, 5, 16, 0, 58, 44), 0.21700856168893, False, 'best']
['anthonycg2003', 202538401, 'impression', '2', 240413760L, datetime.datetime(2013, 5, 16, 0, 58, 44), 0.468674085668146, False, 'best']
['anthonycg2003', 202538401, 'expand_tile', '2', 240413760L, datetime.datetime(2013, 5, 16, 0, 58, 46), 0.468674085668146, False, 'best']
['anthonycg2003', 202538401, 'view_full_application', '2', 240413760L, datetime.datetime(2013, 5, 16, 0, 58, 53), 0.468674085668146, False, 'best']
['anthonycg2003', 202538401, 'impression', '2', 240413760L, datetime.datetime(2013, 5, 16, 1, 0, 53), 0.468674085668146, False, 'best']
['anthonycg2003', 202538401, 'impression', '3', 240396626L, datetime.datetime(2013, 5, 16, 1, 0, 53), 0.303165478975128, False, 'best']
['anthonycg2003', 202538401, 'impression', '6', 240435562L, datetime.datetime(2013, 5, 16, 1, 0, 53), 0.208594940134672, False, 'best']
['anthonycg2003', 202538401, 'impression', '5', 240398473L, datetime.datetime(2013, 5, 16, 1, 0, 53), 0.21700856168893, False, 'best']
['anthonycg2003', 202538401, 'impression', '4', 240398872L, datetime.datetime(2013, 5, 16, 1, 0, 53), 0.259894240576553, False, 'best']
['anthonycg2003', 202538401, 'impression', '1', 240409431L, datetime.datetime(2013, 5, 16, 1, 0, 53), 0.611559169548775, False, 'best']

['anthonycg2003', 202538401, 'impression', '3', 240396626L, datetime.datetime(2013, 5, 16, 1, 31, 59), 0.303165478975128, False, 'best']
['anthonycg2003', 202538401, 'impression', '6', 240435562L, datetime.datetime(2013, 5, 16, 1, 31, 59), 0.208594940134672, False, 'best']
['anthonycg2003', 202538401, 'impression', '5', 240398473L, datetime.datetime(2013, 5, 16, 1, 31, 59), 0.21700856168893, False, 'best']
['anthonycg2003', 202538401, 'impression', '1', 240409431L, datetime.datetime(2013, 5, 16, 1, 31, 59), 0.611559169548775, False, 'best']
['anthonycg2003', 202538401, 'impression', '4', 240398872L, datetime.datetime(2013, 5, 16, 1, 31, 59), 0.259894240576553, False, 'best']
['anthonycg2003', 202538401, 'impression', '2', 240413760L, datetime.datetime(2013, 5, 16, 1, 31, 59), 0.468674085668146, False, 'best']
['anthonycg2003', 202538401, 'expand_tile', '3', 240396626L, datetime.datetime(2013, 5, 16, 1, 32, 2), 0.303165478975128, False, 'best']
['anthonycg2003', 202538401, 'view_full_application', '3', 240396626L, datetime.datetime(2013, 5, 16, 1, 32, 3), 0.303165478975128, False, 'best']
['anthonycg2003', 202538401, 'impression', '6', 240435562L, datetime.datetime(2013, 5, 16, 1, 40, 9), 0.208594940134672, False, 'best']
['anthonycg2003', 202538401, 'impression', '3', 240396626L, datetime.datetime(2013, 5, 16, 1, 40, 9), 0.303165478975128, False, 'best']
['anthonycg2003', 202538401, 'impression', '5', 240398473L, datetime.datetime(2013, 5, 16, 1, 40, 9), 0.21700856168893, False, 'best']
['anthonycg2003', 202538401, 'impression', '4', 240398872L, datetime.datetime(2013, 5, 16, 1, 40, 9), 0.259894240576553, False, 'best']
['anthonycg2003', 202538401, 'impression', '2', 240413760L, datetime.datetime(2013, 5, 16, 1, 40, 9), 0.468674085668146, False, 'best']
['anthonycg2003', 202538401, 'impression', '1', 240409431L, datetime.datetime(2013, 5, 16, 1, 40, 9), 0.611559169548775, False, 'best']
['anthonycg2003', 202538401, 'expand_tile', '6', 240435562L, datetime.datetime(2013, 5, 16, 1, 40, 12), 0.208594940134672, False, 'best']
['anthonycg2003', 202538401, 'view_full_application', '6', 240435562L, datetime.datetime(2013, 5, 16, 1, 40, 13), 0.208594940134672, False, 'best']
['anthonycg2003', 202538401, 'impression', '1', 240409431L, datetime.datetime(2013, 5, 16, 1, 40, 37), 0.611559169548775, False, 'best']
