['arif_shariati', 202567183, 'impression', '4', 240994116L, datetime.datetime(2013, 5, 22, 7, 20, 20), 0.00907150439341062, False, 'time']
['arif_shariati', 202567183, 'impression', '2', 240994299L, datetime.datetime(2013, 5, 22, 7, 20, 20), 0.015687279575416, False, 'time']
['arif_shariati', 202567183, 'impression', '5', 240993416L, datetime.datetime(2013, 5, 22, 7, 20, 20), 0.00681240184567252, False, 'time']
['arif_shariati', 202567183, 'impression', '1', 240994306L, datetime.datetime(2013, 5, 22, 7, 20, 20), 0.0777253561372356, False, 'time']
['arif_shariati', 202567183, 'impression', '3', 240994289L, datetime.datetime(2013, 5, 22, 7, 20, 20), 0.0130601531224489, False, 'time']
['arif_shariati', 202567183, 'impression', '1', 240994306L, datetime.datetime(2013, 5, 22, 7, 22, 15), 0.0777253561372356, False, 'time']
['arif_shariati', 202567183, 'impression', '5', 240993416L, datetime.datetime(2013, 5, 22, 7, 22, 15), 0.00681240184567252, False, 'time']
['arif_shariati', 202567183, 'impression', '4', 240994116L, datetime.datetime(2013, 5, 22, 7, 22, 15), 0.00907150439341062, False, 'time']
['arif_shariati', 202567183, 'impression', '2', 240994299L, datetime.datetime(2013, 5, 22, 7, 22, 15), 0.015687279575416, False, 'time']
['arif_shariati', 202567183, 'impression', '3', 240994289L, datetime.datetime(2013, 5, 22, 7, 22, 15), 0.0130601531224489, False, 'time']

['arif_shariati', 202567183, 'impression', '14', 240995209L, datetime.datetime(2013, 5, 22, 9, 59, 9), 0.00387882158043293, False, 'time']
['arif_shariati', 202567183, 'impression', '10', 240996245L, datetime.datetime(2013, 5, 22, 9, 59, 9), 0.0090951410746016, False, 'time']
['arif_shariati', 202567183, 'impression', '19', 240994452L, datetime.datetime(2013, 5, 22, 9, 59, 9), 0.0137731728672698, False, 'time']
['arif_shariati', 202567183, 'impression', '2', 241001547L, datetime.datetime(2013, 5, 22, 9, 59, 9), 0.00868240044481326, False, 'time']
['arif_shariati', 202567183, 'impression', '12', 240995483L, datetime.datetime(2013, 5, 22, 9, 59, 9), 0.0183135204182736, False, 'time']
['arif_shariati', 202567183, 'impression', '1', 241002610L, datetime.datetime(2013, 5, 22, 9, 59, 9), 0.0161771163988048, False, 'time']
['arif_shariati', 202567183, 'impression', '20', 240994306L, datetime.datetime(2013, 5, 22, 9, 59, 9), 0.0777253561372356, False, 'time']
['arif_shariati', 202567183, 'impression', '11', 240995569L, datetime.datetime(2013, 5, 22, 9, 59, 9), 0.00376493052175348, False, 'time']
['arif_shariati', 202567183, 'impression', '9', 240996549L, datetime.datetime(2013, 5, 22, 9, 59, 9), 0.00881283136762413, False, 'time']
['arif_shariati', 202567183, 'impression', '16', 240994939L, datetime.datetime(2013, 5, 22, 9, 59, 9), 0.0140684386135304, False, 'time']
['arif_shariati', 202567183, 'impression', '17', 240994650L, datetime.datetime(2013, 5, 22, 9, 59, 9), 0.0104477869931386, False, 'time']
['arif_shariati', 202567183, 'impression', '5', 240999521L, datetime.datetime(2013, 5, 22, 9, 59, 9), 0.00638500497733911, False, 'time']
['arif_shariati', 202567183, 'impression', '13', 240995457L, datetime.datetime(2013, 5, 22, 9, 59, 9), 0.0103421953144067, False, 'time']
['arif_shariati', 202567183, 'impression', '4', 240999604L, datetime.datetime(2013, 5, 22, 9, 59, 9), 0.0064706853154005, False, 'time']
['arif_shariati', 202567183, 'impression', '18', 240994563L, datetime.datetime(2013, 5, 22, 9, 59, 9), 0.0102338916251817, False, 'time']
['arif_shariati', 202567183, 'impression', '8', 240996723L, datetime.datetime(2013, 5, 22, 9, 59, 9), 0.0443119924011538, False, 'time']
['arif_shariati', 202567183, 'impression', '6', 240999492L, datetime.datetime(2013, 5, 22, 9, 59, 9), 0.0127829515184826, False, 'time']
['arif_shariati', 202567183, 'impression', '15', 240994975L, datetime.datetime(2013, 5, 22, 9, 59, 9), 0.00511293610742735, False, 'time']
['arif_shariati', 202567183, 'impression', '3', 241000734L, datetime.datetime(2013, 5, 22, 9, 59, 9), 0.00719047473491351, False, 'time']
['arif_shariati', 202567183, 'impression', '7', 240998246L, datetime.datetime(2013, 5, 22, 9, 59, 9), 0.0240421324416055, False, 'time']

['arif_shariati', 202567183, 'impression', '3', 241350568L, datetime.datetime(2013, 5, 28, 15, 7, 31), 0.0186303869219829, False, 'time']
['arif_shariati', 202567183, 'impression', '7', 241290436L, datetime.datetime(2013, 5, 28, 15, 7, 31), 0.0165370962113178, False, 'time']
['arif_shariati', 202567183, 'impression', '1', 241456273L, datetime.datetime(2013, 5, 28, 15, 7, 31), 0.0292299614742668, False, 'time']
['arif_shariati', 202567183, 'impression', '6', 241294985L, datetime.datetime(2013, 5, 28, 15, 7, 31), 0.00603704799693914, False, 'time']
['arif_shariati', 202567183, 'impression', '14', 241086301L, datetime.datetime(2013, 5, 28, 15, 7, 31), 0.0147407027785476, False, 'time']
['arif_shariati', 202567183, 'impression', '5', 241313087L, datetime.datetime(2013, 5, 28, 15, 7, 31), 0.0121947181298965, False, 'time']
['arif_shariati', 202567183, 'impression', '12', 241108631L, datetime.datetime(2013, 5, 28, 15, 7, 31), 0.0214296949031255, False, 'time']
['arif_shariati', 202567183, 'impression', '15', 241080508L, datetime.datetime(2013, 5, 28, 15, 7, 31), 0.0217359772969705, False, 'time']
['arif_shariati', 202567183, 'impression', '9', 241159024L, datetime.datetime(2013, 5, 28, 15, 7, 31), 0.0211132937732463, False, 'time']
['arif_shariati', 202567183, 'impression', '17', 241046279L, datetime.datetime(2013, 5, 28, 15, 7, 31), 0.0408623274995346, False, 'time']
['arif_shariati', 202567183, 'impression', '11', 241121913L, datetime.datetime(2013, 5, 28, 15, 7, 31), 0.0184958330916655, False, 'time']
['arif_shariati', 202567183, 'impression', '13', 241090928L, datetime.datetime(2013, 5, 28, 15, 7, 31), 0.0100932872886716, False, 'time']
['arif_shariati', 202567183, 'impression', '16', 241068195L, datetime.datetime(2013, 5, 28, 15, 7, 31), 0.0267061341562705, False, 'time']
['arif_shariati', 202567183, 'impression', '20', 241039265L, datetime.datetime(2013, 5, 28, 15, 7, 31), 0.0151377439667917, False, 'time']
['arif_shariati', 202567183, 'impression', '8', 241180279L, datetime.datetime(2013, 5, 28, 15, 7, 31), 0.0196601461986608, False, 'time']
['arif_shariati', 202567183, 'impression', '2', 241417765L, datetime.datetime(2013, 5, 28, 15, 7, 31), 0.0101636478872468, False, 'time']
['arif_shariati', 202567183, 'impression', '4', 241327939L, datetime.datetime(2013, 5, 28, 15, 7, 31), 0.051061923441271, False, 'time']
['arif_shariati', 202567183, 'impression', '10', 241149431L, datetime.datetime(2013, 5, 28, 15, 7, 31), 0.0122783234167428, False, 'time']
['arif_shariati', 202567183, 'impression', '18', 241044452L, datetime.datetime(2013, 5, 28, 15, 7, 31), 0.0284834300664435, False, 'time']
