['aritzbm', 202548075, 'impression', '3', 240627249L, datetime.datetime(2013, 5, 18, 0, 3, 17), 0.308346004782007, False, 'time']
['aritzbm', 202548075, 'impression', '17', 240596079L, datetime.datetime(2013, 5, 18, 0, 3, 17), 0.364713394643463, False, 'time']
['aritzbm', 202548075, 'impression', '5', 240619004L, datetime.datetime(2013, 5, 18, 0, 3, 17), 0.489131912546218, False, 'time']
['aritzbm', 202548075, 'impression', '13', 240602691L, datetime.datetime(2013, 5, 18, 0, 3, 17), 0.405599489578928, False, 'time']
['aritzbm', 202548075, 'impression', '12', 240603964L, datetime.datetime(2013, 5, 18, 0, 3, 17), 0.216498683849643, False, 'time']
['aritzbm', 202548075, 'impression', '10', 240609895L, datetime.datetime(2013, 5, 18, 0, 3, 17), 0.252439494738629, False, 'time']
['aritzbm', 202548075, 'impression', '11', 240604267L, datetime.datetime(2013, 5, 18, 0, 3, 17), 0.278457363399981, False, 'time']
['aritzbm', 202548075, 'impression', '7', 240615570L, datetime.datetime(2013, 5, 18, 0, 3, 17), 0.419433499410562, False, 'time']
['aritzbm', 202548075, 'impression', '4', 240623754L, datetime.datetime(2013, 5, 18, 0, 3, 17), 0.245788800079977, False, 'time']
['aritzbm', 202548075, 'impression', '9', 240611525L, datetime.datetime(2013, 5, 18, 0, 3, 17), 0.259109142350263, False, 'time']
['aritzbm', 202548075, 'impression', '1', 240635892L, datetime.datetime(2013, 5, 18, 0, 3, 17), 0.329059036916473, False, 'time']
['aritzbm', 202548075, 'impression', '15', 240598884L, datetime.datetime(2013, 5, 18, 0, 3, 17), 0.315876465613921, False, 'time']
['aritzbm', 202548075, 'impression', '6', 240616272L, datetime.datetime(2013, 5, 18, 0, 3, 17), 0.393255228284755, False, 'time']
['aritzbm', 202548075, 'impression', '18', 240594753L, datetime.datetime(2013, 5, 18, 0, 3, 17), 0.305852217414511, True, 'time']
['aritzbm', 202548075, 'impression', '8', 240615265L, datetime.datetime(2013, 5, 18, 0, 3, 17), 0.351609361022614, False, 'time']
['aritzbm', 202548075, 'impression', '19', 240592819L, datetime.datetime(2013, 5, 18, 0, 3, 17), 0.526101858852095, False, 'time']
['aritzbm', 202548075, 'impression', '16', 240598859L, datetime.datetime(2013, 5, 18, 0, 3, 17), 0.169859525996907, False, 'time']
['aritzbm', 202548075, 'impression', '2', 240629589L, datetime.datetime(2013, 5, 18, 0, 3, 17), 0.141753997064439, False, 'time']
['aritzbm', 202548075, 'impression', '20', 240590131L, datetime.datetime(2013, 5, 18, 0, 3, 17), 0.204130934089352, False, 'time']
['aritzbm', 202548075, 'impression', '14', 240601921L, datetime.datetime(2013, 5, 18, 0, 3, 17), 0.199038923498887, False, 'time']
['aritzbm', 202548075, 'impression', '5', 240619004L, datetime.datetime(2013, 5, 18, 0, 3, 24), 0.489131912546218, False, 'time']
['aritzbm', 202548075, 'impression', '17', 240596079L, datetime.datetime(2013, 5, 18, 0, 3, 24), 0.364713394643463, False, 'time']
['aritzbm', 202548075, 'impression', '3', 240627249L, datetime.datetime(2013, 5, 18, 0, 3, 24), 0.308346004782007, False, 'time']
['aritzbm', 202548075, 'impression', '2', 240629589L, datetime.datetime(2013, 5, 18, 0, 3, 24), 0.141753997064439, False, 'time']
