['author-christian', 202589166, 'impression', '13', 241472741L, datetime.datetime(2013, 5, 28, 10, 2, 34), 0.0339054737091795, False, 'best']
['author-christian', 202589166, 'impression', '17', 241472717L, datetime.datetime(2013, 5, 28, 10, 2, 34), 0.0283803858728653, False, 'best']
['author-christian', 202589166, 'impression', '6', 241471211L, datetime.datetime(2013, 5, 28, 10, 2, 34), 0.0421544588171033, False, 'best']
['author-christian', 202589166, 'impression', '16', 241473792L, datetime.datetime(2013, 5, 28, 10, 2, 34), 0.0296946000098366, False, 'best']
['author-christian', 202589166, 'impression', '18', 241471715L, datetime.datetime(2013, 5, 28, 10, 2, 34), 0.0261622742084148, False, 'best']
['author-christian', 202589166, 'impression', '15', 241473406L, datetime.datetime(2013, 5, 28, 10, 2, 34), 0.0297676805551891, False, 'best']
['author-christian', 202589166, 'impression', '11', 241474490L, datetime.datetime(2013, 5, 28, 10, 2, 34), 0.0371262850769585, False, 'best']
['author-christian', 202589166, 'impression', '14', 241471536L, datetime.datetime(2013, 5, 28, 10, 2, 34), 0.0297861594242203, False, 'best']
['author-christian', 202589166, 'impression', '8', 241473696L, datetime.datetime(2013, 5, 28, 10, 2, 34), 0.040235750597855, False, 'best']
['author-christian', 202589166, 'impression', '7', 241472365L, datetime.datetime(2013, 5, 28, 10, 2, 34), 0.0404247095837048, False, 'best']
['author-christian', 202589166, 'impression', '5', 241474379L, datetime.datetime(2013, 5, 28, 10, 2, 34), 0.0432692702484608, False, 'best']
['author-christian', 202589166, 'impression', '12', 241471447L, datetime.datetime(2013, 5, 28, 10, 2, 34), 0.0351419416825161, False, 'best']
['author-christian', 202589166, 'impression', '19', 241473074L, datetime.datetime(2013, 5, 28, 10, 2, 34), 0.0259057023915846, False, 'best']
['author-christian', 202589166, 'impression', '2', 241471732L, datetime.datetime(2013, 5, 28, 10, 2, 34), 0.0559215806155427, False, 'best']
['author-christian', 202589166, 'impression', '4', 241473815L, datetime.datetime(2013, 5, 28, 10, 2, 34), 0.045813991464434, False, 'best']
['author-christian', 202589166, 'impression', '3', 241474440L, datetime.datetime(2013, 5, 28, 10, 2, 34), 0.0547124817090231, False, 'best']
['author-christian', 202589166, 'impression', '20', 241474520L, datetime.datetime(2013, 5, 28, 10, 2, 34), 0.0257984909437772, False, 'best']
['author-christian', 202589166, 'impression', '9', 241471663L, datetime.datetime(2013, 5, 28, 10, 2, 34), 0.0396270594201206, False, 'best']
['author-christian', 202589166, 'impression', '10', 241472294L, datetime.datetime(2013, 5, 28, 10, 2, 34), 0.0375538340325496, False, 'best']
['author-christian', 202589166, 'impression', '1', 241474145L, datetime.datetime(2013, 5, 28, 10, 2, 34), 0.0649887998450934, False, 'best']
['author-christian', 202589166, 'impression', '11', 241471663L, datetime.datetime(2013, 5, 28, 10, 19, 26), 0.0396270594201206, False, 'best']
['author-christian', 202589166, 'impression', '12', 241472294L, datetime.datetime(2013, 5, 28, 10, 19, 26), 0.0375538340325496, False, 'best']
['author-christian', 202589166, 'impression', '1', 241474145L, datetime.datetime(2013, 5, 28, 10, 19, 26), 0.0649887998450934, False, 'best']
['author-christian', 202589166, 'impression', '3', 241474440L, datetime.datetime(2013, 5, 28, 10, 19, 26), 0.0547124817090231, False, 'best']
['author-christian', 202589166, 'impression', '16', 241471536L, datetime.datetime(2013, 5, 28, 10, 19, 26), 0.0297861594242203, False, 'best']
['author-christian', 202589166, 'impression', '9', 241472365L, datetime.datetime(2013, 5, 28, 10, 19, 26), 0.0404247095837048, False, 'best']
