['bboym0de', 202580549, 'impression', '1', 241299685L, datetime.datetime(2013, 5, 26, 0, 37, 24), 0.019412609781514, False, 'time']
['bboym0de', 202580549, 'impression', '6', 241272957L, datetime.datetime(2013, 5, 26, 0, 37, 24), 0.00320545410217484, False, 'time']
['bboym0de', 202580549, 'impression', '7', 241272318L, datetime.datetime(2013, 5, 26, 0, 37, 24), 0.0024639420425719, False, 'time']
['bboym0de', 202580549, 'impression', '2', 241292512L, datetime.datetime(2013, 5, 26, 0, 37, 24), 0.00543807272099265, False, 'time']
['bboym0de', 202580549, 'impression', '3', 241283825L, datetime.datetime(2013, 5, 26, 0, 37, 24), 0.0182026925769207, False, 'time']
['bboym0de', 202580549, 'impression', '4', 241274473L, datetime.datetime(2013, 5, 26, 0, 37, 24), 0.00663074691311267, False, 'time']
['bboym0de', 202580549, 'impression', '5', 241274249L, datetime.datetime(2013, 5, 26, 0, 37, 24), 0.00951383139574307, False, 'time']
['bboym0de', 202580549, 'impression', '8', 241272249L, datetime.datetime(2013, 5, 26, 0, 37, 24), 0.0202889637239671, False, 'time']
['bboym0de', 202580549, 'expand_tile', '1', 241299685L, datetime.datetime(2013, 5, 26, 0, 37, 30), 0.019412609781514, False, 'time']
['bboym0de', 202580549, 'view_full_application_via_name', '1', 241299685L, datetime.datetime(2013, 5, 26, 0, 37, 33), 0.019412609781514, False, 'time']
['bboym0de', 202580549, 'collapse_tile', '1', 241299685L, datetime.datetime(2013, 5, 26, 0, 40, 13), 0.019412609781514, False, 'time']
['bboym0de', 202580549, 'expand_tile', '1', 241299685L, datetime.datetime(2013, 5, 26, 0, 40, 14), 0.019412609781514, False, 'time']
['bboym0de', 202580549, 'view_full_application_via_name', '1', 241299685L, datetime.datetime(2013, 5, 26, 0, 40, 15), 0.019412609781514, False, 'time']
['bboym0de', 202580549, 'impression', '7', 241272957L, datetime.datetime(2013, 5, 26, 1, 6, 45), 0.00320545410217484, False, 'time']
['bboym0de', 202580549, 'impression', '8', 241272318L, datetime.datetime(2013, 5, 26, 1, 6, 45), 0.0024639420425719, False, 'time']
['bboym0de', 202580549, 'impression', '2', 241299685L, datetime.datetime(2013, 5, 26, 1, 6, 45), 0.019412609781514, False, 'time']
['bboym0de', 202580549, 'impression', '4', 241283825L, datetime.datetime(2013, 5, 26, 1, 6, 45), 0.0182026925769207, False, 'time']
['bboym0de', 202580549, 'impression', '1', 241301069L, datetime.datetime(2013, 5, 26, 1, 6, 45), 0.0102296470454164, False, 'time']
['bboym0de', 202580549, 'impression', '3', 241292512L, datetime.datetime(2013, 5, 26, 1, 6, 45), 0.00543807272099265, False, 'time']
