['bestryan116', 202572706, 'impression', '8', 241103606L, datetime.datetime(2013, 5, 23, 12, 39, 26), 0.0300210564018968, True, 'best']
['bestryan116', 202572706, 'impression', '1', 241104243L, datetime.datetime(2013, 5, 23, 12, 39, 26), 0.10938239893348, True, 'best']
['bestryan116', 202572706, 'impression', '3', 241104236L, datetime.datetime(2013, 5, 23, 12, 39, 26), 0.0803275524982662, True, 'best']
['bestryan116', 202572706, 'impression', '2', 241104133L, datetime.datetime(2013, 5, 23, 12, 39, 26), 0.0992828438773499, False, 'best']
['bestryan116', 202572706, 'impression', '4', 241103105L, datetime.datetime(2013, 5, 23, 12, 39, 26), 0.0706046120087727, False, 'best']
['bestryan116', 202572706, 'impression', '5', 241103685L, datetime.datetime(2013, 5, 23, 12, 39, 26), 0.0645285493838188, True, 'best']
['bestryan116', 202572706, 'impression', '7', 241103736L, datetime.datetime(2013, 5, 23, 12, 39, 26), 0.0319293479624394, True, 'best']
['bestryan116', 202572706, 'impression', '6', 241103451L, datetime.datetime(2013, 5, 23, 12, 39, 26), 0.0444028211818672, False, 'best']
['bestryan116', 202572706, 'expand_tile', '5', 241103685L, datetime.datetime(2013, 5, 23, 12, 39, 46), 0.0645285493838188, True, 'best']
['bestryan116', 202572706, 'view_full_application_via_name', '6', 241103451L, datetime.datetime(2013, 5, 23, 12, 39, 58), 0.0444028211818672, False, 'best']
['bestryan116', 202572706, 'impression', '3', 241104133L, datetime.datetime(2013, 5, 23, 12, 44, 1), 0.0992828438773499, False, 'best']
['bestryan116', 202572706, 'impression', '5', 241103105L, datetime.datetime(2013, 5, 23, 12, 44, 1), 0.0706046120087727, False, 'best']
['bestryan116', 202572706, 'impression', '4', 241104236L, datetime.datetime(2013, 5, 23, 12, 44, 1), 0.0803275524982662, True, 'best']
['bestryan116', 202572706, 'impression', '2', 241104243L, datetime.datetime(2013, 5, 23, 12, 44, 1), 0.10938239893348, True, 'best']
['bestryan116', 202572706, 'impression', '9', 241103606L, datetime.datetime(2013, 5, 23, 12, 44, 1), 0.0300210564018968, True, 'best']
['bestryan116', 202572706, 'impression', '8', 241103736L, datetime.datetime(2013, 5, 23, 12, 44, 1), 0.0319293479624394, True, 'best']
['bestryan116', 202572706, 'impression', '10', 241104684L, datetime.datetime(2013, 5, 23, 12, 44, 1), 0.236496086787723, True, 'best']
['bestryan116', 202572706, 'impression', '7', 241103451L, datetime.datetime(2013, 5, 23, 12, 44, 1), 0.0444028211818672, False, 'best']
['bestryan116', 202572706, 'impression', '1', 241104510L, datetime.datetime(2013, 5, 23, 12, 44, 1), 0.179901494771432, True, 'best']
['bestryan116', 202572706, 'impression', '6', 241103685L, datetime.datetime(2013, 5, 23, 12, 44, 1), 0.0645285493838188, True, 'best']

['bestryan116', 202572706, 'impression', '10', 241106482L, datetime.datetime(2013, 5, 23, 14, 3, 25), 0.0750276888425101, False, 'best']
['bestryan116', 202572706, 'impression', '4', 241104243L, datetime.datetime(2013, 5, 23, 14, 3, 25), 0.10938239893348, True, 'best']
['bestryan116', 202572706, 'impression', '13', 241108033L, datetime.datetime(2013, 5, 23, 14, 3, 25), 0.0690040928613602, False, 'best']
['bestryan116', 202572706, 'impression', '3', 241105585L, datetime.datetime(2013, 5, 23, 14, 3, 25), 0.121727855315891, False, 'best']
['bestryan116', 202572706, 'impression', '12', 241108333L, datetime.datetime(2013, 5, 23, 14, 3, 25), 0.0699602491801094, False, 'best']
['bestryan116', 202572706, 'impression', '9', 241105404L, datetime.datetime(2013, 5, 23, 14, 3, 25), 0.0753929381800239, False, 'best']
['bestryan116', 202572706, 'impression', '18', 241108244L, datetime.datetime(2013, 5, 23, 14, 3, 25), 0.0474988694440638, False, 'best']
['bestryan116', 202572706, 'impression', '20', 241109901L, datetime.datetime(2013, 5, 23, 14, 3, 25), 0.0405228178189038, True, 'best']
['bestryan116', 202572706, 'impression', '5', 241106159L, datetime.datetime(2013, 5, 23, 14, 3, 25), 0.103221330488149, False, 'best']
['bestryan116', 202572706, 'impression', '7', 241104236L, datetime.datetime(2013, 5, 23, 14, 3, 25), 0.0803275524982662, True, 'best']
['bestryan116', 202572706, 'impression', '2', 241106577L, datetime.datetime(2013, 5, 23, 14, 3, 25), 0.154040745485877, False, 'best']
['bestryan116', 202572706, 'impression', '15', 241103685L, datetime.datetime(2013, 5, 23, 14, 3, 25), 0.0645285493838188, True, 'best']
['bestryan116', 202572706, 'impression', '1', 241104510L, datetime.datetime(2013, 5, 23, 14, 3, 25), 0.179901494771432, True, 'best']
['bestryan116', 202572706, 'impression', '14', 241108283L, datetime.datetime(2013, 5, 23, 14, 3, 25), 0.0657075451860794, False, 'best']
['bestryan116', 202572706, 'impression', '17', 241108267L, datetime.datetime(2013, 5, 23, 14, 3, 25), 0.0507960171444931, False, 'best']
['bestryan116', 202572706, 'impression', '19', 241103451L, datetime.datetime(2013, 5, 23, 14, 3, 25), 0.0444028211818672, False, 'best']
['bestryan116', 202572706, 'impression', '16', 241108786L, datetime.datetime(2013, 5, 23, 14, 3, 25), 0.0563307265630806, False, 'best']
['bestryan116', 202572706, 'impression', '11', 241103105L, datetime.datetime(2013, 5, 23, 14, 3, 25), 0.0706046120087727, False, 'best']
['bestryan116', 202572706, 'impression', '6', 241104133L, datetime.datetime(2013, 5, 23, 14, 3, 25), 0.0992828438773499, False, 'best']
['bestryan116', 202572706, 'impression', '8', 241105289L, datetime.datetime(2013, 5, 23, 14, 3, 25), 0.0786260121203851, False, 'best']

