['bobwilkus', 202546125, 'impression', '6', 240560781L, datetime.datetime(2013, 5, 17, 16, 13, 20), 0.0730393701849784, False, 'time']
['bobwilkus', 202546125, 'impression', '4', 240561080L, datetime.datetime(2013, 5, 17, 16, 13, 20), 0.113541015037236, False, 'time']
['bobwilkus', 202546125, 'impression', '3', 240561157L, datetime.datetime(2013, 5, 17, 16, 13, 20), 0.108107402435159, False, 'time']
['bobwilkus', 202546125, 'impression', '1', 240634515L, datetime.datetime(2013, 5, 17, 16, 13, 20), 0.0294005405843091, False, 'time']
['bobwilkus', 202546125, 'impression', '2', 240562801L, datetime.datetime(2013, 5, 17, 16, 13, 20), 0.0514335238835514, False, 'time']
['bobwilkus', 202546125, 'impression', '5', 240560902L, datetime.datetime(2013, 5, 17, 16, 13, 20), 0.0148619324779795, False, 'time']
['bobwilkus', 202546125, 'view_full_application_via_name', '3', 240561157L, datetime.datetime(2013, 5, 17, 16, 13, 33), 0.108107402435159, False, 'time']
['bobwilkus', 202546125, 'impression', '3', 240561157L, datetime.datetime(2013, 5, 17, 16, 14, 25), 0.108107402435159, False, 'time']
['bobwilkus', 202546125, 'impression', '6', 240560781L, datetime.datetime(2013, 5, 17, 16, 14, 25), 0.0730393701849784, False, 'time']
['bobwilkus', 202546125, 'impression', '1', 240634515L, datetime.datetime(2013, 5, 17, 16, 14, 25), 0.0294005405843091, False, 'time']
['bobwilkus', 202546125, 'impression', '2', 240562801L, datetime.datetime(2013, 5, 17, 16, 14, 25), 0.0514335238835514, False, 'time']
['bobwilkus', 202546125, 'impression', '5', 240560902L, datetime.datetime(2013, 5, 17, 16, 14, 25), 0.0148619324779795, False, 'time']
['bobwilkus', 202546125, 'impression', '4', 240561080L, datetime.datetime(2013, 5, 17, 16, 14, 25), 0.113541015037236, False, 'time']

