['bookturtle', 202546496, 'impression', '7', 240585722L, datetime.datetime(2013, 5, 17, 2, 45, 28), 0.0667376112971254, False, 'time']
['bookturtle', 202546496, 'impression', '10', 240584955L, datetime.datetime(2013, 5, 17, 2, 45, 28), 0.144050538091793, False, 'time']
['bookturtle', 202546496, 'impression', '3', 240587068L, datetime.datetime(2013, 5, 17, 2, 45, 28), 0.15710700802726, False, 'time']
['bookturtle', 202546496, 'impression', '19', 240583399L, datetime.datetime(2013, 5, 17, 2, 45, 28), 0.0896668582367064, False, 'time']
['bookturtle', 202546496, 'impression', '1', 240588106L, datetime.datetime(2013, 5, 17, 2, 45, 28), 0.0914865086069307, False, 'time']
['bookturtle', 202546496, 'impression', '18', 240583661L, datetime.datetime(2013, 5, 17, 2, 45, 28), 0.114587381381789, False, 'time']
['bookturtle', 202546496, 'impression', '6', 240586207L, datetime.datetime(2013, 5, 17, 2, 45, 28), 0.0871004907482483, False, 'time']
['bookturtle', 202546496, 'impression', '15', 240584175L, datetime.datetime(2013, 5, 17, 2, 45, 28), 0.236059079414443, False, 'time']
['bookturtle', 202546496, 'impression', '9', 240585153L, datetime.datetime(2013, 5, 17, 2, 45, 28), 0.0847780578820992, False, 'time']
['bookturtle', 202546496, 'impression', '11', 240584834L, datetime.datetime(2013, 5, 17, 2, 45, 28), 0.159856668159177, False, 'time']
['bookturtle', 202546496, 'impression', '14', 240584276L, datetime.datetime(2013, 5, 17, 2, 45, 28), 0.0916453844678227, False, 'time']
['bookturtle', 202546496, 'impression', '2', 240587323L, datetime.datetime(2013, 5, 17, 2, 45, 28), 0.159549123910348, False, 'time']
['bookturtle', 202546496, 'impression', '17', 240584038L, datetime.datetime(2013, 5, 17, 2, 45, 28), 0.0477177054574781, False, 'time']
['bookturtle', 202546496, 'impression', '13', 240584431L, datetime.datetime(2013, 5, 17, 2, 45, 28), 0.118627794957637, False, 'time']
['bookturtle', 202546496, 'impression', '4', 240586757L, datetime.datetime(2013, 5, 17, 2, 45, 28), 0.143109253683709, False, 'time']
['bookturtle', 202546496, 'impression', '8', 240585488L, datetime.datetime(2013, 5, 17, 2, 45, 28), 0.211226751273955, False, 'time']
['bookturtle', 202546496, 'impression', '16', 240584091L, datetime.datetime(2013, 5, 17, 2, 45, 28), 0.0927983964068038, False, 'time']
['bookturtle', 202546496, 'impression', '20', 240582780L, datetime.datetime(2013, 5, 17, 2, 45, 28), 0.0983644696590878, False, 'time']
['bookturtle', 202546496, 'impression', '5', 240586386L, datetime.datetime(2013, 5, 17, 2, 45, 28), 0.112930735212304, False, 'time']
['bookturtle', 202546496, 'impression', '12', 240584477L, datetime.datetime(2013, 5, 17, 2, 45, 28), 0.140237932417549, False, 'time']
['bookturtle', 202546496, 'impression', '11', 240584834L, datetime.datetime(2013, 5, 17, 2, 45, 49), 0.159856668159177, False, 'time']
['bookturtle', 202546496, 'impression', '14', 240584276L, datetime.datetime(2013, 5, 17, 2, 45, 49), 0.0916453844678227, False, 'time']
['bookturtle', 202546496, 'impression', '15', 240584175L, datetime.datetime(2013, 5, 17, 2, 45, 49), 0.236059079414443, False, 'time']
['bookturtle', 202546496, 'impression', '6', 240586207L, datetime.datetime(2013, 5, 17, 2, 45, 49), 0.0871004907482483, False, 'time']
['bookturtle', 202546496, 'impression', '18', 240583661L, datetime.datetime(2013, 5, 17, 2, 45, 49), 0.114587381381789, False, 'time']
['bookturtle', 202546496, 'impression', '10', 240584955L, datetime.datetime(2013, 5, 17, 2, 45, 49), 0.144050538091793, False, 'time']
['bookturtle', 202546496, 'impression', '7', 240585722L, datetime.datetime(2013, 5, 17, 2, 45, 49), 0.0667376112971254, False, 'time']
['bookturtle', 202546496, 'impression', '19', 240583399L, datetime.datetime(2013, 5, 17, 2, 45, 49), 0.0896668582367064, False, 'time']
['bookturtle', 202546496, 'impression', '1', 240588106L, datetime.datetime(2013, 5, 17, 2, 45, 49), 0.0914865086069307, False, 'time']
['bookturtle', 202546496, 'impression', '5', 240586386L, datetime.datetime(2013, 5, 17, 2, 45, 49), 0.112930735212304, False, 'time']
['bookturtle', 202546496, 'impression', '16', 240584091L, datetime.datetime(2013, 5, 17, 2, 45, 49), 0.0927983964068038, False, 'time']
['bookturtle', 202546496, 'impression', '20', 240582780L, datetime.datetime(2013, 5, 17, 2, 45, 49), 0.0983644696590878, False, 'time']
['bookturtle', 202546496, 'impression', '12', 240584477L, datetime.datetime(2013, 5, 17, 2, 45, 49), 0.140237932417549, False, 'time']
['bookturtle', 202546496, 'impression', '3', 240587068L, datetime.datetime(2013, 5, 17, 2, 45, 49), 0.15710700802726, False, 'time']
['bookturtle', 202546496, 'impression', '9', 240585153L, datetime.datetime(2013, 5, 17, 2, 45, 49), 0.0847780578820992, False, 'time']
['bookturtle', 202546496, 'impression', '17', 240584038L, datetime.datetime(2013, 5, 17, 2, 45, 49), 0.0477177054574781, False, 'time']
['bookturtle', 202546496, 'impression', '13', 240584431L, datetime.datetime(2013, 5, 17, 2, 45, 49), 0.118627794957637, False, 'time']
['bookturtle', 202546496, 'impression', '8', 240585488L, datetime.datetime(2013, 5, 17, 2, 45, 49), 0.211226751273955, False, 'time']
['bookturtle', 202546496, 'impression', '4', 240586757L, datetime.datetime(2013, 5, 17, 2, 45, 49), 0.143109253683709, False, 'time']
['bookturtle', 202546496, 'impression', '2', 240587323L, datetime.datetime(2013, 5, 17, 2, 45, 49), 0.159549123910348, False, 'time']
['bookturtle', 202546496, 'expand_tile', '1', 240588106L, datetime.datetime(2013, 5, 17, 2, 46, 6), 0.0914865086069307, False, 'time']
['bookturtle', 202546496, 'expand_tile', '2', 240587323L, datetime.datetime(2013, 5, 17, 2, 46, 23), 0.159549123910348, False, 'time']
['bookturtle', 202546496, 'expand_tile', '5', 240586386L, datetime.datetime(2013, 5, 17, 2, 46, 55), 0.112930735212304, False, 'time']
['bookturtle', 202546496, 'expand_tile', '14', 240584276L, datetime.datetime(2013, 5, 17, 2, 48, 43), 0.0916453844678227, False, 'time']
['bookturtle', 202546496, 'expand_tile', '20', 240582780L, datetime.datetime(2013, 5, 17, 2, 49, 6), 0.0983644696590878, False, 'time']

['bookturtle', 202546496, 'impression', '7', 240562271L, datetime.datetime(2013, 5, 17, 3, 29, 44), 0.0603798686070532, False, 'best']
['bookturtle', 202546496, 'impression', '18', 240562636L, datetime.datetime(2013, 5, 17, 3, 29, 44), 0.180591806840665, False, 'best']
['bookturtle', 202546496, 'impression', '12', 240562460L, datetime.datetime(2013, 5, 17, 3, 29, 44), 0.108045148147109, False, 'best']
['bookturtle', 202546496, 'impression', '10', 240562322L, datetime.datetime(2013, 5, 17, 3, 29, 44), 0.122444917909442, False, 'best']
['bookturtle', 202546496, 'impression', '2', 240562071L, datetime.datetime(2013, 5, 17, 3, 29, 44), 0.147518590809199, False, 'best']
['bookturtle', 202546496, 'impression', '16', 240562581L, datetime.datetime(2013, 5, 17, 3, 29, 44), 0.0976604833504544, False, 'best']
['bookturtle', 202546496, 'impression', '15', 240562575L, datetime.datetime(2013, 5, 17, 3, 29, 44), 0.106675957094998, False, 'best']
['bookturtle', 202546496, 'impression', '8', 240562293L, datetime.datetime(2013, 5, 17, 3, 29, 44), 0.0564482929101726, False, 'best']
['bookturtle', 202546496, 'impression', '4', 240562221L, datetime.datetime(2013, 5, 17, 3, 29, 44), 0.107725786809943, False, 'best']
['bookturtle', 202546496, 'impression', '1', 240562001L, datetime.datetime(2013, 5, 17, 3, 29, 44), 0.102798311731546, False, 'best']
['bookturtle', 202546496, 'impression', '9', 240562304L, datetime.datetime(2013, 5, 17, 3, 29, 44), 0.0505880849615966, False, 'best']
['bookturtle', 202546496, 'impression', '17', 240562595L, datetime.datetime(2013, 5, 17, 3, 29, 44), 0.0852513545452339, False, 'best']
['bookturtle', 202546496, 'impression', '3', 240562195L, datetime.datetime(2013, 5, 17, 3, 29, 44), 0.142522828153402, False, 'best']
['bookturtle', 202546496, 'impression', '14', 240562568L, datetime.datetime(2013, 5, 17, 3, 29, 44), 0.166433783385221, False, 'best']
['bookturtle', 202546496, 'impression', '13', 240562512L, datetime.datetime(2013, 5, 17, 3, 29, 44), 0.0336906385102733, False, 'best']
['bookturtle', 202546496, 'impression', '20', 240562648L, datetime.datetime(2013, 5, 17, 3, 29, 44), 0.119817357098723, False, 'best']
['bookturtle', 202546496, 'impression', '19', 240562640L, datetime.datetime(2013, 5, 17, 3, 29, 44), 0.0670307832990601, False, 'best']
['bookturtle', 202546496, 'impression', '11', 240562371L, datetime.datetime(2013, 5, 17, 3, 29, 44), 0.148606012303913, False, 'best']
['bookturtle', 202546496, 'impression', '5', 240562267L, datetime.datetime(2013, 5, 17, 3, 29, 44), 0.0514304483725979, False, 'best']
['bookturtle', 202546496, 'impression', '6', 240562270L, datetime.datetime(2013, 5, 17, 3, 29, 44), 0.0197517371255219, False, 'best']
['bookturtle', 202546496, 'impression', '11', 240588544L, datetime.datetime(2013, 5, 17, 3, 40, 31), 0.199560620955125, False, 'time']
['bookturtle', 202546496, 'impression', '4', 240590178L, datetime.datetime(2013, 5, 17, 3, 40, 31), 0.14199848349268, False, 'time']
['bookturtle', 202546496, 'impression', '12', 240588106L, datetime.datetime(2013, 5, 17, 3, 40, 31), 0.0914865086069307, False, 'time']
['bookturtle', 202546496, 'impression', '13', 240587323L, datetime.datetime(2013, 5, 17, 3, 40, 31), 0.159549123910348, False, 'time']
['bookturtle', 202546496, 'impression', '15', 240586757L, datetime.datetime(2013, 5, 17, 3, 40, 31), 0.143109253683709, False, 'time']
['bookturtle', 202546496, 'impression', '19', 240585488L, datetime.datetime(2013, 5, 17, 3, 40, 31), 0.211226751273955, False, 'time']
['bookturtle', 202546496, 'impression', '9', 240589055L, datetime.datetime(2013, 5, 17, 3, 40, 31), 0.125692526176985, False, 'time']
['bookturtle', 202546496, 'impression', '10', 240588674L, datetime.datetime(2013, 5, 17, 3, 40, 31), 0.118527593540868, False, 'time']
['bookturtle', 202546496, 'impression', '14', 240587068L, datetime.datetime(2013, 5, 17, 3, 40, 31), 0.15710700802726, False, 'time']
['bookturtle', 202546496, 'impression', '2', 240591124L, datetime.datetime(2013, 5, 17, 3, 40, 31), 0.0572818413555542, False, 'time']
['bookturtle', 202546496, 'impression', '6', 240589750L, datetime.datetime(2013, 5, 17, 3, 40, 31), 0.0620935912225427, False, 'time']
['bookturtle', 202546496, 'impression', '16', 240586386L, datetime.datetime(2013, 5, 17, 3, 40, 31), 0.112930735212304, False, 'time']
['bookturtle', 202546496, 'impression', '1', 240591311L, datetime.datetime(2013, 5, 17, 3, 40, 31), 0.0346845216180548, False, 'time']
['bookturtle', 202546496, 'impression', '18', 240585722L, datetime.datetime(2013, 5, 17, 3, 40, 31), 0.0667376112971254, False, 'time']
['bookturtle', 202546496, 'impression', '8', 240589650L, datetime.datetime(2013, 5, 17, 3, 40, 31), 0.0778317114146966, False, 'time']
['bookturtle', 202546496, 'impression', '5', 240590167L, datetime.datetime(2013, 5, 17, 3, 40, 31), 0.0887977010816993, False, 'time']
['bookturtle', 202546496, 'impression', '17', 240586207L, datetime.datetime(2013, 5, 17, 3, 40, 31), 0.0871004907482483, False, 'time']
['bookturtle', 202546496, 'impression', '3', 240591064L, datetime.datetime(2013, 5, 17, 3, 40, 31), 0.0609933104426552, False, 'time']
['bookturtle', 202546496, 'impression', '7', 240589743L, datetime.datetime(2013, 5, 17, 3, 40, 31), 0.099939437681746, False, 'time']
['bookturtle', 202546496, 'impression', '20', 240585153L, datetime.datetime(2013, 5, 17, 3, 40, 31), 0.0847780578820992, False, 'time']
['bookturtle', 202546496, 'impression', '20', 240585153L, datetime.datetime(2013, 5, 17, 3, 40, 54), 0.0847780578820992, False, 'time']
['bookturtle', 202546496, 'impression', '7', 240589743L, datetime.datetime(2013, 5, 17, 3, 40, 54), 0.099939437681746, False, 'time']
['bookturtle', 202546496, 'impression', '5', 240590167L, datetime.datetime(2013, 5, 17, 3, 40, 54), 0.0887977010816993, False, 'time']
['bookturtle', 202546496, 'impression', '17', 240586207L, datetime.datetime(2013, 5, 17, 3, 40, 54), 0.0871004907482483, False, 'time']
['bookturtle', 202546496, 'impression', '3', 240591064L, datetime.datetime(2013, 5, 17, 3, 40, 54), 0.0609933104426552, False, 'time']
['bookturtle', 202546496, 'impression', '11', 240588544L, datetime.datetime(2013, 5, 17, 3, 40, 54), 0.199560620955125, False, 'time']
['bookturtle', 202546496, 'impression', '12', 240588106L, datetime.datetime(2013, 5, 17, 3, 40, 54), 0.0914865086069307, False, 'time']
['bookturtle', 202546496, 'impression', '4', 240590178L, datetime.datetime(2013, 5, 17, 3, 40, 54), 0.14199848349268, False, 'time']
['bookturtle', 202546496, 'impression', '18', 240585722L, datetime.datetime(2013, 5, 17, 3, 40, 54), 0.0667376112971254, False, 'time']
['bookturtle', 202546496, 'impression', '8', 240589650L, datetime.datetime(2013, 5, 17, 3, 40, 54), 0.0778317114146966, False, 'time']
['bookturtle', 202546496, 'impression', '16', 240586386L, datetime.datetime(2013, 5, 17, 3, 40, 54), 0.112930735212304, False, 'time']
['bookturtle', 202546496, 'impression', '1', 240591311L, datetime.datetime(2013, 5, 17, 3, 40, 54), 0.0346845216180548, False, 'time']
['bookturtle', 202546496, 'impression', '9', 240589055L, datetime.datetime(2013, 5, 17, 3, 40, 54), 0.125692526176985, False, 'time']
['bookturtle', 202546496, 'impression', '10', 240588674L, datetime.datetime(2013, 5, 17, 3, 40, 54), 0.118527593540868, False, 'time']
['bookturtle', 202546496, 'impression', '6', 240589750L, datetime.datetime(2013, 5, 17, 3, 40, 54), 0.0620935912225427, False, 'time']
['bookturtle', 202546496, 'impression', '2', 240591124L, datetime.datetime(2013, 5, 17, 3, 40, 54), 0.0572818413555542, False, 'time']
['bookturtle', 202546496, 'impression', '14', 240587068L, datetime.datetime(2013, 5, 17, 3, 40, 54), 0.15710700802726, False, 'time']
['bookturtle', 202546496, 'impression', '19', 240585488L, datetime.datetime(2013, 5, 17, 3, 40, 54), 0.211226751273955, False, 'time']
['bookturtle', 202546496, 'impression', '13', 240587323L, datetime.datetime(2013, 5, 17, 3, 40, 54), 0.159549123910348, False, 'time']
