['brandon-glasgow', 202554898, 'impression', '2', 240743202L, datetime.datetime(2013, 5, 19, 7, 9, 24), 0.0553453356053821, False, 'best']
['brandon-glasgow', 202554898, 'impression', '4', 240744255L, datetime.datetime(2013, 5, 19, 7, 9, 24), 0.0488690323894275, False, 'best']
['brandon-glasgow', 202554898, 'impression', '5', 240743611L, datetime.datetime(2013, 5, 19, 7, 9, 24), 0.0320312813523855, False, 'best']
['brandon-glasgow', 202554898, 'impression', '8', 240743547L, datetime.datetime(2013, 5, 19, 7, 9, 24), 0.0323996010323213, False, 'best']
['brandon-glasgow', 202554898, 'impression', '3', 240743619L, datetime.datetime(2013, 5, 19, 7, 9, 24), 0.0521701955467435, False, 'best']
['brandon-glasgow', 202554898, 'impression', '6', 240743245L, datetime.datetime(2013, 5, 19, 7, 9, 24), 0.0226939680700121, False, 'best']
['brandon-glasgow', 202554898, 'impression', '1', 240743280L, datetime.datetime(2013, 5, 19, 7, 9, 24), 0.0629895538494092, False, 'best']
['brandon-glasgow', 202554898, 'impression', '7', 240743367L, datetime.datetime(2013, 5, 19, 7, 9, 24), 0.062696947871405, False, 'best']
['brandon-glasgow', 202554898, 'view_full_application_via_name', '2', 240743202L, datetime.datetime(2013, 5, 19, 7, 10, 29), 0.0553453356053821, False, 'best']
['brandon-glasgow', 202554898, 'impression', '1', 240743280L, datetime.datetime(2013, 5, 19, 7, 12, 46), 0.0629895538494092, False, 'best']
['brandon-glasgow', 202554898, 'impression', '7', 240743367L, datetime.datetime(2013, 5, 19, 7, 12, 46), 0.062696947871405, False, 'best']
['brandon-glasgow', 202554898, 'impression', '4', 240744255L, datetime.datetime(2013, 5, 19, 7, 12, 46), 0.0488690323894275, False, 'best']
['brandon-glasgow', 202554898, 'impression', '2', 240743202L, datetime.datetime(2013, 5, 19, 7, 12, 46), 0.0553453356053821, False, 'best']
['brandon-glasgow', 202554898, 'impression', '6', 240743245L, datetime.datetime(2013, 5, 19, 7, 12, 46), 0.0226939680700121, False, 'best']
['brandon-glasgow', 202554898, 'impression', '3', 240743619L, datetime.datetime(2013, 5, 19, 7, 12, 46), 0.0521701955467435, False, 'best']
['brandon-glasgow', 202554898, 'impression', '5', 240743611L, datetime.datetime(2013, 5, 19, 7, 12, 46), 0.0320312813523855, False, 'best']
['brandon-glasgow', 202554898, 'impression', '8', 240743547L, datetime.datetime(2013, 5, 19, 7, 12, 46), 0.0323996010323213, False, 'best']
['brandon-glasgow', 202554898, 'view_full_application_via_name', '6', 240743245L, datetime.datetime(2013, 5, 19, 7, 13, 16), 0.0226939680700121, False, 'best']
['brandon-glasgow', 202554898, 'view_full_application_via_name', '6', 240743245L, datetime.datetime(2013, 5, 19, 7, 13, 17), 0.0226939680700121, False, 'best']

['brandon-glasgow', 202554898, 'impression', '8', 240743245L, datetime.datetime(2013, 5, 19, 8, 23, 53), 0.0226939680700121, False, 'best']
['brandon-glasgow', 202554898, 'impression', '5', 240746038L, datetime.datetime(2013, 5, 19, 8, 23, 53), 0.0384593316147538, True, 'best']
['brandon-glasgow', 202554898, 'impression', '9', 240743367L, datetime.datetime(2013, 5, 19, 8, 23, 53), 0.062696947871405, False, 'best']
['brandon-glasgow', 202554898, 'impression', '10', 240743547L, datetime.datetime(2013, 5, 19, 8, 23, 53), 0.0323996010323213, False, 'best']
['brandon-glasgow', 202554898, 'impression', '3', 240743619L, datetime.datetime(2013, 5, 19, 8, 23, 53), 0.0521701955467435, False, 'best']
['brandon-glasgow', 202554898, 'impression', '7', 240743611L, datetime.datetime(2013, 5, 19, 8, 23, 53), 0.0320312813523855, False, 'best']
['brandon-glasgow', 202554898, 'impression', '4', 240744255L, datetime.datetime(2013, 5, 19, 8, 23, 53), 0.0488690323894275, False, 'best']
['brandon-glasgow', 202554898, 'impression', '6', 240746821L, datetime.datetime(2013, 5, 19, 8, 23, 53), 0.0350971383514734, False, 'best']
