['briantubbs', 202576063, 'impression', '1', 241165488L, datetime.datetime(2013, 5, 24, 5, 47, 27), 0.00723550815292091, False, 'best']
['briantubbs', 202576063, 'expand_tile', '1', 241165488L, datetime.datetime(2013, 5, 24, 5, 47, 33), 0.00723550815292091, False, 'best']
['briantubbs', 202576063, 'impression', '2', 241165488L, datetime.datetime(2013, 5, 24, 5, 51, 43), 0.00723550815292091, False, 'best']
['briantubbs', 202576063, 'impression', '1', 241166934L, datetime.datetime(2013, 5, 24, 5, 51, 43), 0.0545216890914796, False, 'best']
['briantubbs', 202576063, 'expand_tile', '1', 241166934L, datetime.datetime(2013, 5, 24, 5, 51, 49), 0.0545216890914796, False, 'best']
['briantubbs', 202576063, 'view_full_application', '1', 241166934L, datetime.datetime(2013, 5, 24, 5, 52, 2), 0.0545216890914796, False, 'best']
['briantubbs', 202576063, 'impression', '2', 241165488L, datetime.datetime(2013, 5, 24, 5, 52, 31), 0.00723550815292091, False, 'best']
['briantubbs', 202576063, 'impression', '1', 241166934L, datetime.datetime(2013, 5, 24, 5, 52, 31), 0.0545216890914796, False, 'best']
['briantubbs', 202576063, 'view_full_application_via_name', '2', 241165488L, datetime.datetime(2013, 5, 24, 5, 52, 33), 0.00723550815292091, False, 'best']
['briantubbs', 202576063, 'impression', '1', 241166934L, datetime.datetime(2013, 5, 24, 5, 53, 7), 0.0545216890914796, False, 'best']
['briantubbs', 202576063, 'impression', '2', 241165488L, datetime.datetime(2013, 5, 24, 5, 53, 7), 0.00723550815292091, False, 'best']
['briantubbs', 202576063, 'impression', '1', 241166934L, datetime.datetime(2013, 5, 24, 6, 22, 24), 0.0545216890914796, False, 'best']
['briantubbs', 202576063, 'impression', '2', 241165488L, datetime.datetime(2013, 5, 24, 6, 22, 24), 0.00723550815292091, False, 'best']

['briantubbs', 202576063, 'impression', '3', 241165488L, datetime.datetime(2013, 5, 24, 7, 10, 39), 0.00723550815292091, False, 'best']
['briantubbs', 202576063, 'impression', '1', 241166934L, datetime.datetime(2013, 5, 24, 7, 10, 39), 0.0545216890914796, False, 'best']
['briantubbs', 202576063, 'impression', '4', 241170506L, datetime.datetime(2013, 5, 24, 7, 10, 39), 0.015900979709849, False, 'best']
['briantubbs', 202576063, 'impression', '2', 241172192L, datetime.datetime(2013, 5, 24, 7, 10, 39), 0.0463858434041374, False, 'best']
['briantubbs', 202576063, 'view_full_application_via_name', '2', 241172192L, datetime.datetime(2013, 5, 24, 7, 10, 50), 0.0463858434041374, False, 'best']
['briantubbs', 202576063, 'impression', '2', 241172192L, datetime.datetime(2013, 5, 24, 7, 11, 4), 0.0463858434041374, False, 'best']
['briantubbs', 202576063, 'impression', '1', 241166934L, datetime.datetime(2013, 5, 24, 7, 11, 4), 0.0545216890914796, False, 'best']
['briantubbs', 202576063, 'impression', '3', 241165488L, datetime.datetime(2013, 5, 24, 7, 11, 4), 0.00723550815292091, False, 'best']
['briantubbs', 202576063, 'impression', '4', 241170506L, datetime.datetime(2013, 5, 24, 7, 11, 4), 0.015900979709849, False, 'best']
['briantubbs', 202576063, 'view_full_application_via_name', '4', 241170506L, datetime.datetime(2013, 5, 24, 7, 11, 7), 0.015900979709849, False, 'best']
['briantubbs', 202576063, 'impression', '2', 241172192L, datetime.datetime(2013, 5, 24, 7, 11, 15), 0.0463858434041374, False, 'best']
['briantubbs', 202576063, 'impression', '1', 241166934L, datetime.datetime(2013, 5, 24, 7, 11, 15), 0.0545216890914796, False, 'best']
['briantubbs', 202576063, 'impression', '3', 241165488L, datetime.datetime(2013, 5, 24, 7, 11, 15), 0.00723550815292091, False, 'best']
['briantubbs', 202576063, 'impression', '4', 241170506L, datetime.datetime(2013, 5, 24, 7, 11, 15), 0.015900979709849, False, 'best']

['briantubbs', 202576063, 'impression', '5', 241172192L, datetime.datetime(2013, 5, 24, 14, 7, 9), 0.0463858434041374, False, 'best']
['briantubbs', 202576063, 'impression', '4', 241166934L, datetime.datetime(2013, 5, 24, 14, 7, 9), 0.0545216890914796, False, 'best']
['briantubbs', 202576063, 'impression', '6', 241165488L, datetime.datetime(2013, 5, 24, 14, 7, 9), 0.00723550815292091, False, 'best']
['briantubbs', 202576063, 'impression', '3', 241194260L, datetime.datetime(2013, 5, 24, 14, 7, 9), 0.0608137330191867, False, 'best']
['briantubbs', 202576063, 'impression', '1', 241188124L, datetime.datetime(2013, 5, 24, 14, 7, 9), 0.158021687716222, False, 'best']
['briantubbs', 202576063, 'impression', '2', 241179937L, datetime.datetime(2013, 5, 24, 14, 7, 9), 0.0832510496642655, False, 'best']
['briantubbs', 202576063, 'impression', '7', 241170506L, datetime.datetime(2013, 5, 24, 14, 7, 9), 0.015900979709849, False, 'best']

['briantubbs', 202576063, 'impression', '11', 241285571L, datetime.datetime(2013, 5, 25, 23, 20, 57), 0.039582033366353, False, 'best']
['briantubbs', 202576063, 'impression', '10', 241172192L, datetime.datetime(2013, 5, 25, 23, 20, 57), 0.0463858434041374, False, 'best']
['briantubbs', 202576063, 'impression', '3', 241220524L, datetime.datetime(2013, 5, 25, 23, 20, 57), 0.147135487852646, True, 'best']
['briantubbs', 202576063, 'impression', '5', 241220500L, datetime.datetime(2013, 5, 25, 23, 20, 57), 0.103777780075481, False, 'best']
['briantubbs', 202576063, 'impression', '4', 241296001L, datetime.datetime(2013, 5, 25, 23, 20, 57), 0.145356276023277, False, 'best']
['briantubbs', 202576063, 'impression', '1', 241206498L, datetime.datetime(2013, 5, 25, 23, 20, 57), 0.274532975123575, False, 'best']
['briantubbs', 202576063, 'impression', '9', 241166934L, datetime.datetime(2013, 5, 25, 23, 20, 57), 0.0545216890914796, False, 'best']
['briantubbs', 202576063, 'impression', '8', 241194260L, datetime.datetime(2013, 5, 25, 23, 20, 57), 0.0608137330191867, False, 'best']
['briantubbs', 202576063, 'impression', '2', 241188124L, datetime.datetime(2013, 5, 25, 23, 20, 57), 0.158021687716222, False, 'best']
['briantubbs', 202576063, 'impression', '12', 241165488L, datetime.datetime(2013, 5, 25, 23, 20, 57), 0.00723550815292091, False, 'best']
['briantubbs', 202576063, 'impression', '13', 241170506L, datetime.datetime(2013, 5, 25, 23, 20, 57), 0.015900979709849, False, 'best']
['briantubbs', 202576063, 'impression', '7', 241202056L, datetime.datetime(2013, 5, 25, 23, 20, 57), 0.0794274142242721, False, 'best']
['briantubbs', 202576063, 'impression', '6', 241179937L, datetime.datetime(2013, 5, 25, 23, 20, 57), 0.0832510496642655, False, 'best']
['briantubbs', 202576063, 'expand_tile', '2', 241188124L, datetime.datetime(2013, 5, 25, 23, 22, 17), 0.158021687716222, False, 'best']
['briantubbs', 202576063, 'expand_tile', '1', 241206498L, datetime.datetime(2013, 5, 25, 23, 22, 25), 0.274532975123575, False, 'best']
['briantubbs', 202576063, 'view_full_application', '1', 241206498L, datetime.datetime(2013, 5, 25, 23, 23, 2), 0.274532975123575, False, 'best']
['briantubbs', 202576063, 'impression', '12', 241165488L, datetime.datetime(2013, 5, 25, 23, 24, 22), 0.00723550815292091, False, 'best']
['briantubbs', 202576063, 'impression', '2', 241188124L, datetime.datetime(2013, 5, 25, 23, 24, 22), 0.158021687716222, False, 'best']
['briantubbs', 202576063, 'impression', '8', 241194260L, datetime.datetime(2013, 5, 25, 23, 24, 22), 0.0608137330191867, False, 'best']
['briantubbs', 202576063, 'impression', '9', 241166934L, datetime.datetime(2013, 5, 25, 23, 24, 22), 0.0545216890914796, False, 'best']
['briantubbs', 202576063, 'impression', '4', 241296001L, datetime.datetime(2013, 5, 25, 23, 24, 22), 0.145356276023277, False, 'best']
['briantubbs', 202576063, 'impression', '1', 241206498L, datetime.datetime(2013, 5, 25, 23, 24, 22), 0.274532975123575, False, 'best']
['briantubbs', 202576063, 'impression', '6', 241179937L, datetime.datetime(2013, 5, 25, 23, 24, 22), 0.0832510496642655, False, 'best']
['briantubbs', 202576063, 'impression', '13', 241170506L, datetime.datetime(2013, 5, 25, 23, 24, 22), 0.015900979709849, False, 'best']
