['buysjos', 202534314, 'impression', '1', 240447538L, datetime.datetime(2013, 5, 15, 12, 31, 14), 0.182269485177469, False, 'time']
['buysjos', 202534314, 'expand_tile', '1', 240447538L, datetime.datetime(2013, 5, 15, 12, 31, 27), 0.182269485177469, False, 'time']
['buysjos', 202534314, 'view_full_application', '1', 240447538L, datetime.datetime(2013, 5, 15, 12, 31, 51), 0.182269485177469, False, 'time']
['buysjos', 202534314, 'impression', '1', 240447538L, datetime.datetime(2013, 5, 15, 12, 37, 13), 0.182269485177469, False, 'time']
['buysjos', 202534314, 'impression', '1', 240447538L, datetime.datetime(2013, 5, 15, 12, 40, 22), 0.182269485177469, False, 'time']
['buysjos', 202534314, 'impression', '1', 240447538L, datetime.datetime(2013, 5, 15, 12, 41, 7), 0.182269485177469, False, 'time']
['buysjos', 202534314, 'impression', '1', 240447538L, datetime.datetime(2013, 5, 15, 12, 44, 1), 0.182269485177469, False, 'time']
['buysjos', 202534314, 'impression', '1', 240447538L, datetime.datetime(2013, 5, 15, 12, 45, 13), 0.182269485177469, False, 'time']
['buysjos', 202534314, 'impression', '1', 240447538L, datetime.datetime(2013, 5, 15, 12, 51, 4), 0.182269485177469, False, 'time']
['buysjos', 202534314, 'impression', '1', 240447538L, datetime.datetime(2013, 5, 15, 12, 51, 25), 0.182269485177469, False, 'time']
['buysjos', 202534314, 'impression', '1', 240447538L, datetime.datetime(2013, 5, 15, 13, 10, 11), 0.182269485177469, False, 'time']
['buysjos', 202534314, 'impression', '1', 240447538L, datetime.datetime(2013, 5, 15, 13, 15, 44), 0.182269485177469, False, 'time']
['buysjos', 202534314, 'impression', '1', 240447538L, datetime.datetime(2013, 5, 15, 13, 16, 31), 0.182269485177469, False, 'time']
['buysjos', 202534314, 'impression', '1', 240447538L, datetime.datetime(2013, 5, 15, 13, 23, 44), 0.182269485177469, False, 'time']

['buysjos', 202534314, 'impression', '1', 240447538L, datetime.datetime(2013, 5, 15, 18, 38, 34), 0.182269485177469, False, 'time']
['buysjos', 202534314, 'impression', '1', 240447538L, datetime.datetime(2013, 5, 15, 18, 42, 42), 0.182269485177469, False, 'time']

['buysjos', 202534314, 'impression', '1', 240447538L, datetime.datetime(2013, 5, 16, 0, 32, 39), 0.182269485177469, False, 'time']

['buysjos', 202534314, 'impression', '1', 240447538L, datetime.datetime(2013, 5, 16, 10, 54, 55), 0.182269485177469, False, 'time']

['buysjos', 202534314, 'impression', '1', 240447538L, datetime.datetime(2013, 5, 16, 13, 38, 57), 0.182269485177469, False, 'time']

['buysjos', 202534314, 'impression', '1', 240447538L, datetime.datetime(2013, 5, 16, 23, 39, 11), 0.182269485177469, False, 'time']

['buysjos', 202534314, 'impression', '1', 240447538L, datetime.datetime(2013, 5, 17, 16, 56, 57), 0.182269485177469, False, 'time']

['buysjos', 202534314, 'impression', '1', 240447538L, datetime.datetime(2013, 5, 18, 15, 8, 18), 0.182269485177469, False, 'time']
['buysjos', 202534314, 'impression', '1', 240447538L, datetime.datetime(2013, 5, 18, 15, 13, 20), 0.182269485177469, False, 'time']

['buysjos', 202534314, 'impression', '1', 240447538L, datetime.datetime(2013, 5, 18, 23, 57, 35), 0.182269485177469, False, 'time']

['buysjos', 202534314, 'impression', '1', 240447538L, datetime.datetime(2013, 5, 20, 0, 18, 59), 0.182269485177469, False, 'time']
['buysjos', 202534314, 'impression', '1', 240447538L, datetime.datetime(2013, 5, 20, 0, 19, 58), 0.182269485177469, False, 'time']

['buysjos', 202534314, 'impression', '1', 240447538L, datetime.datetime(2013, 5, 20, 1, 43), 0.182269485177469, False, 'time']
['buysjos', 202534314, 'impression', '1', 240447538L, datetime.datetime(2013, 5, 20, 1, 46, 11), 0.182269485177469, False, 'time']

['buysjos', 202534314, 'impression', '1', 240447538L, datetime.datetime(2013, 5, 20, 17, 12, 4), 0.182269485177469, False, 'time']

