['cannon_diane', 202583703, 'impression', '3', 241352522L, datetime.datetime(2013, 5, 27, 3, 45, 37), 0.0236172672074725, False, 'time']
['cannon_diane', 202583703, 'impression', '11', 241348592L, datetime.datetime(2013, 5, 27, 3, 45, 37), 0.0112279351123072, False, 'time']
['cannon_diane', 202583703, 'impression', '14', 241348002L, datetime.datetime(2013, 5, 27, 3, 45, 37), 0.00352192987150773, False, 'time']
['cannon_diane', 202583703, 'impression', '15', 241347978L, datetime.datetime(2013, 5, 27, 3, 45, 37), 0.0334307992478079, False, 'time']
['cannon_diane', 202583703, 'impression', '16', 241347906L, datetime.datetime(2013, 5, 27, 3, 45, 37), 0.00495836171068783, False, 'time']
['cannon_diane', 202583703, 'impression', '1', 241360395L, datetime.datetime(2013, 5, 27, 3, 45, 37), 0.0162216036288286, False, 'time']
['cannon_diane', 202583703, 'impression', '7', 241349278L, datetime.datetime(2013, 5, 27, 3, 45, 37), 0.0162149763388145, False, 'time']
['cannon_diane', 202583703, 'impression', '13', 241348047L, datetime.datetime(2013, 5, 27, 3, 45, 37), 0.00306492076549549, False, 'time']
['cannon_diane', 202583703, 'impression', '6', 241349684L, datetime.datetime(2013, 5, 27, 3, 45, 37), 0.0173183285563014, False, 'time']
['cannon_diane', 202583703, 'impression', '8', 241349124L, datetime.datetime(2013, 5, 27, 3, 45, 37), 0.0401616608002853, False, 'time']
['cannon_diane', 202583703, 'impression', '12', 241348176L, datetime.datetime(2013, 5, 27, 3, 45, 37), 0.0333150846226345, False, 'time']
['cannon_diane', 202583703, 'impression', '4', 241350044L, datetime.datetime(2013, 5, 27, 3, 45, 37), 0.0112421469035732, False, 'time']
['cannon_diane', 202583703, 'impression', '2', 241356537L, datetime.datetime(2013, 5, 27, 3, 45, 37), 0.0135417387901581, False, 'time']
['cannon_diane', 202583703, 'impression', '10', 241348786L, datetime.datetime(2013, 5, 27, 3, 45, 37), 0.0355959761146575, False, 'time']
['cannon_diane', 202583703, 'impression', '5', 241349774L, datetime.datetime(2013, 5, 27, 3, 45, 37), 0.0175233041564435, False, 'time']
['cannon_diane', 202583703, 'impression', '9', 241349093L, datetime.datetime(2013, 5, 27, 3, 45, 37), 0.0129638474293624, False, 'time']

['cannon_diane', 202583703, 'impression', '9', 241349093L, datetime.datetime(2013, 5, 27, 19, 9, 46), 0.0129638474293624, False, 'time']
['cannon_diane', 202583703, 'impression', '10', 241348786L, datetime.datetime(2013, 5, 27, 19, 9, 46), 0.0355959761146575, False, 'time']
['cannon_diane', 202583703, 'impression', '5', 241349774L, datetime.datetime(2013, 5, 27, 19, 9, 46), 0.0175233041564435, False, 'time']
['cannon_diane', 202583703, 'impression', '4', 241350044L, datetime.datetime(2013, 5, 27, 19, 9, 46), 0.0112421469035732, False, 'time']
['cannon_diane', 202583703, 'impression', '2', 241356537L, datetime.datetime(2013, 5, 27, 19, 9, 46), 0.0135417387901581, False, 'time']
['cannon_diane', 202583703, 'impression', '7', 241349278L, datetime.datetime(2013, 5, 27, 19, 9, 46), 0.0162149763388145, False, 'time']
