['cempra', 202537777, 'impression', '7', 240462609L, datetime.datetime(2013, 5, 16, 14, 38, 55), 0.0994652975100206, False, 'time']
['cempra', 202537777, 'impression', '8', 240451684L, datetime.datetime(2013, 5, 16, 14, 38, 55), 0.15366116760272, False, 'time']
['cempra', 202537777, 'impression', '5', 240498234L, datetime.datetime(2013, 5, 16, 14, 38, 55), 0.225915907621278, False, 'time']
['cempra', 202537777, 'impression', '13', 240424989L, datetime.datetime(2013, 5, 16, 14, 38, 55), 0.140621845187915, False, 'time']
['cempra', 202537777, 'impression', '10', 240445059L, datetime.datetime(2013, 5, 16, 14, 38, 55), 0.0867341058141436, False, 'time']
['cempra', 202537777, 'impression', '20', 240408689L, datetime.datetime(2013, 5, 16, 14, 38, 55), 0.137517289067556, False, 'time']
['cempra', 202537777, 'impression', '9', 240451497L, datetime.datetime(2013, 5, 16, 14, 38, 55), 0.0853976719140521, False, 'time']
['cempra', 202537777, 'impression', '3', 240509908L, datetime.datetime(2013, 5, 16, 14, 38, 55), 0.238705201805714, False, 'time']
['cempra', 202537777, 'impression', '1', 240539413L, datetime.datetime(2013, 5, 16, 14, 38, 55), 0.0635896155523025, False, 'time']
['cempra', 202537777, 'impression', '17', 240416798L, datetime.datetime(2013, 5, 16, 14, 38, 55), 0.0678146385915208, False, 'time']
['cempra', 202537777, 'impression', '16', 240417105L, datetime.datetime(2013, 5, 16, 14, 38, 55), 0.164345657568082, False, 'time']
['cempra', 202537777, 'impression', '12', 240432071L, datetime.datetime(2013, 5, 16, 14, 38, 55), 0.202496738361379, False, 'time']
['cempra', 202537777, 'impression', '18', 240416008L, datetime.datetime(2013, 5, 16, 14, 38, 55), 0.087846388518887, False, 'time']
['cempra', 202537777, 'impression', '15', 240418802L, datetime.datetime(2013, 5, 16, 14, 38, 55), 0.0774750585455752, False, 'time']
['cempra', 202537777, 'impression', '11', 240434572L, datetime.datetime(2013, 5, 16, 14, 38, 55), 0.224114191201447, False, 'time']
['cempra', 202537777, 'impression', '2', 240516385L, datetime.datetime(2013, 5, 16, 14, 38, 55), 0.123682742762991, False, 'time']
