['chris-gale', 202545953, 'impression', '2', 240574728L, datetime.datetime(2013, 5, 17, 23, 23, 34), 0.336903431404328, False, 'best']
['chris-gale', 202545953, 'impression', '1', 240625623L, datetime.datetime(2013, 5, 17, 23, 23, 34), 0.388045379207041, False, 'best']
['chris-gale', 202545953, 'impression', '3', 240632624L, datetime.datetime(2013, 5, 17, 23, 23, 34), 0.225942801589352, False, 'best']
['chris-gale', 202545953, 'impression', '13', 240624642L, datetime.datetime(2013, 5, 17, 23, 23, 34), 0.0758817848244488, False, 'best']
['chris-gale', 202545953, 'impression', '6', 240616514L, datetime.datetime(2013, 5, 17, 23, 23, 34), 0.169879451792263, False, 'best']
['chris-gale', 202545953, 'impression', '5', 240552411L, datetime.datetime(2013, 5, 17, 23, 23, 34), 0.174689757539639, False, 'best']
['chris-gale', 202545953, 'impression', '7', 240613099L, datetime.datetime(2013, 5, 17, 23, 23, 34), 0.167519449741864, False, 'best']
['chris-gale', 202545953, 'impression', '10', 240601703L, datetime.datetime(2013, 5, 17, 23, 23, 34), 0.146821997201523, False, 'best']
['chris-gale', 202545953, 'impression', '9', 240552516L, datetime.datetime(2013, 5, 17, 23, 23, 34), 0.147032072319211, False, 'best']
['chris-gale', 202545953, 'impression', '8', 240553301L, datetime.datetime(2013, 5, 17, 23, 23, 34), 0.158132638896164, False, 'best']
['chris-gale', 202545953, 'impression', '11', 240558692L, datetime.datetime(2013, 5, 17, 23, 23, 34), 0.125099289983658, False, 'best']
['chris-gale', 202545953, 'impression', '4', 240564321L, datetime.datetime(2013, 5, 17, 23, 23, 34), 0.18447912510281, False, 'best']
['chris-gale', 202545953, 'impression', '12', 240555046L, datetime.datetime(2013, 5, 17, 23, 23, 34), 0.0976055311638723, False, 'best']
['chris-gale', 202545953, 'impression', '12', 240555046L, datetime.datetime(2013, 5, 17, 23, 24, 50), 0.0976055311638723, False, 'best']
['chris-gale', 202545953, 'impression', '8', 240553301L, datetime.datetime(2013, 5, 17, 23, 24, 50), 0.158132638896164, False, 'best']
['chris-gale', 202545953, 'impression', '11', 240558692L, datetime.datetime(2013, 5, 17, 23, 24, 50), 0.125099289983658, False, 'best']
['chris-gale', 202545953, 'impression', '9', 240552516L, datetime.datetime(2013, 5, 17, 23, 24, 50), 0.147032072319211, False, 'best']
['chris-gale', 202545953, 'impression', '3', 240632624L, datetime.datetime(2013, 5, 17, 23, 24, 50), 0.225942801589352, False, 'best']
['chris-gale', 202545953, 'impression', '2', 240574728L, datetime.datetime(2013, 5, 17, 23, 24, 50), 0.336903431404328, False, 'best']
['chris-gale', 202545953, 'impression', '1', 240625623L, datetime.datetime(2013, 5, 17, 23, 24, 50), 0.388045379207041, False, 'best']
['chris-gale', 202545953, 'impression', '4', 240564321L, datetime.datetime(2013, 5, 17, 23, 24, 50), 0.18447912510281, False, 'best']
['chris-gale', 202545953, 'impression', '6', 240616514L, datetime.datetime(2013, 5, 17, 23, 24, 50), 0.169879451792263, False, 'best']
['chris-gale', 202545953, 'impression', '13', 240624642L, datetime.datetime(2013, 5, 17, 23, 24, 50), 0.0758817848244488, False, 'best']
['chris-gale', 202545953, 'impression', '5', 240552411L, datetime.datetime(2013, 5, 17, 23, 24, 50), 0.174689757539639, False, 'best']
['chris-gale', 202545953, 'impression', '10', 240601703L, datetime.datetime(2013, 5, 17, 23, 24, 50), 0.146821997201523, False, 'best']
['chris-gale', 202545953, 'impression', '7', 240613099L, datetime.datetime(2013, 5, 17, 23, 24, 50), 0.167519449741864, False, 'best']
['chris-gale', 202545953, 'impression', '12', 240555046L, datetime.datetime(2013, 5, 17, 23, 27, 11), 0.0976055311638723, False, 'best']
['chris-gale', 202545953, 'impression', '3', 240632624L, datetime.datetime(2013, 5, 17, 23, 27, 11), 0.225942801589352, False, 'best']
['chris-gale', 202545953, 'impression', '6', 240616514L, datetime.datetime(2013, 5, 17, 23, 27, 11), 0.169879451792263, False, 'best']
['chris-gale', 202545953, 'impression', '13', 240624642L, datetime.datetime(2013, 5, 17, 23, 27, 11), 0.0758817848244488, False, 'best']
['chris-gale', 202545953, 'impression', '4', 240564321L, datetime.datetime(2013, 5, 17, 23, 27, 11), 0.18447912510281, False, 'best']
['chris-gale', 202545953, 'impression', '11', 240558692L, datetime.datetime(2013, 5, 17, 23, 27, 11), 0.125099289983658, False, 'best']
['chris-gale', 202545953, 'impression', '8', 240553301L, datetime.datetime(2013, 5, 17, 23, 27, 11), 0.158132638896164, False, 'best']
['chris-gale', 202545953, 'impression', '9', 240552516L, datetime.datetime(2013, 5, 17, 23, 27, 11), 0.147032072319211, False, 'best']
['chris-gale', 202545953, 'impression', '5', 240552411L, datetime.datetime(2013, 5, 17, 23, 27, 11), 0.174689757539639, False, 'best']
['chris-gale', 202545953, 'impression', '10', 240601703L, datetime.datetime(2013, 5, 17, 23, 27, 11), 0.146821997201523, False, 'best']
['chris-gale', 202545953, 'impression', '7', 240613099L, datetime.datetime(2013, 5, 17, 23, 27, 11), 0.167519449741864, False, 'best']
['chris-gale', 202545953, 'impression', '2', 240574728L, datetime.datetime(2013, 5, 17, 23, 27, 11), 0.336903431404328, False, 'best']
['chris-gale', 202545953, 'impression', '1', 240625623L, datetime.datetime(2013, 5, 17, 23, 27, 11), 0.388045379207041, False, 'best']
['chris-gale', 202545953, 'impression', '13', 240624642L, datetime.datetime(2013, 5, 17, 23, 27, 37), 0.0758817848244488, False, 'best']
['chris-gale', 202545953, 'impression', '6', 240616514L, datetime.datetime(2013, 5, 17, 23, 27, 37), 0.169879451792263, False, 'best']
['chris-gale', 202545953, 'impression', '4', 240564321L, datetime.datetime(2013, 5, 17, 23, 27, 37), 0.18447912510281, False, 'best']
['chris-gale', 202545953, 'impression', '12', 240555046L, datetime.datetime(2013, 5, 17, 23, 27, 37), 0.0976055311638723, False, 'best']
['chris-gale', 202545953, 'impression', '5', 240552411L, datetime.datetime(2013, 5, 17, 23, 27, 37), 0.174689757539639, False, 'best']
['chris-gale', 202545953, 'impression', '10', 240601703L, datetime.datetime(2013, 5, 17, 23, 27, 37), 0.146821997201523, False, 'best']
['chris-gale', 202545953, 'impression', '7', 240613099L, datetime.datetime(2013, 5, 17, 23, 27, 37), 0.167519449741864, False, 'best']
['chris-gale', 202545953, 'impression', '1', 240625623L, datetime.datetime(2013, 5, 17, 23, 27, 37), 0.388045379207041, False, 'best']
['chris-gale', 202545953, 'impression', '2', 240574728L, datetime.datetime(2013, 5, 17, 23, 27, 37), 0.336903431404328, False, 'best']
['chris-gale', 202545953, 'impression', '3', 240632624L, datetime.datetime(2013, 5, 17, 23, 27, 37), 0.225942801589352, False, 'best']
['chris-gale', 202545953, 'impression', '9', 240552516L, datetime.datetime(2013, 5, 17, 23, 27, 37), 0.147032072319211, False, 'best']
['chris-gale', 202545953, 'impression', '11', 240558692L, datetime.datetime(2013, 5, 17, 23, 27, 37), 0.125099289983658, False, 'best']
['chris-gale', 202545953, 'impression', '8', 240553301L, datetime.datetime(2013, 5, 17, 23, 27, 37), 0.158132638896164, False, 'best']

