['classytrade', 202552172, 'impression', '3', 240685668L, datetime.datetime(2013, 5, 18, 9, 31, 17), 0.207884647744879, False, 'best']
['classytrade', 202552172, 'impression', '5', 240678305L, datetime.datetime(2013, 5, 18, 9, 31, 17), 0.0788799504841001, False, 'best']
['classytrade', 202552172, 'impression', '1', 240690408L, datetime.datetime(2013, 5, 18, 9, 31, 17), 0.567199381257068, False, 'best']
['classytrade', 202552172, 'impression', '6', 240677457L, datetime.datetime(2013, 5, 18, 9, 31, 17), 0.059529616544804, False, 'best']
['classytrade', 202552172, 'impression', '2', 240683657L, datetime.datetime(2013, 5, 18, 9, 31, 17), 0.367029724763477, True, 'best']
['classytrade', 202552172, 'impression', '4', 240689548L, datetime.datetime(2013, 5, 18, 9, 31, 17), 0.119859444703432, False, 'best']
['classytrade', 202552172, 'impression', '4', 240689548L, datetime.datetime(2013, 5, 18, 9, 32, 6), 0.119859444703432, False, 'best']
['classytrade', 202552172, 'view_full_application_via_name', '3', 240685668L, datetime.datetime(2013, 5, 18, 9, 32, 12), 0.207884647744879, False, 'best']
['classytrade', 202552172, 'impression', '5', 240678305L, datetime.datetime(2013, 5, 18, 9, 46, 34), 0.0788799504841001, False, 'best']
['classytrade', 202552172, 'impression', '6', 240677457L, datetime.datetime(2013, 5, 18, 9, 46, 34), 0.059529616544804, False, 'best']
['classytrade', 202552172, 'impression', '4', 240689548L, datetime.datetime(2013, 5, 18, 9, 46, 34), 0.119859444703432, False, 'best']
['classytrade', 202552172, 'impression', '2', 240683657L, datetime.datetime(2013, 5, 18, 9, 46, 34), 0.367029724763477, True, 'best']
['classytrade', 202552172, 'impression', '1', 240690408L, datetime.datetime(2013, 5, 18, 9, 46, 34), 0.567199381257068, False, 'best']
['classytrade', 202552172, 'impression', '3', 240685668L, datetime.datetime(2013, 5, 18, 9, 46, 34), 0.207884647744879, False, 'best']
['classytrade', 202552172, 'view_full_application_via_name', '2', 240683657L, datetime.datetime(2013, 5, 18, 9, 47, 23), 0.367029724763477, True, 'best']
['classytrade', 202552172, 'impression', '3', 240685668L, datetime.datetime(2013, 5, 18, 9, 59, 42), 0.207884647744879, False, 'best']
['classytrade', 202552172, 'impression', '5', 240678305L, datetime.datetime(2013, 5, 18, 9, 59, 42), 0.0788799504841001, False, 'best']
['classytrade', 202552172, 'impression', '1', 240690408L, datetime.datetime(2013, 5, 18, 9, 59, 42), 0.567199381257068, False, 'best']
['classytrade', 202552172, 'impression', '2', 240683657L, datetime.datetime(2013, 5, 18, 9, 59, 42), 0.367029724763477, True, 'best']
['classytrade', 202552172, 'impression', '4', 240689548L, datetime.datetime(2013, 5, 18, 9, 59, 42), 0.119859444703432, False, 'best']
['classytrade', 202552172, 'impression', '6', 240677457L, datetime.datetime(2013, 5, 18, 9, 59, 42), 0.059529616544804, False, 'best']
['classytrade', 202552172, 'impression', '6', 240677457L, datetime.datetime(2013, 5, 18, 10, 0, 2), 0.059529616544804, False, 'best']
['classytrade', 202552172, 'impression', '4', 240689548L, datetime.datetime(2013, 5, 18, 10, 0, 14), 0.119859444703432, False, 'best']
['classytrade', 202552172, 'impression', '4', 240689548L, datetime.datetime(2013, 5, 18, 10, 0, 19), 0.119859444703432, False, 'best']
['classytrade', 202552172, 'impression', '5', 240678305L, datetime.datetime(2013, 5, 18, 10, 0, 19), 0.0788799504841001, False, 'best']
['classytrade', 202552172, 'impression', '2', 240683657L, datetime.datetime(2013, 5, 18, 10, 0, 29), 0.367029724763477, True, 'best']
['classytrade', 202552172, 'impression', '2', 240683657L, datetime.datetime(2013, 5, 18, 10, 0, 30), 0.367029724763477, True, 'best']
['classytrade', 202552172, 'impression', '5', 240678305L, datetime.datetime(2013, 5, 18, 10, 0, 47), 0.0788799504841001, False, 'best']
['classytrade', 202552172, 'impression', '5', 240678305L, datetime.datetime(2013, 5, 18, 10, 0, 48), 0.0788799504841001, False, 'best']
['classytrade', 202552172, 'impression', '3', 240685668L, datetime.datetime(2013, 5, 18, 10, 0, 54), 0.207884647744879, False, 'best']
['classytrade', 202552172, 'view_full_application_via_name', '1', 240690408L, datetime.datetime(2013, 5, 18, 10, 0, 57), 0.567199381257068, False, 'best']
['classytrade', 202552172, 'impression', '2', 240683657L, datetime.datetime(2013, 5, 18, 10, 1, 36), 0.367029724763477, True, 'best']
['classytrade', 202552172, 'impression', '3', 240685668L, datetime.datetime(2013, 5, 18, 10, 1, 36), 0.207884647744879, False, 'best']
['classytrade', 202552172, 'impression', '1', 240690408L, datetime.datetime(2013, 5, 18, 10, 1, 36), 0.567199381257068, False, 'best']
['classytrade', 202552172, 'impression', '1', 240690408L, datetime.datetime(2013, 5, 18, 10, 1, 57), 0.567199381257068, False, 'best']
['classytrade', 202552172, 'impression', '1', 240690408L, datetime.datetime(2013, 5, 18, 10, 1, 58), 0.567199381257068, False, 'best']
['classytrade', 202552172, 'impression', '2', 240683657L, datetime.datetime(2013, 5, 18, 10, 1, 58), 0.367029724763477, True, 'best']

['classytrade', 202552172, 'impression', '2', 240685668L, datetime.datetime(2013, 5, 18, 11, 7, 28), 0.207884647744879, False, 'best']
['classytrade', 202552172, 'impression', '1', 240683657L, datetime.datetime(2013, 5, 18, 11, 7, 28), 0.367029724763477, True, 'best']
['classytrade', 202552172, 'impression', '1', 240683657L, datetime.datetime(2013, 5, 18, 11, 7, 28), 0.367029724763477, True, 'best']
['classytrade', 202552172, 'impression', '1', 240683657L, datetime.datetime(2013, 5, 18, 11, 7, 33), 0.367029724763477, True, 'best']
['classytrade', 202552172, 'view_full_application_via_name', '1', 240683657L, datetime.datetime(2013, 5, 18, 11, 7, 38), 0.367029724763477, True, 'best']
['classytrade', 202552172, 'impression', '1', 240685668L, datetime.datetime(2013, 5, 18, 11, 13, 26), 0.207884647744879, False, 'best']
['classytrade', 202552172, 'impression', '1', 240685668L, datetime.datetime(2013, 5, 18, 11, 13, 46), 0.207884647744879, False, 'best']
['classytrade', 202552172, 'impression', '1', 240685668L, datetime.datetime(2013, 5, 18, 11, 13, 48), 0.207884647744879, False, 'best']

['classytrade', 202552172, 'impression', '1', 240698008L, datetime.datetime(2013, 5, 18, 12, 35, 7), 0.306398659564093, False, 'best']
['classytrade', 202552172, 'impression', '1', 240698008L, datetime.datetime(2013, 5, 18, 12, 35, 23), 0.306398659564093, False, 'best']

['classytrade', 202552172, 'impression', '1', 240726587L, datetime.datetime(2013, 5, 19, 1, 50, 38), 0.107536519775103, False, 'best']
['classytrade', 202552172, 'expand_tile', '1', 240726587L, datetime.datetime(2013, 5, 19, 1, 50, 48), 0.107536519775103, False, 'best']
['classytrade', 202552172, 'impression', '1', 240726587L, datetime.datetime(2013, 5, 19, 1, 51, 17), 0.107536519775103, False, 'best']

