['clubempire', 202583848, 'impression', '3', 241351123L, datetime.datetime(2013, 5, 26, 21, 20, 8), 0.318695567682801, False, 'time']
['clubempire', 202583848, 'impression', '1', 241351489L, datetime.datetime(2013, 5, 26, 21, 20, 8), 0.356395652984984, False, 'time']
['clubempire', 202583848, 'impression', '4', 241351036L, datetime.datetime(2013, 5, 26, 21, 20, 8), 0.216485881980833, False, 'time']
['clubempire', 202583848, 'impression', '2', 241351176L, datetime.datetime(2013, 5, 26, 21, 20, 8), 0.179518418426457, False, 'time']
['clubempire', 202583848, 'expand_tile', '4', 241351036L, datetime.datetime(2013, 5, 26, 21, 20, 13), 0.216485881980833, False, 'time']
['clubempire', 202583848, 'collapse_tile', '4', 241351036L, datetime.datetime(2013, 5, 26, 21, 20, 53), 0.216485881980833, False, 'time']
['clubempire', 202583848, 'expand_tile', '4', 241351036L, datetime.datetime(2013, 5, 26, 21, 20, 54), 0.216485881980833, False, 'time']
['clubempire', 202583848, 'expand_tile', '3', 241351123L, datetime.datetime(2013, 5, 26, 21, 21), 0.318695567682801, False, 'time']
['clubempire', 202583848, 'expand_tile', '2', 241351176L, datetime.datetime(2013, 5, 26, 21, 21, 3), 0.179518418426457, False, 'time']
['clubempire', 202583848, 'expand_tile', '1', 241351489L, datetime.datetime(2013, 5, 26, 21, 21, 43), 0.356395652984984, False, 'time']
['clubempire', 202583848, 'send_message', '2', 241351176L, datetime.datetime(2013, 5, 26, 21, 34), 0.179518418426457, False, 'time']
['clubempire', 202583848, 'expand_tile', '2', 241351176L, datetime.datetime(2013, 5, 26, 21, 35, 27), 0.179518418426457, False, 'time']
['clubempire', 202583848, 'send_message', '4', 241351036L, datetime.datetime(2013, 5, 26, 21, 35, 39), 0.216485881980833, False, 'time']
['clubempire', 202583848, 'expand_tile', '4', 241351036L, datetime.datetime(2013, 5, 26, 21, 35, 49), 0.216485881980833, False, 'time']
['clubempire', 202583848, 'send_message', '3', 241351123L, datetime.datetime(2013, 5, 26, 21, 35, 52), 0.318695567682801, False, 'time']
['clubempire', 202583848, 'expand_tile', '3', 241351123L, datetime.datetime(2013, 5, 26, 21, 35, 59), 0.318695567682801, False, 'time']
['clubempire', 202583848, 'send_message', '1', 241351489L, datetime.datetime(2013, 5, 26, 21, 36, 5), 0.356395652984984, False, 'time']
['clubempire', 202583848, 'expand_tile', '1', 241351489L, datetime.datetime(2013, 5, 26, 21, 36, 16), 0.356395652984984, False, 'time']
['clubempire', 202583848, 'impression', '4', 241351036L, datetime.datetime(2013, 5, 26, 21, 41, 58), 0.216485881980833, False, 'time']
['clubempire', 202583848, 'impression', '2', 241351176L, datetime.datetime(2013, 5, 26, 21, 41, 58), 0.179518418426457, False, 'time']
['clubempire', 202583848, 'impression', '1', 241351489L, datetime.datetime(2013, 5, 26, 21, 41, 58), 0.356395652984984, False, 'time']
['clubempire', 202583848, 'impression', '3', 241351123L, datetime.datetime(2013, 5, 26, 21, 41, 58), 0.318695567682801, False, 'time']
['clubempire', 202583848, 'expand_tile', '1', 241351489L, datetime.datetime(2013, 5, 26, 21, 42, 3), 0.356395652984984, False, 'time']
['clubempire', 202583848, 'expand_tile', '2', 241351176L, datetime.datetime(2013, 5, 26, 21, 42, 5), 0.179518418426457, False, 'time']
['clubempire', 202583848, 'collapse_tile', '2', 241351176L, datetime.datetime(2013, 5, 26, 21, 42, 18), 0.179518418426457, False, 'time']
['clubempire', 202583848, 'expand_tile', '2', 241351176L, datetime.datetime(2013, 5, 26, 21, 42, 19), 0.179518418426457, False, 'time']
['clubempire', 202583848, 'impression', '2', 241351176L, datetime.datetime(2013, 5, 26, 21, 53, 1), 0.179518418426457, False, 'time']
['clubempire', 202583848, 'impression', '4', 241351036L, datetime.datetime(2013, 5, 26, 21, 53, 1), 0.216485881980833, False, 'time']
['clubempire', 202583848, 'impression', '1', 241351489L, datetime.datetime(2013, 5, 26, 21, 53, 1), 0.356395652984984, False, 'time']
['clubempire', 202583848, 'impression', '3', 241351123L, datetime.datetime(2013, 5, 26, 21, 53, 1), 0.318695567682801, False, 'time']
