['colormerichedu', 202543332, 'impression', '1', 240495971L, datetime.datetime(2013, 5, 16, 0, 24, 42), 0.271119910451123, False, 'best']
['colormerichedu', 202543332, 'view_full_application', '1', 240495971L, datetime.datetime(2013, 5, 16, 0, 25, 35), 0.271119910451123, False, 'best']
['colormerichedu', 202543332, 'impression', '1', 240495971L, datetime.datetime(2013, 5, 16, 0, 30), 0.271119910451123, False, 'best']
['colormerichedu', 202543332, 'view_full_application', '1', 240495971L, datetime.datetime(2013, 5, 16, 0, 30, 28), 0.271119910451123, False, 'best']

['colormerichedu', 202543332, 'impression', '2', 240498282L, datetime.datetime(2013, 5, 16, 1, 37, 35), 0.178379968607619, False, 'best']
['colormerichedu', 202543332, 'impression', '1', 240495971L, datetime.datetime(2013, 5, 16, 1, 37, 35), 0.271119910451123, False, 'best']
['colormerichedu', 202543332, 'expand_tile', '2', 240498282L, datetime.datetime(2013, 5, 16, 1, 37, 45), 0.178379968607619, False, 'best']
['colormerichedu', 202543332, 'send_message', '1', 240495971L, datetime.datetime(2013, 5, 16, 1, 38, 24), 0.271119910451123, False, 'best']
['colormerichedu', 202543332, 'view_full_application_via_name', '1', 240495971L, datetime.datetime(2013, 5, 16, 1, 41, 48), 0.271119910451123, False, 'best']
['colormerichedu', 202543332, 'view_full_application_via_name', '1', 240495971L, datetime.datetime(2013, 5, 16, 1, 41, 52), 0.271119910451123, False, 'best']

['colormerichedu', 202543332, 'impression', '4', 240523589L, datetime.datetime(2013, 5, 17, 2, 58, 10), 0.16579643063566, False, 'best']
['colormerichedu', 202543332, 'impression', '5', 240526948L, datetime.datetime(2013, 5, 17, 2, 58, 10), 0.103226220462358, False, 'best']
['colormerichedu', 202543332, 'impression', '6', 240546597L, datetime.datetime(2013, 5, 17, 2, 58, 10), 0.111544226605351, False, 'best']
['colormerichedu', 202543332, 'impression', '2', 240517670L, datetime.datetime(2013, 5, 17, 2, 58, 10), 0.200972759080885, False, 'best']
['colormerichedu', 202543332, 'impression', '3', 240498282L, datetime.datetime(2013, 5, 17, 2, 58, 10), 0.178379968607619, False, 'best']
['colormerichedu', 202543332, 'impression', '1', 240495971L, datetime.datetime(2013, 5, 17, 2, 58, 10), 0.271119910451123, False, 'best']
['colormerichedu', 202543332, 'expand_tile', '2', 240517670L, datetime.datetime(2013, 5, 17, 2, 58, 21), 0.200972759080885, False, 'best']
['colormerichedu', 202543332, 'view_full_application', '2', 240517670L, datetime.datetime(2013, 5, 17, 2, 58, 38), 0.200972759080885, False, 'best']
['colormerichedu', 202543332, 'impression', '2', 240517670L, datetime.datetime(2013, 5, 17, 3, 0, 14), 0.200972759080885, False, 'best']
['colormerichedu', 202543332, 'impression', '6', 240546597L, datetime.datetime(2013, 5, 17, 3, 0, 14), 0.111544226605351, False, 'best']
['colormerichedu', 202543332, 'impression', '4', 240523589L, datetime.datetime(2013, 5, 17, 3, 0, 14), 0.16579643063566, False, 'best']
['colormerichedu', 202543332, 'impression', '5', 240526948L, datetime.datetime(2013, 5, 17, 3, 0, 14), 0.103226220462358, False, 'best']
['colormerichedu', 202543332, 'impression', '1', 240495971L, datetime.datetime(2013, 5, 17, 3, 0, 14), 0.271119910451123, False, 'best']
['colormerichedu', 202543332, 'impression', '3', 240498282L, datetime.datetime(2013, 5, 17, 3, 0, 14), 0.178379968607619, False, 'best']
['colormerichedu', 202543332, 'expand_tile', '3', 240498282L, datetime.datetime(2013, 5, 17, 3, 0, 33), 0.178379968607619, False, 'best']
['colormerichedu', 202543332, 'view_full_application_via_name', '4', 240523589L, datetime.datetime(2013, 5, 17, 3, 0, 53), 0.16579643063566, False, 'best']
['colormerichedu', 202543332, 'impression', '2', 240517670L, datetime.datetime(2013, 5, 17, 3, 2, 26), 0.200972759080885, False, 'best']
['colormerichedu', 202543332, 'impression', '6', 240546597L, datetime.datetime(2013, 5, 17, 3, 2, 26), 0.111544226605351, False, 'best']
['colormerichedu', 202543332, 'impression', '4', 240523589L, datetime.datetime(2013, 5, 17, 3, 2, 26), 0.16579643063566, False, 'best']
['colormerichedu', 202543332, 'impression', '5', 240526948L, datetime.datetime(2013, 5, 17, 3, 2, 26), 0.103226220462358, False, 'best']
['colormerichedu', 202543332, 'impression', '1', 240495971L, datetime.datetime(2013, 5, 17, 3, 2, 26), 0.271119910451123, False, 'best']
['colormerichedu', 202543332, 'impression', '3', 240498282L, datetime.datetime(2013, 5, 17, 3, 2, 26), 0.178379968607619, False, 'best']
['colormerichedu', 202543332, 'expand_tile', '6', 240546597L, datetime.datetime(2013, 5, 17, 3, 2, 40), 0.111544226605351, False, 'best']

['colormerichedu', 202543332, 'impression', '1', 240495971L, datetime.datetime(2013, 5, 17, 23, 12, 29), 0.271119910451123, False, 'best']
