['communiiity', 202581671, 'impression', '9', 241298321L, datetime.datetime(2013, 5, 25, 23, 33, 30), 0.0321641631308702, True, 'time']
['communiiity', 202581671, 'impression', '14', 241298225L, datetime.datetime(2013, 5, 25, 23, 33, 30), 0.0218542605044667, False, 'time']
['communiiity', 202581671, 'impression', '13', 241298237L, datetime.datetime(2013, 5, 25, 23, 33, 30), 0.0484512384669892, True, 'time']
['communiiity', 202581671, 'impression', '6', 241298406L, datetime.datetime(2013, 5, 25, 23, 33, 30), 0.0459739884127411, False, 'time']
['communiiity', 202581671, 'impression', '10', 241298310L, datetime.datetime(2013, 5, 25, 23, 33, 30), 0.0140967779066862, False, 'time']
['communiiity', 202581671, 'impression', '1', 241299029L, datetime.datetime(2013, 5, 25, 23, 33, 30), 0.061045285502435, False, 'time']
['communiiity', 202581671, 'impression', '5', 241298414L, datetime.datetime(2013, 5, 25, 23, 33, 30), 0.0453455025120175, False, 'time']
['communiiity', 202581671, 'impression', '8', 241298352L, datetime.datetime(2013, 5, 25, 23, 33, 30), 0.0287662071055295, False, 'time']
['communiiity', 202581671, 'impression', '2', 241298577L, datetime.datetime(2013, 5, 25, 23, 33, 30), 0.0609076991602999, False, 'time']
['communiiity', 202581671, 'impression', '7', 241298371L, datetime.datetime(2013, 5, 25, 23, 33, 30), 0.0267174022944619, False, 'time']
['communiiity', 202581671, 'impression', '12', 241298267L, datetime.datetime(2013, 5, 25, 23, 33, 30), 0.0211479372606961, False, 'time']
['communiiity', 202581671, 'impression', '4', 241298506L, datetime.datetime(2013, 5, 25, 23, 33, 30), 0.170830508014248, False, 'time']
['communiiity', 202581671, 'impression', '11', 241298279L, datetime.datetime(2013, 5, 25, 23, 33, 30), 0.041468077904296, False, 'time']
['communiiity', 202581671, 'impression', '3', 241298514L, datetime.datetime(2013, 5, 25, 23, 33, 30), 0.14910054497962, False, 'time']
['communiiity', 202581671, 'impression', '1', 241299029L, datetime.datetime(2013, 5, 25, 23, 33, 35), 0.061045285502435, False, 'time']
['communiiity', 202581671, 'impression', '13', 241298237L, datetime.datetime(2013, 5, 25, 23, 51, 21), 0.0484512384669892, True, 'time']
['communiiity', 202581671, 'impression', '3', 241298514L, datetime.datetime(2013, 5, 25, 23, 51, 21), 0.14910054497962, False, 'time']
['communiiity', 202581671, 'impression', '4', 241298506L, datetime.datetime(2013, 5, 25, 23, 51, 21), 0.170830508014248, False, 'time']
['communiiity', 202581671, 'impression', '11', 241298279L, datetime.datetime(2013, 5, 25, 23, 51, 21), 0.041468077904296, False, 'time']
['communiiity', 202581671, 'impression', '14', 241298225L, datetime.datetime(2013, 5, 25, 23, 51, 21), 0.0218542605044667, False, 'time']
