['crazydollardeals', 202543862, 'impression', '3', 240504177L, datetime.datetime(2013, 5, 16, 4, 3, 49), 0.235372834803086, False, 'time']
['crazydollardeals', 202543862, 'impression', '1', 240504286L, datetime.datetime(2013, 5, 16, 4, 3, 49), 0.236897630884562, False, 'time']
['crazydollardeals', 202543862, 'impression', '6', 240503361L, datetime.datetime(2013, 5, 16, 4, 3, 49), 0.0570798921635452, False, 'time']
['crazydollardeals', 202543862, 'impression', '4', 240504048L, datetime.datetime(2013, 5, 16, 4, 3, 49), 0.326681950093918, False, 'time']
['crazydollardeals', 202543862, 'impression', '2', 240504235L, datetime.datetime(2013, 5, 16, 4, 3, 49), 0.174229803837848, False, 'time']
['crazydollardeals', 202543862, 'impression', '5', 240503550L, datetime.datetime(2013, 5, 16, 4, 3, 49), 0.172509323289984, False, 'time']
['crazydollardeals', 202543862, 'view_full_application_via_name', '6', 240503361L, datetime.datetime(2013, 5, 16, 4, 4, 15), 0.0570798921635452, False, 'time']
['crazydollardeals', 202543862, 'impression', '1', 240504286L, datetime.datetime(2013, 5, 16, 4, 5, 3), 0.236897630884562, False, 'time']
['crazydollardeals', 202543862, 'impression', '3', 240504177L, datetime.datetime(2013, 5, 16, 4, 5, 3), 0.235372834803086, False, 'time']
['crazydollardeals', 202543862, 'impression', '6', 240503361L, datetime.datetime(2013, 5, 16, 4, 5, 3), 0.0570798921635452, False, 'time']
['crazydollardeals', 202543862, 'impression', '4', 240504048L, datetime.datetime(2013, 5, 16, 4, 5, 3), 0.326681950093918, False, 'time']
['crazydollardeals', 202543862, 'impression', '5', 240503550L, datetime.datetime(2013, 5, 16, 4, 5, 3), 0.172509323289984, False, 'time']
['crazydollardeals', 202543862, 'impression', '2', 240504235L, datetime.datetime(2013, 5, 16, 4, 5, 3), 0.174229803837848, False, 'time']
['crazydollardeals', 202543862, 'view_full_application_via_name', '4', 240504048L, datetime.datetime(2013, 5, 16, 4, 5, 15), 0.326681950093918, False, 'time']
['crazydollardeals', 202543862, 'impression', '6', 240503361L, datetime.datetime(2013, 5, 16, 4, 6, 16), 0.0570798921635452, False, 'time']
['crazydollardeals', 202543862, 'impression', '1', 240504286L, datetime.datetime(2013, 5, 16, 4, 6, 16), 0.236897630884562, False, 'time']
['crazydollardeals', 202543862, 'impression', '3', 240504177L, datetime.datetime(2013, 5, 16, 4, 6, 16), 0.235372834803086, False, 'time']
['crazydollardeals', 202543862, 'impression', '4', 240504048L, datetime.datetime(2013, 5, 16, 4, 6, 16), 0.326681950093918, False, 'time']
['crazydollardeals', 202543862, 'impression', '2', 240504235L, datetime.datetime(2013, 5, 16, 4, 6, 16), 0.174229803837848, False, 'time']
