['creativeitechno', 202567273, 'impression', '6', 240996772L, datetime.datetime(2013, 5, 22, 12, 8, 59), 0.0156783291930222, False, 'time']
['creativeitechno', 202567273, 'impression', '1', 241007265L, datetime.datetime(2013, 5, 22, 12, 8, 59), 0.00514520864221141, False, 'time']
['creativeitechno', 202567273, 'impression', '4', 240998844L, datetime.datetime(2013, 5, 22, 12, 8, 59), 0.0084691677098186, False, 'time']
['creativeitechno', 202567273, 'impression', '7', 240996364L, datetime.datetime(2013, 5, 22, 12, 8, 59), 0.0097435349734284, False, 'time']
['creativeitechno', 202567273, 'impression', '5', 240997307L, datetime.datetime(2013, 5, 22, 12, 8, 59), 0.00657843681605151, False, 'time']
['creativeitechno', 202567273, 'impression', '2', 241002383L, datetime.datetime(2013, 5, 22, 12, 8, 59), 0.00746476373008192, True, 'time']
['creativeitechno', 202567273, 'impression', '3', 240999834L, datetime.datetime(2013, 5, 22, 12, 8, 59), 0.0145451296187364, False, 'time']
['creativeitechno', 202567273, 'expand_tile', '2', 241002383L, datetime.datetime(2013, 5, 22, 12, 9, 14), 0.00746476373008192, True, 'time']
['creativeitechno', 202567273, 'view_full_application_via_name', '2', 241002383L, datetime.datetime(2013, 5, 22, 12, 10, 40), 0.00746476373008192, True, 'time']
['creativeitechno', 202567273, 'impression', '5', 240997307L, datetime.datetime(2013, 5, 22, 12, 11, 30), 0.00657843681605151, False, 'time']
['creativeitechno', 202567273, 'impression', '2', 241002383L, datetime.datetime(2013, 5, 22, 12, 11, 30), 0.00746476373008192, True, 'time']
['creativeitechno', 202567273, 'impression', '3', 240999834L, datetime.datetime(2013, 5, 22, 12, 11, 30), 0.0145451296187364, False, 'time']
['creativeitechno', 202567273, 'impression', '6', 240996772L, datetime.datetime(2013, 5, 22, 12, 11, 30), 0.0156783291930222, False, 'time']
['creativeitechno', 202567273, 'impression', '4', 240998844L, datetime.datetime(2013, 5, 22, 12, 11, 30), 0.0084691677098186, False, 'time']
['creativeitechno', 202567273, 'impression', '1', 241007265L, datetime.datetime(2013, 5, 22, 12, 11, 30), 0.00514520864221141, False, 'time']
['creativeitechno', 202567273, 'impression', '7', 240996364L, datetime.datetime(2013, 5, 22, 12, 11, 30), 0.0097435349734284, False, 'time']

['creativeitechno', 202567273, 'impression', '8', 240999834L, datetime.datetime(2013, 5, 22, 19, 29, 47), 0.0145451296187364, False, 'time']
