['d_postle', 202578974, 'impression', '6', 241257429L, datetime.datetime(2013, 5, 25, 14, 9, 9), 0.0659824258372086, False, 'best']
['d_postle', 202578974, 'impression', '3', 241236559L, datetime.datetime(2013, 5, 25, 14, 9, 9), 0.137706028369775, False, 'best']
['d_postle', 202578974, 'impression', '8', 241262640L, datetime.datetime(2013, 5, 25, 14, 9, 9), 0.0315379037504462, False, 'best']
['d_postle', 202578974, 'impression', '1', 241249759L, datetime.datetime(2013, 5, 25, 14, 9, 9), 0.291395028695995, False, 'best']
['d_postle', 202578974, 'impression', '5', 241238390L, datetime.datetime(2013, 5, 25, 14, 9, 9), 0.0923854162862571, False, 'best']
['d_postle', 202578974, 'impression', '4', 241235987L, datetime.datetime(2013, 5, 25, 14, 9, 9), 0.0953500603976516, False, 'best']
['d_postle', 202578974, 'impression', '7', 241232161L, datetime.datetime(2013, 5, 25, 14, 9, 9), 0.0543523140297311, False, 'best']
['d_postle', 202578974, 'impression', '2', 241244132L, datetime.datetime(2013, 5, 25, 14, 9, 9), 0.234224637887832, False, 'best']

['d_postle', 202578974, 'expand_tile', '1', 241249759L, datetime.datetime(2013, 5, 25, 14, 56, 15), 0.291395028695995, False, 'best']
['d_postle', 202578974, 'hide', '1', 241249759L, datetime.datetime(2013, 5, 25, 14, 56, 45), 0.291395028695995, False, 'best']
['d_postle', 202578974, 'expand_tile', '1', 241249759L, datetime.datetime(2013, 5, 25, 14, 56, 46), 0.291395028695995, False, 'best']
['d_postle', 202578974, 'impression', '7', 241262640L, datetime.datetime(2013, 5, 25, 14, 57, 40), 0.0315379037504462, False, 'best']
['d_postle', 202578974, 'impression', '2', 241236559L, datetime.datetime(2013, 5, 25, 14, 57, 40), 0.137706028369775, False, 'best']
['d_postle', 202578974, 'impression', '5', 241257429L, datetime.datetime(2013, 5, 25, 14, 57, 40), 0.0659824258372086, False, 'best']
['d_postle', 202578974, 'impression', '6', 241232161L, datetime.datetime(2013, 5, 25, 14, 57, 40), 0.0543523140297311, False, 'best']
['d_postle', 202578974, 'impression', '3', 241235987L, datetime.datetime(2013, 5, 25, 14, 57, 40), 0.0953500603976516, False, 'best']
['d_postle', 202578974, 'impression', '4', 241238390L, datetime.datetime(2013, 5, 25, 14, 57, 40), 0.0923854162862571, False, 'best']
['d_postle', 202578974, 'impression', '1', 241244132L, datetime.datetime(2013, 5, 25, 14, 57, 40), 0.234224637887832, False, 'best']
['d_postle', 202578974, 'expand_tile', '1', 241244132L, datetime.datetime(2013, 5, 25, 14, 57, 50), 0.234224637887832, False, 'best']
['d_postle', 202578974, 'collapse_tile', '1', 241244132L, datetime.datetime(2013, 5, 25, 14, 58, 16), 0.234224637887832, False, 'best']
['d_postle', 202578974, 'expand_tile', '7', 241262640L, datetime.datetime(2013, 5, 25, 14, 58, 40), 0.0315379037504462, False, 'best']
['d_postle', 202578974, 'collapse_tile', '7', 241262640L, datetime.datetime(2013, 5, 25, 14, 58, 52), 0.0315379037504462, False, 'best']
['d_postle', 202578974, 'expand_tile', '6', 241232161L, datetime.datetime(2013, 5, 25, 14, 59, 9), 0.0543523140297311, False, 'best']
['d_postle', 202578974, 'collapse_tile', '6', 241232161L, datetime.datetime(2013, 5, 25, 14, 59, 22), 0.0543523140297311, False, 'best']
['d_postle', 202578974, 'impression', '5', 241257429L, datetime.datetime(2013, 5, 25, 14, 59, 44), 0.0659824258372086, False, 'best']
['d_postle', 202578974, 'impression', '7', 241262640L, datetime.datetime(2013, 5, 25, 14, 59, 44), 0.0315379037504462, False, 'best']
['d_postle', 202578974, 'impression', '2', 241236559L, datetime.datetime(2013, 5, 25, 14, 59, 44), 0.137706028369775, False, 'best']
['d_postle', 202578974, 'impression', '1', 241244132L, datetime.datetime(2013, 5, 25, 14, 59, 44), 0.234224637887832, False, 'best']
['d_postle', 202578974, 'impression', '3', 241235987L, datetime.datetime(2013, 5, 25, 14, 59, 44), 0.0953500603976516, False, 'best']
