['d_wiklow', 202554204, 'impression', '2', 240730333L, datetime.datetime(2013, 5, 18, 22, 45, 7), 0.161787982433615, False, 'time']
['d_wiklow', 202554204, 'impression', '1', 240730349L, datetime.datetime(2013, 5, 18, 22, 45, 7), 0.439108794388044, False, 'time']
['d_wiklow', 202554204, 'impression', '3', 240730246L, datetime.datetime(2013, 5, 18, 22, 45, 7), 0.0444357527182462, False, 'time']
['d_wiklow', 202554204, 'expand_tile', '1', 240730349L, datetime.datetime(2013, 5, 18, 22, 45, 28), 0.439108794388044, False, 'time']
['d_wiklow', 202554204, 'send_message', '1', 240730349L, datetime.datetime(2013, 5, 18, 22, 45, 32), 0.439108794388044, False, 'time']
['d_wiklow', 202554204, 'expand_tile', '1', 240730349L, datetime.datetime(2013, 5, 18, 22, 45, 49), 0.439108794388044, False, 'time']
['d_wiklow', 202554204, 'expand_tile', '2', 240730333L, datetime.datetime(2013, 5, 18, 22, 46, 20), 0.161787982433615, False, 'time']
['d_wiklow', 202554204, 'send_message', '2', 240730333L, datetime.datetime(2013, 5, 18, 22, 46, 35), 0.161787982433615, False, 'time']
['d_wiklow', 202554204, 'expand_tile', '2', 240730333L, datetime.datetime(2013, 5, 18, 22, 47, 36), 0.161787982433615, False, 'time']
['d_wiklow', 202554204, 'expand_tile', '3', 240730246L, datetime.datetime(2013, 5, 18, 22, 48, 19), 0.0444357527182462, False, 'time']
['d_wiklow', 202554204, 'collapse_tile', '3', 240730246L, datetime.datetime(2013, 5, 18, 22, 48, 28), 0.0444357527182462, False, 'time']
['d_wiklow', 202554204, 'expand_tile', '3', 240730246L, datetime.datetime(2013, 5, 18, 22, 48, 29), 0.0444357527182462, False, 'time']
['d_wiklow', 202554204, 'impression', '1', 240730349L, datetime.datetime(2013, 5, 18, 22, 54, 40), 0.439108794388044, False, 'time']
['d_wiklow', 202554204, 'impression', '2', 240730333L, datetime.datetime(2013, 5, 18, 22, 54, 40), 0.161787982433615, False, 'time']
['d_wiklow', 202554204, 'impression', '3', 240730246L, datetime.datetime(2013, 5, 18, 22, 54, 40), 0.0444357527182462, False, 'time']

['d_wiklow', 202554204, 'impression', '1', 240731392L, datetime.datetime(2013, 5, 19, 0, 45, 47), 0.0260721487816946, False, 'time']
['d_wiklow', 202554204, 'impression', '4', 240730246L, datetime.datetime(2013, 5, 19, 0, 45, 47), 0.0444357527182462, False, 'time']
['d_wiklow', 202554204, 'impression', '2', 240730349L, datetime.datetime(2013, 5, 19, 0, 45, 47), 0.439108794388044, False, 'time']
['d_wiklow', 202554204, 'impression', '3', 240730333L, datetime.datetime(2013, 5, 19, 0, 45, 47), 0.161787982433615, False, 'time']
['d_wiklow', 202554204, 'expand_tile', '1', 240731392L, datetime.datetime(2013, 5, 19, 0, 45, 58), 0.0260721487816946, False, 'time']

