['darrylmoney', 202572669, 'impression', '5', 241125536L, datetime.datetime(2013, 5, 23, 23, 5, 40), 0.0326601417856463, False, 'time']
['darrylmoney', 202572669, 'impression', '3', 241130855L, datetime.datetime(2013, 5, 23, 23, 5, 40), 0.0577011617809386, False, 'time']
['darrylmoney', 202572669, 'impression', '7', 241125006L, datetime.datetime(2013, 5, 23, 23, 5, 40), 0.0244913621297937, False, 'time']
['darrylmoney', 202572669, 'impression', '14', 241111387L, datetime.datetime(2013, 5, 23, 23, 5, 40), 0.0242100161932349, False, 'time']
['darrylmoney', 202572669, 'impression', '18', 241108858L, datetime.datetime(2013, 5, 23, 23, 5, 40), 0.0376569454891625, False, 'time']
['darrylmoney', 202572669, 'impression', '11', 241115183L, datetime.datetime(2013, 5, 23, 23, 5, 40), 0.0354817667992965, False, 'time']
['darrylmoney', 202572669, 'impression', '1', 241134643L, datetime.datetime(2013, 5, 23, 23, 5, 40), 0.0496906745842932, False, 'time']
['darrylmoney', 202572669, 'impression', '4', 241127756L, datetime.datetime(2013, 5, 23, 23, 5, 40), 0.0503208934864117, False, 'time']
['darrylmoney', 202572669, 'impression', '6', 241125045L, datetime.datetime(2013, 5, 23, 23, 5, 40), 0.0143874039486341, False, 'time']
['darrylmoney', 202572669, 'impression', '13', 241114769L, datetime.datetime(2013, 5, 23, 23, 5, 40), 0.00706294870437999, False, 'time']
['darrylmoney', 202572669, 'impression', '19', 241108063L, datetime.datetime(2013, 5, 23, 23, 5, 40), 0.0386980379476168, False, 'time']
['darrylmoney', 202572669, 'impression', '16', 241110001L, datetime.datetime(2013, 5, 23, 23, 5, 40), 0.0369766437469893, False, 'time']
['darrylmoney', 202572669, 'impression', '20', 241107974L, datetime.datetime(2013, 5, 23, 23, 5, 40), 0.0144773920644636, False, 'time']
['darrylmoney', 202572669, 'impression', '12', 241114911L, datetime.datetime(2013, 5, 23, 23, 5, 40), 0.0234100802486466, False, 'time']
['darrylmoney', 202572669, 'impression', '9', 241119984L, datetime.datetime(2013, 5, 23, 23, 5, 40), 0.0115785207483881, False, 'time']
['darrylmoney', 202572669, 'impression', '8', 241123566L, datetime.datetime(2013, 5, 23, 23, 5, 40), 0.0454007121524494, False, 'time']
['darrylmoney', 202572669, 'impression', '15', 241110696L, datetime.datetime(2013, 5, 23, 23, 5, 40), 0.0413383391135597, False, 'time']
['darrylmoney', 202572669, 'impression', '2', 241131091L, datetime.datetime(2013, 5, 23, 23, 5, 40), 0.0359533590080078, True, 'time']
