['ddaguiar', 202590750, 'impression', '7', 241509599L, datetime.datetime(2013, 5, 29, 11, 53, 4), 0.0558845025838912, False, 'time']
['ddaguiar', 202590750, 'impression', '1', 241525571L, datetime.datetime(2013, 5, 29, 11, 53, 4), 0.0296387875296161, False, 'time']
['ddaguiar', 202590750, 'impression', '8', 241508757L, datetime.datetime(2013, 5, 29, 11, 53, 4), 0.0387907204696193, False, 'time']
['ddaguiar', 202590750, 'impression', '4', 241515105L, datetime.datetime(2013, 5, 29, 11, 53, 4), 0.00713617615068227, False, 'time']
['ddaguiar', 202590750, 'impression', '9', 241506614L, datetime.datetime(2013, 5, 29, 11, 53, 4), 0.0367088333269599, False, 'time']
['ddaguiar', 202590750, 'impression', '2', 241522042L, datetime.datetime(2013, 5, 29, 11, 53, 4), 0.0107205265369857, False, 'time']
['ddaguiar', 202590750, 'impression', '6', 241512841L, datetime.datetime(2013, 5, 29, 11, 53, 4), 0.0118692870617345, False, 'time']
['ddaguiar', 202590750, 'impression', '5', 241514253L, datetime.datetime(2013, 5, 29, 11, 53, 4), 0.0667956327425847, False, 'time']
['ddaguiar', 202590750, 'impression', '3', 241519254L, datetime.datetime(2013, 5, 29, 11, 53, 4), 0.0768923411499069, False, 'time']
['ddaguiar', 202590750, 'expand_tile', '2', 241522042L, datetime.datetime(2013, 5, 29, 11, 53, 49), 0.0107205265369857, False, 'time']
['ddaguiar', 202590750, 'collapse_tile', '2', 241522042L, datetime.datetime(2013, 5, 29, 11, 53, 53), 0.0107205265369857, False, 'time']
['ddaguiar', 202590750, 'expand_tile', '1', 241525571L, datetime.datetime(2013, 5, 29, 11, 53, 56), 0.0296387875296161, False, 'time']
['ddaguiar', 202590750, 'collapse_tile', '1', 241525571L, datetime.datetime(2013, 5, 29, 11, 54), 0.0296387875296161, False, 'time']

['ddaguiar', 202590750, 'impression', '10', 241509599L, datetime.datetime(2013, 5, 29, 21, 36, 34), 0.0558845025838912, False, 'time']
['ddaguiar', 202590750, 'impression', '8', 241514253L, datetime.datetime(2013, 5, 29, 21, 36, 34), 0.0667956327425847, False, 'time']
['ddaguiar', 202590750, 'impression', '6', 241519254L, datetime.datetime(2013, 5, 29, 21, 36, 34), 0.0768923411499069, False, 'time']
['ddaguiar', 202590750, 'impression', '9', 241512841L, datetime.datetime(2013, 5, 29, 21, 36, 34), 0.0118692870617345, False, 'time']
['ddaguiar', 202590750, 'impression', '3', 241584205L, datetime.datetime(2013, 5, 29, 21, 36, 34), 0.0178430058456233, False, 'time']
['ddaguiar', 202590750, 'impression', '7', 241515105L, datetime.datetime(2013, 5, 29, 21, 36, 34), 0.00713617615068227, False, 'time']
['ddaguiar', 202590750, 'impression', '2', 241590053L, datetime.datetime(2013, 5, 29, 21, 36, 34), 0.0164160561950629, False, 'time']
['ddaguiar', 202590750, 'impression', '1', 241590452L, datetime.datetime(2013, 5, 29, 21, 36, 34), 0.0118656623802692, False, 'time']
['ddaguiar', 202590750, 'impression', '11', 241508757L, datetime.datetime(2013, 5, 29, 21, 36, 34), 0.0387907204696193, False, 'time']
['ddaguiar', 202590750, 'impression', '4', 241525571L, datetime.datetime(2013, 5, 29, 21, 36, 34), 0.0296387875296161, False, 'time']
['ddaguiar', 202590750, 'impression', '12', 241506614L, datetime.datetime(2013, 5, 29, 21, 36, 34), 0.0367088333269599, False, 'time']
['ddaguiar', 202590750, 'impression', '5', 241522042L, datetime.datetime(2013, 5, 29, 21, 36, 34), 0.0107205265369857, False, 'time']

