['ddiddo', 202553120, 'impression', '6', 240716638L, datetime.datetime(2013, 5, 19, 7, 12, 10), 0.0894168705928578, False, 'time']
['ddiddo', 202553120, 'impression', '3', 240731893L, datetime.datetime(2013, 5, 19, 7, 12, 10), 0.00546558708297781, False, 'time']
['ddiddo', 202553120, 'impression', '8', 240709813L, datetime.datetime(2013, 5, 19, 7, 12, 10), 0.0170437792959, False, 'time']
['ddiddo', 202553120, 'impression', '7', 240715742L, datetime.datetime(2013, 5, 19, 7, 12, 10), 0.0250334539040101, False, 'time']
['ddiddo', 202553120, 'impression', '1', 240741953L, datetime.datetime(2013, 5, 19, 7, 12, 10), 0.00495830805751038, False, 'time']
['ddiddo', 202553120, 'impression', '4', 240720827L, datetime.datetime(2013, 5, 19, 7, 12, 10), 0.00640023887462894, False, 'time']
['ddiddo', 202553120, 'impression', '2', 240735422L, datetime.datetime(2013, 5, 19, 7, 12, 10), 0.00758820090339262, False, 'time']
['ddiddo', 202553120, 'impression', '5', 240718869L, datetime.datetime(2013, 5, 19, 7, 12, 10), 0.020743423730675, False, 'time']

['ddiddo', 202553120, 'impression', '1', 240735422L, datetime.datetime(2013, 5, 20, 6, 7, 9), 0.00758820090339262, False, 'time']
['ddiddo', 202553120, 'impression', '3', 240720827L, datetime.datetime(2013, 5, 20, 6, 7, 9), 0.00640023887462894, False, 'time']
['ddiddo', 202553120, 'impression', '2', 240731893L, datetime.datetime(2013, 5, 20, 6, 7, 9), 0.00546558708297781, False, 'time']
['ddiddo', 202553120, 'impression', '5', 240716638L, datetime.datetime(2013, 5, 20, 6, 7, 9), 0.0894168705928578, False, 'time']
['ddiddo', 202553120, 'impression', '6', 240715742L, datetime.datetime(2013, 5, 20, 6, 7, 9), 0.0250334539040101, False, 'time']
['ddiddo', 202553120, 'impression', '7', 240709813L, datetime.datetime(2013, 5, 20, 6, 7, 9), 0.0170437792959, False, 'time']
['ddiddo', 202553120, 'impression', '4', 240718869L, datetime.datetime(2013, 5, 20, 6, 7, 9), 0.020743423730675, False, 'time']
['ddiddo', 202553120, 'hide', '1', 240735422L, datetime.datetime(2013, 5, 20, 6, 7, 22), 0.00758820090339262, False, 'time']
['ddiddo', 202553120, 'hide', '2', 240731893L, datetime.datetime(2013, 5, 20, 6, 7, 24), 0.00546558708297781, False, 'time']
['ddiddo', 202553120, 'hide', '3', 240720827L, datetime.datetime(2013, 5, 20, 6, 7, 26), 0.00640023887462894, False, 'time']
['ddiddo', 202553120, 'hide', '4', 240718869L, datetime.datetime(2013, 5, 20, 6, 7, 27), 0.020743423730675, False, 'time']
['ddiddo', 202553120, 'hide', '6', 240715742L, datetime.datetime(2013, 5, 20, 6, 7, 31), 0.0250334539040101, False, 'time']
['ddiddo', 202553120, 'hide', '7', 240709813L, datetime.datetime(2013, 5, 20, 6, 7, 33), 0.0170437792959, False, 'time']
['ddiddo', 202553120, 'view_full_application_via_name', '5', 240716638L, datetime.datetime(2013, 5, 20, 6, 7, 34), 0.0894168705928578, False, 'time']
['ddiddo', 202553120, 'impression', '1', 240716638L, datetime.datetime(2013, 5, 20, 6, 8, 11), 0.0894168705928578, False, 'time']
['ddiddo', 202553120, 'impression', '1', 240716638L, datetime.datetime(2013, 5, 20, 6, 16, 55), 0.0894168705928578, False, 'time']
['ddiddo', 202553120, 'impression', '1', 240802776L, datetime.datetime(2013, 5, 20, 6, 46, 40), 0.053156807222843, False, 'time']
['ddiddo', 202553120, 'impression', '2', 240716638L, datetime.datetime(2013, 5, 20, 6, 46, 40), 0.0894168705928578, False, 'time']
['ddiddo', 202553120, 'view_full_application_via_name', '1', 240802776L, datetime.datetime(2013, 5, 20, 6, 46, 41), 0.053156807222843, False, 'time']

['ddiddo', 202553120, 'impression', '1', 240818964L, datetime.datetime(2013, 5, 20, 12, 45, 42), 0.00326650406795917, False, 'time']
['ddiddo', 202553120, 'impression', '2', 240802776L, datetime.datetime(2013, 5, 20, 12, 45, 42), 0.053156807222843, False, 'time']
['ddiddo', 202553120, 'impression', '3', 240716638L, datetime.datetime(2013, 5, 20, 12, 45, 42), 0.0894168705928578, False, 'time']
['ddiddo', 202553120, 'hide', '1', 240818964L, datetime.datetime(2013, 5, 20, 12, 45, 48), 0.00326650406795917, False, 'time']
