['delsnyc', 202576006, 'impression', '3', 241169787L, datetime.datetime(2013, 5, 24, 12, 42, 34), 0.111108913518935, False, 'time']
['delsnyc', 202576006, 'impression', '4', 241169685L, datetime.datetime(2013, 5, 24, 12, 42, 34), 0.028724207229166, False, 'time']
['delsnyc', 202576006, 'impression', '6', 241161928L, datetime.datetime(2013, 5, 24, 12, 42, 34), 0.0251863478122942, False, 'time']
['delsnyc', 202576006, 'impression', '9', 241161173L, datetime.datetime(2013, 5, 24, 12, 42, 34), 0.102354482330415, False, 'time']
['delsnyc', 202576006, 'impression', '5', 241161964L, datetime.datetime(2013, 5, 24, 12, 42, 34), 0.0543224086595552, False, 'time']
['delsnyc', 202576006, 'impression', '7', 241161812L, datetime.datetime(2013, 5, 24, 12, 42, 34), 0.164755820637264, False, 'time']
['delsnyc', 202576006, 'impression', '1', 241179300L, datetime.datetime(2013, 5, 24, 12, 42, 34), 0.131763716482967, False, 'time']
['delsnyc', 202576006, 'impression', '2', 241179174L, datetime.datetime(2013, 5, 24, 12, 42, 34), 0.0469989893261173, False, 'time']
['delsnyc', 202576006, 'impression', '8', 241161777L, datetime.datetime(2013, 5, 24, 12, 42, 34), 0.00597142551528078, False, 'time']
['delsnyc', 202576006, 'impression', '9', 241161173L, datetime.datetime(2013, 5, 24, 12, 43, 42), 0.102354482330415, False, 'time']
['delsnyc', 202576006, 'impression', '8', 241161777L, datetime.datetime(2013, 5, 24, 12, 43, 43), 0.00597142551528078, False, 'time']
['delsnyc', 202576006, 'impression', '9', 241161173L, datetime.datetime(2013, 5, 24, 12, 44), 0.102354482330415, False, 'time']
['delsnyc', 202576006, 'expand_tile', '9', 241161173L, datetime.datetime(2013, 5, 24, 12, 44, 2), 0.102354482330415, False, 'time']
['delsnyc', 202576006, 'impression', '8', 241161777L, datetime.datetime(2013, 5, 24, 12, 44, 40), 0.00597142551528078, False, 'time']
['delsnyc', 202576006, 'impression', '9', 241161173L, datetime.datetime(2013, 5, 24, 12, 44, 45), 0.102354482330415, False, 'time']
['delsnyc', 202576006, 'impression', '8', 241161777L, datetime.datetime(2013, 5, 24, 12, 44, 45), 0.00597142551528078, False, 'time']
['delsnyc', 202576006, 'impression', '7', 241161812L, datetime.datetime(2013, 5, 24, 12, 45, 2), 0.164755820637264, False, 'time']
['delsnyc', 202576006, 'impression', '7', 241161812L, datetime.datetime(2013, 5, 24, 12, 45, 2), 0.164755820637264, False, 'time']
['delsnyc', 202576006, 'impression', '9', 241161173L, datetime.datetime(2013, 5, 24, 12, 45, 3), 0.102354482330415, False, 'time']
