['delta213', 202582144, 'impression', '4', 241306916L, datetime.datetime(2013, 5, 26, 4, 28, 44), 0.144643309581377, False, 'time']
['delta213', 202582144, 'impression', '5', 241306888L, datetime.datetime(2013, 5, 26, 4, 28, 44), 0.0767323896996102, False, 'time']
['delta213', 202582144, 'impression', '8', 241306833L, datetime.datetime(2013, 5, 26, 4, 28, 44), 0.0398120579253605, False, 'time']
['delta213', 202582144, 'impression', '3', 241306958L, datetime.datetime(2013, 5, 26, 4, 28, 44), 0.117796323549053, False, 'time']
['delta213', 202582144, 'impression', '1', 241307150L, datetime.datetime(2013, 5, 26, 4, 28, 44), 0.126874768432775, False, 'time']
['delta213', 202582144, 'impression', '9', 241306796L, datetime.datetime(2013, 5, 26, 4, 28, 44), 0.130107207075666, False, 'time']
['delta213', 202582144, 'impression', '6', 241306874L, datetime.datetime(2013, 5, 26, 4, 28, 44), 0.0805579597962287, False, 'time']
['delta213', 202582144, 'impression', '2', 241307093L, datetime.datetime(2013, 5, 26, 4, 28, 44), 0.0345993534839765, False, 'time']
['delta213', 202582144, 'impression', '7', 241306869L, datetime.datetime(2013, 5, 26, 4, 28, 44), 0.0730095930236976, False, 'time']
['delta213', 202582144, 'hide', '5', 241306888L, datetime.datetime(2013, 5, 26, 4, 28, 48), 0.0767323896996102, False, 'time']
['delta213', 202582144, 'hide', '8', 241306833L, datetime.datetime(2013, 5, 26, 4, 28, 58), 0.0398120579253605, False, 'time']
['delta213', 202582144, 'hide', '7', 241306869L, datetime.datetime(2013, 5, 26, 4, 28, 59), 0.0730095930236976, False, 'time']
['delta213', 202582144, 'hide', '6', 241306874L, datetime.datetime(2013, 5, 26, 4, 29), 0.0805579597962287, False, 'time']
['delta213', 202582144, 'hide', '3', 241306958L, datetime.datetime(2013, 5, 26, 4, 29, 3), 0.117796323549053, False, 'time']
['delta213', 202582144, 'hide', '2', 241307093L, datetime.datetime(2013, 5, 26, 4, 29, 31), 0.0345993534839765, False, 'time']
['delta213', 202582144, 'expand_tile', '9', 241306796L, datetime.datetime(2013, 5, 26, 4, 31, 16), 0.130107207075666, False, 'time']
['delta213', 202582144, 'collapse_tile', '9', 241306796L, datetime.datetime(2013, 5, 26, 4, 31, 22), 0.130107207075666, False, 'time']
['delta213', 202582144, 'expand_tile', '9', 241306796L, datetime.datetime(2013, 5, 26, 4, 31, 25), 0.130107207075666, False, 'time']
['delta213', 202582144, 'shortlist', '9', 241306796L, datetime.datetime(2013, 5, 26, 4, 31, 41), 0.130107207075666, False, 'time']
['delta213', 202582144, 'expand_tile', '9', 241306796L, datetime.datetime(2013, 5, 26, 4, 31, 41), 0.130107207075666, False, 'time']
['delta213', 202582144, 'expand_tile', '1', 241307150L, datetime.datetime(2013, 5, 26, 4, 31, 44), 0.126874768432775, False, 'time']
['delta213', 202582144, 'collapse_tile', '1', 241307150L, datetime.datetime(2013, 5, 26, 4, 31, 47), 0.126874768432775, False, 'time']
['delta213', 202582144, 'expand_tile', '1', 241307150L, datetime.datetime(2013, 5, 26, 4, 31, 48), 0.126874768432775, False, 'time']
['delta213', 202582144, 'send_message', '9', 241306796L, datetime.datetime(2013, 5, 26, 4, 33, 52), 0.130107207075666, False, 'time']
['delta213', 202582144, 'expand_tile', '9', 241306796L, datetime.datetime(2013, 5, 26, 4, 35, 54), 0.130107207075666, False, 'time']
['delta213', 202582144, 'expand_tile', '1', 241307150L, datetime.datetime(2013, 5, 26, 4, 35, 57), 0.126874768432775, False, 'time']
['delta213', 202582144, 'shortlist', '1', 241307150L, datetime.datetime(2013, 5, 26, 4, 35, 57), 0.126874768432775, False, 'time']
['delta213', 202582144, 'send_message', '1', 241307150L, datetime.datetime(2013, 5, 26, 4, 35, 59), 0.126874768432775, False, 'time']
['delta213', 202582144, 'expand_tile', '1', 241307150L, datetime.datetime(2013, 5, 26, 4, 36, 3), 0.126874768432775, False, 'time']

