['dimi1988', 202572041, 'impression', '15', 241092986L, datetime.datetime(2013, 5, 27, 12, 43, 38), 0.0626523889650098, False, 'time']
['dimi1988', 202572041, 'impression', '8', 241116482L, datetime.datetime(2013, 5, 27, 12, 43, 38), 0.118117147392723, False, 'time']
['dimi1988', 202572041, 'impression', '14', 241094465L, datetime.datetime(2013, 5, 27, 12, 43, 38), 0.413548234695504, False, 'time']
['dimi1988', 202572041, 'impression', '11', 241113916L, datetime.datetime(2013, 5, 27, 12, 43, 38), 0.264998479187595, False, 'time']
['dimi1988', 202572041, 'impression', '13', 241094864L, datetime.datetime(2013, 5, 27, 12, 43, 38), 0.0659756355695068, False, 'time']
['dimi1988', 202572041, 'impression', '5', 241143914L, datetime.datetime(2013, 5, 27, 12, 43, 38), 0.320924606639979, False, 'time']
['dimi1988', 202572041, 'impression', '4', 241204385L, datetime.datetime(2013, 5, 27, 12, 43, 38), 0.120330157375678, False, 'time']
['dimi1988', 202572041, 'impression', '9', 241116465L, datetime.datetime(2013, 5, 27, 12, 43, 38), 0.408976704602284, False, 'time']
['dimi1988', 202572041, 'impression', '3', 241214648L, datetime.datetime(2013, 5, 27, 12, 43, 38), 0.120489666817998, False, 'time']
['dimi1988', 202572041, 'impression', '17', 241089573L, datetime.datetime(2013, 5, 27, 12, 43, 38), 0.199271809781924, False, 'time']
['dimi1988', 202572041, 'impression', '1', 241348436L, datetime.datetime(2013, 5, 27, 12, 43, 38), 0.241338480492309, False, 'time']
['dimi1988', 202572041, 'impression', '2', 241339264L, datetime.datetime(2013, 5, 27, 12, 43, 38), 0.477997030234836, False, 'time']
['dimi1988', 202572041, 'impression', '10', 241115539L, datetime.datetime(2013, 5, 27, 12, 43, 38), 0.296399652905169, False, 'time']
['dimi1988', 202572041, 'impression', '16', 241090384L, datetime.datetime(2013, 5, 27, 12, 43, 38), 0.0491877691373954, False, 'time']
['dimi1988', 202572041, 'impression', '7', 241130846L, datetime.datetime(2013, 5, 27, 12, 43, 38), 0.132584713214493, False, 'time']
['dimi1988', 202572041, 'impression', '6', 241136819L, datetime.datetime(2013, 5, 27, 12, 43, 38), 0.186795471592795, False, 'time']
['dimi1988', 202572041, 'impression', '12', 241103289L, datetime.datetime(2013, 5, 27, 12, 43, 38), 0.113150552910396, False, 'time']
['dimi1988', 202572041, 'impression', '18', 241089383L, datetime.datetime(2013, 5, 27, 12, 43, 38), 0.130264614869748, False, 'time']
['dimi1988', 202572041, 'impression', '15', 241092986L, datetime.datetime(2013, 5, 27, 12, 45, 54), 0.0626523889650098, False, 'time']
['dimi1988', 202572041, 'impression', '14', 241094465L, datetime.datetime(2013, 5, 27, 12, 45, 54), 0.413548234695504, False, 'time']
['dimi1988', 202572041, 'impression', '13', 241094864L, datetime.datetime(2013, 5, 27, 12, 45, 54), 0.0659756355695068, False, 'time']
['dimi1988', 202572041, 'impression', '8', 241116482L, datetime.datetime(2013, 5, 27, 12, 45, 54), 0.118117147392723, False, 'time']
['dimi1988', 202572041, 'impression', '11', 241113916L, datetime.datetime(2013, 5, 27, 12, 45, 54), 0.264998479187595, False, 'time']
['dimi1988', 202572041, 'impression', '10', 241115539L, datetime.datetime(2013, 5, 27, 12, 45, 54), 0.296399652905169, False, 'time']
['dimi1988', 202572041, 'impression', '17', 241089573L, datetime.datetime(2013, 5, 27, 12, 45, 54), 0.199271809781924, False, 'time']
['dimi1988', 202572041, 'impression', '1', 241348436L, datetime.datetime(2013, 5, 27, 12, 45, 54), 0.241338480492309, False, 'time']
['dimi1988', 202572041, 'impression', '2', 241339264L, datetime.datetime(2013, 5, 27, 12, 45, 54), 0.477997030234836, False, 'time']
['dimi1988', 202572041, 'impression', '16', 241090384L, datetime.datetime(2013, 5, 27, 12, 45, 54), 0.0491877691373954, False, 'time']
['dimi1988', 202572041, 'impression', '7', 241130846L, datetime.datetime(2013, 5, 27, 12, 45, 54), 0.132584713214493, False, 'time']
['dimi1988', 202572041, 'impression', '9', 241116465L, datetime.datetime(2013, 5, 27, 12, 45, 54), 0.408976704602284, False, 'time']
