['dimonier', 202567246, 'impression', '3', 241040385L, datetime.datetime(2013, 5, 23, 15, 30, 40), 0.0328710299463042, False, 'time']
['dimonier', 202567246, 'impression', '13', 240998164L, datetime.datetime(2013, 5, 23, 15, 30, 40), 0.00294819551322677, False, 'time']
['dimonier', 202567246, 'impression', '9', 241006930L, datetime.datetime(2013, 5, 23, 15, 30, 40), 0.0154460420699893, False, 'time']
['dimonier', 202567246, 'impression', '19', 240996008L, datetime.datetime(2013, 5, 23, 15, 30, 40), 0.0077064953558724, False, 'time']
['dimonier', 202567246, 'impression', '16', 240996486L, datetime.datetime(2013, 5, 23, 15, 30, 40), 0.00307806658602516, False, 'time']
['dimonier', 202567246, 'impression', '10', 241006401L, datetime.datetime(2013, 5, 23, 15, 30, 40), 0.0296270701984271, False, 'time']
['dimonier', 202567246, 'impression', '7', 241013132L, datetime.datetime(2013, 5, 23, 15, 30, 40), 0.00263343255369351, False, 'time']
['dimonier', 202567246, 'impression', '12', 241000117L, datetime.datetime(2013, 5, 23, 15, 30, 40), 0.00844354129163153, False, 'time']
['dimonier', 202567246, 'impression', '2', 241071507L, datetime.datetime(2013, 5, 23, 15, 30, 40), 0.00497402621713596, False, 'time']
['dimonier', 202567246, 'impression', '8', 241010275L, datetime.datetime(2013, 5, 23, 15, 30, 40), 0.00540695132281655, False, 'time']
['dimonier', 202567246, 'impression', '17', 240996388L, datetime.datetime(2013, 5, 23, 15, 30, 40), 0.00747769791002216, False, 'time']
['dimonier', 202567246, 'impression', '15', 240996492L, datetime.datetime(2013, 5, 23, 15, 30, 40), 0.0103049529819761, False, 'time']
['dimonier', 202567246, 'impression', '6', 241017125L, datetime.datetime(2013, 5, 23, 15, 30, 40), 0.0358876276456999, False, 'time']
['dimonier', 202567246, 'impression', '4', 241028628L, datetime.datetime(2013, 5, 23, 15, 30, 40), 0.125838706551899, False, 'time']
['dimonier', 202567246, 'impression', '18', 240996287L, datetime.datetime(2013, 5, 23, 15, 30, 40), 0.00212330850615434, False, 'time']
['dimonier', 202567246, 'impression', '1', 241109594L, datetime.datetime(2013, 5, 23, 15, 30, 40), 0.205487970665106, False, 'time']
['dimonier', 202567246, 'impression', '20', 240995801L, datetime.datetime(2013, 5, 23, 15, 30, 40), 0.00247791705279327, False, 'time']
['dimonier', 202567246, 'impression', '14', 240996570L, datetime.datetime(2013, 5, 23, 15, 30, 40), 0.0448854531681272, False, 'time']
['dimonier', 202567246, 'impression', '11', 241005330L, datetime.datetime(2013, 5, 23, 15, 30, 40), 0.105489983730046, False, 'time']
['dimonier', 202567246, 'impression', '5', 241018630L, datetime.datetime(2013, 5, 23, 15, 30, 40), 0.00473619267846308, False, 'time']
['dimonier', 202567246, 'shortlist', '3', 241040385L, datetime.datetime(2013, 5, 23, 15, 31, 29), 0.0328710299463042, False, 'time']
['dimonier', 202567246, 'expand_tile', '4', 241028628L, datetime.datetime(2013, 5, 23, 15, 31, 47), 0.125838706551899, False, 'time']
['dimonier', 202567246, 'impression', None, 241040385L, datetime.datetime(2013, 5, 23, 15, 32, 36), 0.0328710299463042, False, 'time']
['dimonier', 202567246, 'impression', '3', 241040385L, datetime.datetime(2013, 5, 23, 15, 32, 36), 0.0328710299463042, False, 'time']
['dimonier', 202567246, 'view_full_application', '4', 241028628L, datetime.datetime(2013, 5, 23, 15, 32, 41), 0.125838706551899, False, 'time']
['dimonier', 202567246, 'impression', '19', 240996008L, datetime.datetime(2013, 5, 23, 15, 33, 15), 0.0077064953558724, False, 'time']
['dimonier', 202567246, 'impression', '16', 240996486L, datetime.datetime(2013, 5, 23, 15, 33, 15), 0.00307806658602516, False, 'time']
['dimonier', 202567246, 'impression', '15', 240996492L, datetime.datetime(2013, 5, 23, 15, 33, 15), 0.0103049529819761, False, 'time']
['dimonier', 202567246, 'impression', '17', 240996388L, datetime.datetime(2013, 5, 23, 15, 33, 15), 0.00747769791002216, False, 'time']
['dimonier', 202567246, 'impression', '10', 241006401L, datetime.datetime(2013, 5, 23, 15, 33, 15), 0.0296270701984271, False, 'time']
['dimonier', 202567246, 'impression', '8', 241010275L, datetime.datetime(2013, 5, 23, 15, 33, 15), 0.00540695132281655, False, 'time']
['dimonier', 202567246, 'impression', '4', 241028628L, datetime.datetime(2013, 5, 23, 15, 33, 15), 0.125838706551899, False, 'time']
['dimonier', 202567246, 'impression', '18', 240996287L, datetime.datetime(2013, 5, 23, 15, 33, 15), 0.00212330850615434, False, 'time']
['dimonier', 202567246, 'impression', '14', 240996570L, datetime.datetime(2013, 5, 23, 15, 33, 15), 0.0448854531681272, False, 'time']
['dimonier', 202567246, 'impression', '20', 240995801L, datetime.datetime(2013, 5, 23, 15, 33, 15), 0.00247791705279327, False, 'time']
['dimonier', 202567246, 'impression', '1', 241109594L, datetime.datetime(2013, 5, 23, 15, 33, 15), 0.205487970665106, False, 'time']
['dimonier', 202567246, 'impression', '6', 241017125L, datetime.datetime(2013, 5, 23, 15, 33, 15), 0.0358876276456999, False, 'time']
['dimonier', 202567246, 'impression', '13', 240998164L, datetime.datetime(2013, 5, 23, 15, 33, 15), 0.00294819551322677, False, 'time']
['dimonier', 202567246, 'impression', '3', 241040385L, datetime.datetime(2013, 5, 23, 15, 33, 15), 0.0328710299463042, False, 'time']
['dimonier', 202567246, 'impression', '9', 241006930L, datetime.datetime(2013, 5, 23, 15, 33, 15), 0.0154460420699893, False, 'time']
['dimonier', 202567246, 'impression', '11', 241005330L, datetime.datetime(2013, 5, 23, 15, 33, 15), 0.105489983730046, False, 'time']
['dimonier', 202567246, 'impression', '5', 241018630L, datetime.datetime(2013, 5, 23, 15, 33, 15), 0.00473619267846308, False, 'time']
['dimonier', 202567246, 'impression', '2', 241071507L, datetime.datetime(2013, 5, 23, 15, 33, 15), 0.00497402621713596, False, 'time']
['dimonier', 202567246, 'impression', '12', 241000117L, datetime.datetime(2013, 5, 23, 15, 33, 15), 0.00844354129163153, False, 'time']
