['dklorenzo', 202573715, 'impression', '13', 241127709L, datetime.datetime(2013, 5, 27, 13, 12, 32), 0.0388532447062273, False, 'time']
['dklorenzo', 202573715, 'impression', '3', 241181922L, datetime.datetime(2013, 5, 27, 13, 12, 32), 0.0364535581291445, False, 'time']
['dklorenzo', 202573715, 'impression', '5', 241177017L, datetime.datetime(2013, 5, 27, 13, 12, 32), 0.0355252741140714, False, 'time']
['dklorenzo', 202573715, 'impression', '9', 241138754L, datetime.datetime(2013, 5, 27, 13, 12, 32), 0.0115777530492122, False, 'time']
['dklorenzo', 202573715, 'impression', '18', 241126004L, datetime.datetime(2013, 5, 27, 13, 12, 32), 0.0176765993201973, False, 'time']
['dklorenzo', 202573715, 'impression', '10', 241132642L, datetime.datetime(2013, 5, 27, 13, 12, 32), 0.0409737941385186, False, 'time']
['dklorenzo', 202573715, 'impression', '20', 241125590L, datetime.datetime(2013, 5, 27, 13, 12, 32), 0.0341497293246261, False, 'time']
['dklorenzo', 202573715, 'impression', '16', 241126548L, datetime.datetime(2013, 5, 27, 13, 12, 32), 0.0194192211164535, False, 'time']
['dklorenzo', 202573715, 'impression', '19', 241125962L, datetime.datetime(2013, 5, 27, 13, 12, 32), 0.0357118251008507, False, 'time']
['dklorenzo', 202573715, 'impression', '6', 241173361L, datetime.datetime(2013, 5, 27, 13, 12, 32), 0.0159324178003943, False, 'time']
['dklorenzo', 202573715, 'impression', '11', 241130511L, datetime.datetime(2013, 5, 27, 13, 12, 32), 0.0200536679806916, False, 'time']
['dklorenzo', 202573715, 'impression', '8', 241140843L, datetime.datetime(2013, 5, 27, 13, 12, 32), 0.0458390783331924, False, 'time']
['dklorenzo', 202573715, 'impression', '4', 241179804L, datetime.datetime(2013, 5, 27, 13, 12, 32), 0.0337824623483611, False, 'time']
['dklorenzo', 202573715, 'impression', '1', 241187900L, datetime.datetime(2013, 5, 27, 13, 12, 32), 0.0295371879586049, False, 'time']
['dklorenzo', 202573715, 'impression', '15', 241127037L, datetime.datetime(2013, 5, 27, 13, 12, 32), 0.0243992377968378, False, 'time']
['dklorenzo', 202573715, 'impression', '17', 241126504L, datetime.datetime(2013, 5, 27, 13, 12, 32), 0.0231864312316853, False, 'time']
['dklorenzo', 202573715, 'impression', '2', 241184268L, datetime.datetime(2013, 5, 27, 13, 12, 32), 0.0553615243120495, False, 'time']
['dklorenzo', 202573715, 'impression', '12', 241128304L, datetime.datetime(2013, 5, 27, 13, 12, 32), 0.0522881188008156, False, 'time']
['dklorenzo', 202573715, 'impression', '14', 241127284L, datetime.datetime(2013, 5, 27, 13, 12, 32), 0.0140941711337139, False, 'time']
