['dnwa', 202586285, 'impression', '20', 241406513L, datetime.datetime(2013, 5, 27, 15, 45, 51), 0.00731672147650006, False, 'time']
['dnwa', 202586285, 'impression', '16', 241406790L, datetime.datetime(2013, 5, 27, 15, 45, 51), 0.0256718121118725, False, 'time']
['dnwa', 202586285, 'impression', '6', 241408183L, datetime.datetime(2013, 5, 27, 15, 45, 51), 0.00937692924176707, False, 'time']
['dnwa', 202586285, 'impression', '18', 241406656L, datetime.datetime(2013, 5, 27, 15, 45, 51), 0.0268973320045051, False, 'time']
['dnwa', 202586285, 'impression', '15', 241406931L, datetime.datetime(2013, 5, 27, 15, 45, 51), 0.0390620974449356, False, 'time']
['dnwa', 202586285, 'impression', '1', 241410825L, datetime.datetime(2013, 5, 27, 15, 45, 51), 0.0195744952943021, False, 'time']
['dnwa', 202586285, 'impression', '3', 241408901L, datetime.datetime(2013, 5, 27, 15, 45, 51), 0.043764036523932, True, 'time']
['dnwa', 202586285, 'impression', '4', 241408877L, datetime.datetime(2013, 5, 27, 15, 45, 51), 0.0389669723915484, False, 'time']
['dnwa', 202586285, 'impression', '14', 241406941L, datetime.datetime(2013, 5, 27, 15, 45, 51), 0.0206650544037648, False, 'time']
['dnwa', 202586285, 'impression', '10', 241407678L, datetime.datetime(2013, 5, 27, 15, 45, 51), 0.0302619602452818, False, 'time']
['dnwa', 202586285, 'impression', '12', 241407057L, datetime.datetime(2013, 5, 27, 15, 45, 51), 0.0172017991005191, False, 'time']
['dnwa', 202586285, 'impression', '9', 241407743L, datetime.datetime(2013, 5, 27, 15, 45, 51), 0.0390735136065905, False, 'time']
['dnwa', 202586285, 'impression', '2', 241409286L, datetime.datetime(2013, 5, 27, 15, 45, 51), 0.0324274296561936, False, 'time']
['dnwa', 202586285, 'impression', '17', 241406663L, datetime.datetime(2013, 5, 27, 15, 45, 51), 0.0134337337676737, False, 'time']
['dnwa', 202586285, 'impression', '11', 241407149L, datetime.datetime(2013, 5, 27, 15, 45, 51), 0.0350432805896551, False, 'time']
['dnwa', 202586285, 'impression', '7', 241407824L, datetime.datetime(2013, 5, 27, 15, 45, 51), 0.0571264382602853, False, 'time']
['dnwa', 202586285, 'impression', '13', 241407037L, datetime.datetime(2013, 5, 27, 15, 45, 51), 0.0598213137000305, False, 'time']
['dnwa', 202586285, 'impression', '5', 241408401L, datetime.datetime(2013, 5, 27, 15, 45, 51), 0.0742792132717529, False, 'time']
['dnwa', 202586285, 'impression', '8', 241407790L, datetime.datetime(2013, 5, 27, 15, 45, 51), 0.0120646827574671, False, 'time']
['dnwa', 202586285, 'impression', '19', 241406533L, datetime.datetime(2013, 5, 27, 15, 45, 51), 0.0131883411700501, False, 'time']
['dnwa', 202586285, 'expand_tile', '1', 241410825L, datetime.datetime(2013, 5, 27, 15, 46, 23), 0.0195744952943021, False, 'time']
['dnwa', 202586285, 'shortlist', '3', 241408901L, datetime.datetime(2013, 5, 27, 15, 47, 22), 0.043764036523932, True, 'time']

