['dominique-piaget', 202589560, 'impression', '2', 241567933L, datetime.datetime(2013, 5, 29, 12, 56, 15), 0.550860175321849, False, 'best']
['dominique-piaget', 202589560, 'impression', '3', 241492028L, datetime.datetime(2013, 5, 29, 12, 56, 15), 0.370451595858637, False, 'best']
['dominique-piaget', 202589560, 'impression', '4', 241565710L, datetime.datetime(2013, 5, 29, 12, 56, 15), 0.344619827612679, False, 'best']
['dominique-piaget', 202589560, 'impression', '6', 241482046L, datetime.datetime(2013, 5, 29, 12, 56, 15), 0.207263676576462, False, 'best']
['dominique-piaget', 202589560, 'impression', '5', 241569874L, datetime.datetime(2013, 5, 29, 12, 56, 15), 0.332619911957659, False, 'best']
['dominique-piaget', 202589560, 'impression', '1', 241544392L, datetime.datetime(2013, 5, 29, 12, 56, 15), 0.640439196049303, False, 'best']
['dominique-piaget', 202589560, 'view_full_application_via_name', '5', 241569874L, datetime.datetime(2013, 5, 29, 12, 56, 34), 0.332619911957659, False, 'best']
['dominique-piaget', 202589560, 'impression', '6', 241482046L, datetime.datetime(2013, 5, 29, 12, 56, 53), 0.207263676576462, False, 'best']
['dominique-piaget', 202589560, 'impression', '1', 241544392L, datetime.datetime(2013, 5, 29, 12, 56, 53), 0.640439196049303, False, 'best']
['dominique-piaget', 202589560, 'impression', '3', 241492028L, datetime.datetime(2013, 5, 29, 12, 56, 53), 0.370451595858637, False, 'best']
['dominique-piaget', 202589560, 'impression', '4', 241565710L, datetime.datetime(2013, 5, 29, 12, 56, 53), 0.344619827612679, False, 'best']
['dominique-piaget', 202589560, 'impression', '5', 241569874L, datetime.datetime(2013, 5, 29, 12, 56, 53), 0.332619911957659, False, 'best']
['dominique-piaget', 202589560, 'impression', '2', 241567933L, datetime.datetime(2013, 5, 29, 12, 56, 53), 0.550860175321849, False, 'best']
['dominique-piaget', 202589560, 'expand_tile', '1', 241544392L, datetime.datetime(2013, 5, 29, 12, 57, 16), 0.640439196049303, False, 'best']
['dominique-piaget', 202589560, 'expand_tile', '2', 241567933L, datetime.datetime(2013, 5, 29, 12, 57, 19), 0.550860175321849, False, 'best']
['dominique-piaget', 202589560, 'expand_tile', '3', 241492028L, datetime.datetime(2013, 5, 29, 12, 57, 23), 0.370451595858637, False, 'best']
['dominique-piaget', 202589560, 'expand_tile', '4', 241565710L, datetime.datetime(2013, 5, 29, 12, 57, 29), 0.344619827612679, False, 'best']

