['drgossomer', 202580483, 'impression', '2', 241270530L, datetime.datetime(2013, 5, 25, 15, 10, 2), 0.0644572758781849, False, 'best']
['drgossomer', 202580483, 'impression', '1', 241275491L, datetime.datetime(2013, 5, 25, 15, 10, 2), 0.0723187916074187, False, 'best']
['drgossomer', 202580483, 'expand_tile', '1', 241275491L, datetime.datetime(2013, 5, 25, 15, 10, 12), 0.0723187916074187, False, 'best']

['drgossomer', 202580483, 'impression', '2', 241279688L, datetime.datetime(2013, 5, 25, 18, 54, 59), 0.0972770053257769, False, 'best']
['drgossomer', 202580483, 'impression', '1', 241288390L, datetime.datetime(2013, 5, 25, 18, 54, 59), 0.0993170341305085, False, 'best']
['drgossomer', 202580483, 'impression', '13', 241288750L, datetime.datetime(2013, 5, 25, 18, 54, 59), 0.0434693994104779, False, 'best']
['drgossomer', 202580483, 'impression', '11', 241270530L, datetime.datetime(2013, 5, 25, 18, 54, 59), 0.0644572758781849, False, 'best']
['drgossomer', 202580483, 'impression', '7', 241282741L, datetime.datetime(2013, 5, 25, 18, 54, 59), 0.0727325705841968, True, 'best']
['drgossomer', 202580483, 'impression', '12', 241280496L, datetime.datetime(2013, 5, 25, 18, 54, 59), 0.061202736514486, False, 'best']
['drgossomer', 202580483, 'impression', '5', 241271746L, datetime.datetime(2013, 5, 25, 18, 54, 59), 0.0770584934136342, False, 'best']
['drgossomer', 202580483, 'impression', '10', 241289722L, datetime.datetime(2013, 5, 25, 18, 54, 59), 0.0657363280896646, False, 'best']
['drgossomer', 202580483, 'impression', '8', 241275491L, datetime.datetime(2013, 5, 25, 18, 54, 59), 0.0723187916074187, False, 'best']
['drgossomer', 202580483, 'impression', '9', 241286791L, datetime.datetime(2013, 5, 25, 18, 54, 59), 0.0684150529350449, False, 'best']
['drgossomer', 202580483, 'impression', '4', 241281856L, datetime.datetime(2013, 5, 25, 18, 54, 59), 0.0819203000432352, False, 'best']
['drgossomer', 202580483, 'impression', '6', 241287952L, datetime.datetime(2013, 5, 25, 18, 54, 59), 0.0742580736575464, False, 'best']
['drgossomer', 202580483, 'impression', '3', 241287341L, datetime.datetime(2013, 5, 25, 18, 54, 59), 0.0843545233332656, False, 'best']
['drgossomer', 202580483, 'shortlist', '5', 241271746L, datetime.datetime(2013, 5, 25, 18, 56, 8), 0.0770584934136342, False, 'best']
['drgossomer', 202580483, 'expand_tile', '7', 241282741L, datetime.datetime(2013, 5, 25, 18, 56, 19), 0.0727325705841968, True, 'best']
['drgossomer', 202580483, 'impression', '9', 241286791L, datetime.datetime(2013, 5, 25, 18, 56, 38), 0.0684150529350449, False, 'best']
['drgossomer', 202580483, 'expand_tile', '10', 241289722L, datetime.datetime(2013, 5, 25, 18, 56, 49), 0.0657363280896646, False, 'best']
['drgossomer', 202580483, 'view_full_application_via_name', '10', 241289722L, datetime.datetime(2013, 5, 25, 18, 57, 24), 0.0657363280896646, False, 'best']

['drgossomer', 202580483, 'impression', '2', 241279688L, datetime.datetime(2013, 5, 25, 22, 8, 55), 0.0972770053257769, False, 'best']
['drgossomer', 202580483, 'impression', '1', 241288390L, datetime.datetime(2013, 5, 25, 22, 8, 55), 0.0993170341305085, False, 'best']
['drgossomer', 202580483, 'impression', '5', 241271746L, datetime.datetime(2013, 5, 25, 22, 8, 55), 0.0770584934136342, False, 'best']
['drgossomer', 202580483, 'impression', '13', 241288750L, datetime.datetime(2013, 5, 25, 22, 8, 55), 0.0434693994104779, False, 'best']
['drgossomer', 202580483, 'impression', '11', 241270530L, datetime.datetime(2013, 5, 25, 22, 8, 55), 0.0644572758781849, False, 'best']
['drgossomer', 202580483, 'impression', '12', 241280496L, datetime.datetime(2013, 5, 25, 22, 8, 55), 0.061202736514486, False, 'best']
['drgossomer', 202580483, 'impression', '7', 241282741L, datetime.datetime(2013, 5, 25, 22, 8, 55), 0.0727325705841968, True, 'best']
['drgossomer', 202580483, 'impression', '6', 241287952L, datetime.datetime(2013, 5, 25, 22, 8, 55), 0.0742580736575464, False, 'best']
['drgossomer', 202580483, 'impression', '9', 241286791L, datetime.datetime(2013, 5, 25, 22, 8, 55), 0.0684150529350449, False, 'best']
['drgossomer', 202580483, 'impression', '3', 241287341L, datetime.datetime(2013, 5, 25, 22, 8, 55), 0.0843545233332656, False, 'best']
['drgossomer', 202580483, 'impression', '4', 241281856L, datetime.datetime(2013, 5, 25, 22, 8, 55), 0.0819203000432352, False, 'best']
['drgossomer', 202580483, 'impression', '8', 241275491L, datetime.datetime(2013, 5, 25, 22, 8, 55), 0.0723187916074187, False, 'best']
['drgossomer', 202580483, 'impression', '10', 241289722L, datetime.datetime(2013, 5, 25, 22, 8, 55), 0.0657363280896646, False, 'best']
