['dschenker', 202560213, 'impression', '3', 240861441L, datetime.datetime(2013, 5, 21, 16, 52, 43), 0.00695568819521218, False, 'time']
['dschenker', 202560213, 'impression', '2', 240876423L, datetime.datetime(2013, 5, 21, 16, 52, 43), 0.067534940607145, False, 'time']
['dschenker', 202560213, 'impression', '10', 240859806L, datetime.datetime(2013, 5, 21, 16, 52, 43), 0.0233586404957034, False, 'time']
['dschenker', 202560213, 'impression', '7', 240860192L, datetime.datetime(2013, 5, 21, 16, 52, 43), 0.0135816174127152, False, 'time']
['dschenker', 202560213, 'impression', '1', 240905487L, datetime.datetime(2013, 5, 21, 16, 52, 43), 0.00173421490839845, False, 'time']
['dschenker', 202560213, 'impression', '9', 240860006L, datetime.datetime(2013, 5, 21, 16, 52, 43), 0.00771433783680581, False, 'time']
['dschenker', 202560213, 'impression', '8', 240860165L, datetime.datetime(2013, 5, 21, 16, 52, 43), 0.0282529944396007, False, 'time']
['dschenker', 202560213, 'impression', '6', 240860269L, datetime.datetime(2013, 5, 21, 16, 52, 43), 0.0227732104749276, False, 'time']
['dschenker', 202560213, 'impression', '4', 240861140L, datetime.datetime(2013, 5, 21, 16, 52, 43), 0.0858350614041933, False, 'time']
['dschenker', 202560213, 'impression', '5', 240860775L, datetime.datetime(2013, 5, 21, 16, 52, 43), 0.00796321461259029, False, 'time']

['dschenker', 202560213, 'impression', '6', 240860269L, datetime.datetime(2013, 5, 21, 18, 40, 1), 0.0227732104749276, False, 'time']
['dschenker', 202560213, 'impression', '8', 240860165L, datetime.datetime(2013, 5, 21, 18, 40, 1), 0.0282529944396007, False, 'time']
['dschenker', 202560213, 'impression', '2', 240876423L, datetime.datetime(2013, 5, 21, 18, 40, 1), 0.067534940607145, False, 'time']
['dschenker', 202560213, 'impression', '3', 240861441L, datetime.datetime(2013, 5, 21, 18, 40, 1), 0.00695568819521218, False, 'time']
['dschenker', 202560213, 'impression', '9', 240860006L, datetime.datetime(2013, 5, 21, 18, 40, 1), 0.00771433783680581, False, 'time']
['dschenker', 202560213, 'impression', '1', 240905487L, datetime.datetime(2013, 5, 21, 18, 40, 1), 0.00173421490839845, False, 'time']
['dschenker', 202560213, 'impression', '7', 240860192L, datetime.datetime(2013, 5, 21, 18, 40, 1), 0.0135816174127152, False, 'time']
['dschenker', 202560213, 'impression', '10', 240859806L, datetime.datetime(2013, 5, 21, 18, 40, 1), 0.0233586404957034, False, 'time']
['dschenker', 202560213, 'impression', '4', 240861140L, datetime.datetime(2013, 5, 21, 18, 40, 1), 0.0858350614041933, False, 'time']
['dschenker', 202560213, 'impression', '5', 240860775L, datetime.datetime(2013, 5, 21, 18, 40, 1), 0.00796321461259029, False, 'time']
['dschenker', 202560213, 'view_full_application_via_name', '3', 240861441L, datetime.datetime(2013, 5, 21, 18, 40, 47), 0.00695568819521218, False, 'time']
['dschenker', 202560213, 'impression', '9', 240860006L, datetime.datetime(2013, 5, 21, 18, 41, 10), 0.00771433783680581, False, 'time']
['dschenker', 202560213, 'impression', '5', 240860775L, datetime.datetime(2013, 5, 21, 18, 41, 10), 0.00796321461259029, False, 'time']
['dschenker', 202560213, 'impression', '4', 240861140L, datetime.datetime(2013, 5, 21, 18, 41, 10), 0.0858350614041933, False, 'time']
['dschenker', 202560213, 'impression', '7', 240860192L, datetime.datetime(2013, 5, 21, 18, 41, 10), 0.0135816174127152, False, 'time']
['dschenker', 202560213, 'impression', '10', 240859806L, datetime.datetime(2013, 5, 21, 18, 41, 10), 0.0233586404957034, False, 'time']
['dschenker', 202560213, 'impression', '2', 240876423L, datetime.datetime(2013, 5, 21, 18, 41, 10), 0.067534940607145, False, 'time']
['dschenker', 202560213, 'impression', '3', 240861441L, datetime.datetime(2013, 5, 21, 18, 41, 10), 0.00695568819521218, False, 'time']
['dschenker', 202560213, 'impression', '1', 240905487L, datetime.datetime(2013, 5, 21, 18, 41, 10), 0.00173421490839845, False, 'time']
['dschenker', 202560213, 'impression', '6', 240860269L, datetime.datetime(2013, 5, 21, 18, 41, 10), 0.0227732104749276, False, 'time']
['dschenker', 202560213, 'impression', '8', 240860165L, datetime.datetime(2013, 5, 21, 18, 41, 10), 0.0282529944396007, False, 'time']
['dschenker', 202560213, 'view_full_application_via_name', '10', 240859806L, datetime.datetime(2013, 5, 21, 18, 41, 48), 0.0233586404957034, False, 'time']
['dschenker', 202560213, 'impression', '1', 240905487L, datetime.datetime(2013, 5, 21, 18, 42, 32), 0.00173421490839845, False, 'time']
['dschenker', 202560213, 'impression', '9', 240860006L, datetime.datetime(2013, 5, 21, 18, 42, 32), 0.00771433783680581, False, 'time']
['dschenker', 202560213, 'impression', '7', 240860192L, datetime.datetime(2013, 5, 21, 18, 42, 32), 0.0135816174127152, False, 'time']
['dschenker', 202560213, 'impression', '10', 240859806L, datetime.datetime(2013, 5, 21, 18, 42, 32), 0.0233586404957034, False, 'time']
['dschenker', 202560213, 'impression', '6', 240860269L, datetime.datetime(2013, 5, 21, 18, 42, 32), 0.0227732104749276, False, 'time']
['dschenker', 202560213, 'impression', '8', 240860165L, datetime.datetime(2013, 5, 21, 18, 42, 32), 0.0282529944396007, False, 'time']
['dschenker', 202560213, 'impression', '4', 240861140L, datetime.datetime(2013, 5, 21, 18, 42, 32), 0.0858350614041933, False, 'time']
['dschenker', 202560213, 'impression', '5', 240860775L, datetime.datetime(2013, 5, 21, 18, 42, 32), 0.00796321461259029, False, 'time']
['dschenker', 202560213, 'impression', '3', 240861441L, datetime.datetime(2013, 5, 21, 18, 42, 32), 0.00695568819521218, False, 'time']
['dschenker', 202560213, 'impression', '2', 240876423L, datetime.datetime(2013, 5, 21, 18, 42, 32), 0.067534940607145, False, 'time']
['dschenker', 202560213, 'expand_tile', '8', 240860165L, datetime.datetime(2013, 5, 21, 18, 42, 42), 0.0282529944396007, False, 'time']
['dschenker', 202560213, 'expand_tile', '7', 240860192L, datetime.datetime(2013, 5, 21, 18, 42, 50), 0.0135816174127152, False, 'time']
['dschenker', 202560213, 'collapse_tile', '7', 240860192L, datetime.datetime(2013, 5, 21, 18, 43, 13), 0.0135816174127152, False, 'time']
['dschenker', 202560213, 'view_full_application_via_name', '1', 240905487L, datetime.datetime(2013, 5, 21, 18, 43, 29), 0.00173421490839845, False, 'time']
['dschenker', 202560213, 'impression', '9', 240860006L, datetime.datetime(2013, 5, 21, 18, 44, 40), 0.00771433783680581, False, 'time']
['dschenker', 202560213, 'impression', '8', 240860165L, datetime.datetime(2013, 5, 21, 18, 44, 40), 0.0282529944396007, False, 'time']
['dschenker', 202560213, 'impression', '6', 240860269L, datetime.datetime(2013, 5, 21, 18, 44, 40), 0.0227732104749276, False, 'time']
['dschenker', 202560213, 'impression', '10', 240859806L, datetime.datetime(2013, 5, 21, 18, 44, 40), 0.0233586404957034, False, 'time']
['dschenker', 202560213, 'impression', '7', 240860192L, datetime.datetime(2013, 5, 21, 18, 44, 40), 0.0135816174127152, False, 'time']
['dschenker', 202560213, 'impression', '1', 240905487L, datetime.datetime(2013, 5, 21, 18, 44, 40), 0.00173421490839845, False, 'time']
['dschenker', 202560213, 'impression', '2', 240876423L, datetime.datetime(2013, 5, 21, 18, 44, 40), 0.067534940607145, False, 'time']
['dschenker', 202560213, 'impression', '3', 240861441L, datetime.datetime(2013, 5, 21, 18, 44, 40), 0.00695568819521218, False, 'time']
['dschenker', 202560213, 'impression', '5', 240860775L, datetime.datetime(2013, 5, 21, 18, 44, 40), 0.00796321461259029, False, 'time']
['dschenker', 202560213, 'impression', '4', 240861140L, datetime.datetime(2013, 5, 21, 18, 44, 40), 0.0858350614041933, False, 'time']

['dschenker', 202560213, 'impression', '8', 240860165L, datetime.datetime(2013, 5, 22, 0, 48, 16), 0.0282529944396007, False, 'time']
