['edos8912', 202571241, 'impression', '10', 241071595L, datetime.datetime(2013, 5, 23, 13, 15, 41), 0.010427611675285, False, 'time']
['edos8912', 202571241, 'impression', '12', 241069523L, datetime.datetime(2013, 5, 23, 13, 15, 41), 0.0622204355948179, True, 'time']
['edos8912', 202571241, 'impression', '2', 241095454L, datetime.datetime(2013, 5, 23, 13, 15, 41), 0.097959903018277, False, 'time']
['edos8912', 202571241, 'impression', '8', 241071681L, datetime.datetime(2013, 5, 23, 13, 15, 41), 0.169337862472159, False, 'time']
['edos8912', 202571241, 'impression', '13', 241068179L, datetime.datetime(2013, 5, 23, 13, 15, 41), 0.0761974984619431, False, 'time']
['edos8912', 202571241, 'impression', '5', 241072973L, datetime.datetime(2013, 5, 23, 13, 15, 41), 0.0459031813744517, False, 'time']
['edos8912', 202571241, 'impression', '1', 241105626L, datetime.datetime(2013, 5, 23, 13, 15, 41), 0.0585027948109973, False, 'time']
['edos8912', 202571241, 'impression', '3', 241081263L, datetime.datetime(2013, 5, 23, 13, 15, 41), 0.0273852663826261, False, 'time']
['edos8912', 202571241, 'impression', '9', 241071597L, datetime.datetime(2013, 5, 23, 13, 15, 41), 0.0415808187951852, False, 'time']
['edos8912', 202571241, 'impression', '14', 241066285L, datetime.datetime(2013, 5, 23, 13, 15, 41), 0.0364598265919675, False, 'time']
['edos8912', 202571241, 'impression', '4', 241078175L, datetime.datetime(2013, 5, 23, 13, 15, 41), 0.0472519934929483, False, 'time']
['edos8912', 202571241, 'impression', '11', 241070081L, datetime.datetime(2013, 5, 23, 13, 15, 41), 0.0159746189389275, True, 'time']
['edos8912', 202571241, 'impression', '7', 241072120L, datetime.datetime(2013, 5, 23, 13, 15, 41), 0.0929590694083647, False, 'time']
['edos8912', 202571241, 'impression', '6', 241072887L, datetime.datetime(2013, 5, 23, 13, 15, 41), 0.0878752038270838, True, 'time']
['edos8912', 202571241, 'impression', '5', 241072973L, datetime.datetime(2013, 5, 23, 13, 16, 2), 0.0459031813744517, False, 'time']
['edos8912', 202571241, 'view_full_application_via_name', '8', 241071681L, datetime.datetime(2013, 5, 23, 13, 16, 47), 0.169337862472159, False, 'time']
['edos8912', 202571241, 'impression', '7', 241072120L, datetime.datetime(2013, 5, 23, 13, 17, 29), 0.0929590694083647, False, 'time']
['edos8912', 202571241, 'impression', '11', 241070081L, datetime.datetime(2013, 5, 23, 13, 17, 29), 0.0159746189389275, True, 'time']
['edos8912', 202571241, 'impression', '6', 241072887L, datetime.datetime(2013, 5, 23, 13, 17, 29), 0.0878752038270838, True, 'time']
['edos8912', 202571241, 'impression', '8', 241071681L, datetime.datetime(2013, 5, 23, 13, 17, 29), 0.169337862472159, False, 'time']
['edos8912', 202571241, 'impression', '13', 241068179L, datetime.datetime(2013, 5, 23, 13, 17, 29), 0.0761974984619431, False, 'time']
['edos8912', 202571241, 'impression', '12', 241069523L, datetime.datetime(2013, 5, 23, 13, 17, 29), 0.0622204355948179, True, 'time']
['edos8912', 202571241, 'impression', '10', 241071595L, datetime.datetime(2013, 5, 23, 13, 17, 29), 0.010427611675285, False, 'time']
['edos8912', 202571241, 'impression', '4', 241078175L, datetime.datetime(2013, 5, 23, 13, 17, 29), 0.0472519934929483, False, 'time']
['edos8912', 202571241, 'impression', '14', 241066285L, datetime.datetime(2013, 5, 23, 13, 17, 29), 0.0364598265919675, False, 'time']
['edos8912', 202571241, 'impression', '5', 241072973L, datetime.datetime(2013, 5, 23, 13, 17, 29), 0.0459031813744517, False, 'time']
['edos8912', 202571241, 'impression', '1', 241105626L, datetime.datetime(2013, 5, 23, 13, 17, 29), 0.0585027948109973, False, 'time']
['edos8912', 202571241, 'impression', '9', 241071597L, datetime.datetime(2013, 5, 23, 13, 17, 29), 0.0415808187951852, False, 'time']
['edos8912', 202571241, 'impression', '3', 241081263L, datetime.datetime(2013, 5, 23, 13, 17, 29), 0.0273852663826261, False, 'time']
['edos8912', 202571241, 'impression', '2', 241095454L, datetime.datetime(2013, 5, 23, 13, 17, 29), 0.097959903018277, False, 'time']

['edos8912', 202571241, 'impression', '20', 241068179L, datetime.datetime(2013, 5, 24, 17, 49, 5), 0.0761974984619431, False, 'time']
['edos8912', 202571241, 'impression', '3', 241166255L, datetime.datetime(2013, 5, 24, 17, 49, 5), 0.0525123624714005, True, 'time']
['edos8912', 202571241, 'impression', '15', 241071681L, datetime.datetime(2013, 5, 24, 17, 49, 5), 0.169337862472159, False, 'time']
['edos8912', 202571241, 'impression', '1', 241205366L, datetime.datetime(2013, 5, 24, 17, 49, 5), 0.155992820506856, True, 'time']
['edos8912', 202571241, 'impression', '8', 241105626L, datetime.datetime(2013, 5, 24, 17, 49, 5), 0.0585027948109973, False, 'time']
['edos8912', 202571241, 'impression', '12', 241072973L, datetime.datetime(2013, 5, 24, 17, 49, 5), 0.0459031813744517, False, 'time']
['edos8912', 202571241, 'impression', '10', 241081263L, datetime.datetime(2013, 5, 24, 17, 49, 5), 0.0273852663826261, False, 'time']
['edos8912', 202571241, 'impression', '16', 241071597L, datetime.datetime(2013, 5, 24, 17, 49, 5), 0.0415808187951852, False, 'time']
['edos8912', 202571241, 'impression', '2', 241178955L, datetime.datetime(2013, 5, 24, 17, 49, 5), 0.0374646107921715, True, 'time']
['edos8912', 202571241, 'impression', '4', 241137658L, datetime.datetime(2013, 5, 24, 17, 49, 5), 0.0616323798697442, False, 'time']
['edos8912', 202571241, 'impression', '11', 241078175L, datetime.datetime(2013, 5, 24, 17, 49, 5), 0.0472519934929483, False, 'time']
['edos8912', 202571241, 'impression', '9', 241095454L, datetime.datetime(2013, 5, 24, 17, 49, 5), 0.097959903018277, False, 'time']
['edos8912', 202571241, 'impression', '18', 241070081L, datetime.datetime(2013, 5, 24, 17, 49, 5), 0.0159746189389275, True, 'time']
['edos8912', 202571241, 'impression', '7', 241117432L, datetime.datetime(2013, 5, 24, 17, 49, 5), 0.0800855399543919, False, 'time']
['edos8912', 202571241, 'impression', '13', 241072887L, datetime.datetime(2013, 5, 24, 17, 49, 5), 0.0878752038270838, True, 'time']
['edos8912', 202571241, 'impression', '14', 241072120L, datetime.datetime(2013, 5, 24, 17, 49, 5), 0.0929590694083647, False, 'time']
['edos8912', 202571241, 'impression', '5', 241125723L, datetime.datetime(2013, 5, 24, 17, 49, 5), 0.109793440891737, False, 'time']
['edos8912', 202571241, 'impression', '6', 241123501L, datetime.datetime(2013, 5, 24, 17, 49, 5), 0.0623830961165791, True, 'time']
['edos8912', 202571241, 'impression', '19', 241069523L, datetime.datetime(2013, 5, 24, 17, 49, 5), 0.0622204355948179, True, 'time']
['edos8912', 202571241, 'impression', '17', 241071595L, datetime.datetime(2013, 5, 24, 17, 49, 5), 0.010427611675285, False, 'time']
['edos8912', 202571241, 'expand_tile', '1', 241205366L, datetime.datetime(2013, 5, 24, 17, 49, 23), 0.155992820506856, True, 'time']
['edos8912', 202571241, 'send_message', '1', 241205366L, datetime.datetime(2013, 5, 24, 17, 49, 42), 0.155992820506856, True, 'time']
['edos8912', 202571241, 'hire', '1', 241205366L, datetime.datetime(2013, 5, 24, 17, 49, 45), 0.155992820506856, True, 'time']

['edos8912', 202571241, 'impression', '11', 241078175L, datetime.datetime(2013, 5, 24, 19, 11, 41), 0.0472519934929483, False, 'time']
['edos8912', 202571241, 'impression', '3', 241166255L, datetime.datetime(2013, 5, 24, 19, 11, 41), 0.0525123624714005, True, 'time']
['edos8912', 202571241, 'impression', '15', 241071681L, datetime.datetime(2013, 5, 24, 19, 11, 41), 0.169337862472159, False, 'time']
['edos8912', 202571241, 'impression', '20', 241068179L, datetime.datetime(2013, 5, 24, 19, 11, 41), 0.0761974984619431, False, 'time']
['edos8912', 202571241, 'impression', '9', 241095454L, datetime.datetime(2013, 5, 24, 19, 11, 41), 0.097959903018277, False, 'time']
['edos8912', 202571241, 'impression', '10', 241081263L, datetime.datetime(2013, 5, 24, 19, 11, 41), 0.0273852663826261, False, 'time']
['edos8912', 202571241, 'impression', '4', 241137658L, datetime.datetime(2013, 5, 24, 19, 11, 41), 0.0616323798697442, False, 'time']
['edos8912', 202571241, 'impression', '16', 241071597L, datetime.datetime(2013, 5, 24, 19, 11, 41), 0.0415808187951852, False, 'time']
['edos8912', 202571241, 'impression', '2', 241178955L, datetime.datetime(2013, 5, 24, 19, 11, 41), 0.0374646107921715, True, 'time']
['edos8912', 202571241, 'impression', '8', 241105626L, datetime.datetime(2013, 5, 24, 19, 11, 41), 0.0585027948109973, False, 'time']
['edos8912', 202571241, 'impression', '12', 241072973L, datetime.datetime(2013, 5, 24, 19, 11, 41), 0.0459031813744517, False, 'time']
['edos8912', 202571241, 'impression', '14', 241072120L, datetime.datetime(2013, 5, 24, 19, 11, 41), 0.0929590694083647, False, 'time']
