['empbing', 202564432, 'impression', '2', 240945342L, datetime.datetime(2013, 5, 21, 17, 45, 31), 0.129053079351503, False, 'time']
['empbing', 202564432, 'impression', '1', 240946432L, datetime.datetime(2013, 5, 21, 17, 45, 31), 0.250602841791805, False, 'time']
['empbing', 202564432, 'impression', '4', 240945034L, datetime.datetime(2013, 5, 21, 17, 45, 31), 0.114774914575404, False, 'time']
['empbing', 202564432, 'impression', '3', 240945037L, datetime.datetime(2013, 5, 21, 17, 45, 31), 0.189137068296128, False, 'time']
['empbing', 202564432, 'expand_tile', '2', 240945342L, datetime.datetime(2013, 5, 21, 17, 46, 8), 0.129053079351503, False, 'time']
['empbing', 202564432, 'expand_tile', '3', 240945037L, datetime.datetime(2013, 5, 21, 17, 46, 43), 0.189137068296128, False, 'time']
['empbing', 202564432, 'expand_tile', '1', 240946432L, datetime.datetime(2013, 5, 21, 17, 48, 3), 0.250602841791805, False, 'time']
['empbing', 202564432, 'send_message', '1', 240946432L, datetime.datetime(2013, 5, 21, 17, 48, 34), 0.250602841791805, False, 'time']
['empbing', 202564432, 'expand_tile', '1', 240946432L, datetime.datetime(2013, 5, 21, 17, 49, 2), 0.250602841791805, False, 'time']
['empbing', 202564432, 'impression', '2', 240945342L, datetime.datetime(2013, 5, 21, 17, 56, 4), 0.129053079351503, False, 'time']
['empbing', 202564432, 'impression', '4', 240945034L, datetime.datetime(2013, 5, 21, 17, 56, 4), 0.114774914575404, False, 'time']
['empbing', 202564432, 'impression', '1', 240946432L, datetime.datetime(2013, 5, 21, 17, 56, 4), 0.250602841791805, False, 'time']
['empbing', 202564432, 'impression', '3', 240945037L, datetime.datetime(2013, 5, 21, 17, 56, 4), 0.189137068296128, False, 'time']

['empbing', 202564432, 'impression', '3', 240946432L, datetime.datetime(2013, 5, 22, 16, 7, 16), 0.250602841791805, False, 'time']
['empbing', 202564432, 'impression', '5', 240945034L, datetime.datetime(2013, 5, 22, 16, 7, 16), 0.114774914575404, False, 'time']
['empbing', 202564432, 'impression', '4', 240945342L, datetime.datetime(2013, 5, 22, 16, 7, 16), 0.129053079351503, False, 'time']
['empbing', 202564432, 'impression', '2', 240960793L, datetime.datetime(2013, 5, 22, 16, 7, 16), 0.305262903366722, False, 'time']
['empbing', 202564432, 'impression', '1', 240995914L, datetime.datetime(2013, 5, 22, 16, 7, 16), 0.170031651075919, False, 'time']
['empbing', 202564432, 'view_full_application_via_message', '3', 240946432L, datetime.datetime(2013, 5, 22, 16, 8, 31), 0.250602841791805, False, 'time']
['empbing', 202564432, 'impression', '3', 240946432L, datetime.datetime(2013, 5, 22, 16, 10, 16), 0.250602841791805, False, 'time']
['empbing', 202564432, 'impression', '5', 240945034L, datetime.datetime(2013, 5, 22, 16, 10, 16), 0.114774914575404, False, 'time']
['empbing', 202564432, 'impression', '2', 240960793L, datetime.datetime(2013, 5, 22, 16, 10, 16), 0.305262903366722, False, 'time']
['empbing', 202564432, 'impression', '1', 240995914L, datetime.datetime(2013, 5, 22, 16, 10, 16), 0.170031651075919, False, 'time']
['empbing', 202564432, 'impression', '4', 240945342L, datetime.datetime(2013, 5, 22, 16, 10, 16), 0.129053079351503, False, 'time']
['empbing', 202564432, 'expand_tile', '5', 240945034L, datetime.datetime(2013, 5, 22, 16, 11, 11), 0.114774914575404, False, 'time']
['empbing', 202564432, 'send_message', '5', 240945034L, datetime.datetime(2013, 5, 22, 16, 11, 17), 0.114774914575404, False, 'time']
['empbing', 202564432, 'expand_tile', '5', 240945034L, datetime.datetime(2013, 5, 22, 16, 11, 41), 0.114774914575404, False, 'time']
['empbing', 202564432, 'expand_tile', '1', 240995914L, datetime.datetime(2013, 5, 22, 16, 11, 51), 0.170031651075919, False, 'time']
['empbing', 202564432, 'send_message', '1', 240995914L, datetime.datetime(2013, 5, 22, 16, 11, 53), 0.170031651075919, False, 'time']
['empbing', 202564432, 'expand_tile', '1', 240995914L, datetime.datetime(2013, 5, 22, 16, 11, 57), 0.170031651075919, False, 'time']
['empbing', 202564432, 'expand_tile', '2', 240960793L, datetime.datetime(2013, 5, 22, 16, 12, 13), 0.305262903366722, False, 'time']
['empbing', 202564432, 'send_message', '2', 240960793L, datetime.datetime(2013, 5, 22, 16, 12, 14), 0.305262903366722, False, 'time']
['empbing', 202564432, 'expand_tile', '2', 240960793L, datetime.datetime(2013, 5, 22, 16, 12, 17), 0.305262903366722, False, 'time']
['empbing', 202564432, 'expand_tile', '4', 240945342L, datetime.datetime(2013, 5, 22, 16, 12, 40), 0.129053079351503, False, 'time']
['empbing', 202564432, 'send_message', '4', 240945342L, datetime.datetime(2013, 5, 22, 16, 12, 42), 0.129053079351503, False, 'time']
['empbing', 202564432, 'expand_tile', '4', 240945342L, datetime.datetime(2013, 5, 22, 16, 12, 46), 0.129053079351503, False, 'time']

