['evanstein', 202553260, 'impression', '3', 240711525L, datetime.datetime(2013, 5, 18, 16, 38, 21), 0.228400964766354, False, 'time']
['evanstein', 202553260, 'impression', '4', 240710465L, datetime.datetime(2013, 5, 18, 16, 38, 21), 0.20014144151945, False, 'time']
['evanstein', 202553260, 'impression', '2', 240712286L, datetime.datetime(2013, 5, 18, 16, 38, 21), 0.159843506610148, False, 'time']
['evanstein', 202553260, 'impression', '1', 240714101L, datetime.datetime(2013, 5, 18, 16, 38, 21), 0.216233814529545, False, 'time']
['evanstein', 202553260, 'expand_tile', '3', 240711525L, datetime.datetime(2013, 5, 18, 16, 38, 36), 0.228400964766354, False, 'time']
['evanstein', 202553260, 'impression', '3', 240711525L, datetime.datetime(2013, 5, 18, 16, 38, 57), 0.228400964766354, False, 'time']
['evanstein', 202553260, 'impression', '3', 240711525L, datetime.datetime(2013, 5, 18, 16, 38, 58), 0.228400964766354, False, 'time']
['evanstein', 202553260, 'impression', '2', 240712286L, datetime.datetime(2013, 5, 18, 16, 39, 9), 0.159843506610148, False, 'time']
['evanstein', 202553260, 'expand_tile', '3', 240711525L, datetime.datetime(2013, 5, 18, 16, 39, 9), 0.228400964766354, False, 'time']
['evanstein', 202553260, 'expand_tile', '2', 240712286L, datetime.datetime(2013, 5, 18, 16, 39, 16), 0.159843506610148, False, 'time']
['evanstein', 202553260, 'view_full_application', '2', 240712286L, datetime.datetime(2013, 5, 18, 16, 39, 36), 0.159843506610148, False, 'time']
['evanstein', 202553260, 'impression', '3', 240710465L, datetime.datetime(2013, 5, 18, 16, 40, 2), 0.20014144151945, False, 'time']
['evanstein', 202553260, 'impression', '2', 240712286L, datetime.datetime(2013, 5, 18, 16, 40, 2), 0.159843506610148, False, 'time']
['evanstein', 202553260, 'impression', '1', 240714101L, datetime.datetime(2013, 5, 18, 16, 40, 2), 0.216233814529545, False, 'time']
['evanstein', 202553260, 'expand_tile', '1', 240714101L, datetime.datetime(2013, 5, 18, 16, 40, 6), 0.216233814529545, False, 'time']
['evanstein', 202553260, 'view_full_application', '1', 240714101L, datetime.datetime(2013, 5, 18, 16, 40, 16), 0.216233814529545, False, 'time']
['evanstein', 202553260, 'impression', '1', 240714101L, datetime.datetime(2013, 5, 18, 16, 40, 31), 0.216233814529545, False, 'time']
['evanstein', 202553260, 'impression', '2', 240712286L, datetime.datetime(2013, 5, 18, 16, 40, 31), 0.159843506610148, False, 'time']
['evanstein', 202553260, 'impression', '3', 240710465L, datetime.datetime(2013, 5, 18, 16, 40, 31), 0.20014144151945, False, 'time']

['evanstein', 202553260, 'impression', '3', 240714101L, datetime.datetime(2013, 5, 20, 0, 57, 11), 0.216233814529545, False, 'time']
