['everlastingapps', 202594605, 'impression', '12', 241586069L, datetime.datetime(2013, 5, 29, 21, 38, 41), 0.0462909411761022, False, 'time']
['everlastingapps', 202594605, 'impression', '7', 241591707L, datetime.datetime(2013, 5, 29, 21, 38, 41), 0.0544164969260582, False, 'time']
['everlastingapps', 202594605, 'impression', '16', 241585230L, datetime.datetime(2013, 5, 29, 21, 38, 41), 0.0563716254938599, False, 'time']
['everlastingapps', 202594605, 'impression', '13', 241585951L, datetime.datetime(2013, 5, 29, 21, 38, 41), 0.0673862780906475, False, 'time']
['everlastingapps', 202594605, 'impression', '11', 241586111L, datetime.datetime(2013, 5, 29, 21, 38, 41), 0.0414824826226344, False, 'time']
['everlastingapps', 202594605, 'impression', '1', 241612889L, datetime.datetime(2013, 5, 29, 21, 38, 41), 0.0770373323254834, False, 'time']
['everlastingapps', 202594605, 'impression', '3', 241602942L, datetime.datetime(2013, 5, 29, 21, 38, 41), 0.123732542044744, False, 'time']
['everlastingapps', 202594605, 'impression', '19', 241584638L, datetime.datetime(2013, 5, 29, 21, 38, 41), 0.0214960668393857, False, 'time']
['everlastingapps', 202594605, 'impression', '20', 241584592L, datetime.datetime(2013, 5, 29, 21, 38, 41), 0.190325990874565, False, 'time']
['everlastingapps', 202594605, 'impression', '5', 241597242L, datetime.datetime(2013, 5, 29, 21, 38, 41), 0.0268726730206613, False, 'time']
['everlastingapps', 202594605, 'impression', '14', 241585644L, datetime.datetime(2013, 5, 29, 21, 38, 41), 0.0268409608898561, False, 'time']
['everlastingapps', 202594605, 'impression', '2', 241610721L, datetime.datetime(2013, 5, 29, 21, 38, 41), 0.0197792990995822, False, 'time']
['everlastingapps', 202594605, 'impression', '4', 241597423L, datetime.datetime(2013, 5, 29, 21, 38, 41), 0.0260485261295935, False, 'time']
['everlastingapps', 202594605, 'impression', '10', 241587936L, datetime.datetime(2013, 5, 29, 21, 38, 41), 0.0159593804510214, False, 'time']
['everlastingapps', 202594605, 'impression', '8', 241590860L, datetime.datetime(2013, 5, 29, 21, 38, 41), 0.0502232083587748, False, 'time']
['everlastingapps', 202594605, 'impression', '18', 241584652L, datetime.datetime(2013, 5, 29, 21, 38, 41), 0.0285449125110316, False, 'time']
['everlastingapps', 202594605, 'impression', '17', 241585210L, datetime.datetime(2013, 5, 29, 21, 38, 41), 0.00185977776552057, False, 'time']
['everlastingapps', 202594605, 'impression', '15', 241585329L, datetime.datetime(2013, 5, 29, 21, 38, 41), 0.0432410445919698, False, 'time']
['everlastingapps', 202594605, 'impression', '6', 241594778L, datetime.datetime(2013, 5, 29, 21, 38, 41), 0.211031191425474, False, 'time']
['everlastingapps', 202594605, 'impression', '9', 241589903L, datetime.datetime(2013, 5, 29, 21, 38, 41), 0.0610710610157699, False, 'time']

['everlastingapps', 202594605, 'impression', '15', 241585329L, datetime.datetime(2013, 5, 29, 22, 32, 52), 0.0432410445919698, False, 'time']
['everlastingapps', 202594605, 'impression', '9', 241589903L, datetime.datetime(2013, 5, 29, 22, 32, 52), 0.0610710610157699, False, 'time']
['everlastingapps', 202594605, 'impression', '6', 241594778L, datetime.datetime(2013, 5, 29, 22, 32, 52), 0.211031191425474, False, 'time']
['everlastingapps', 202594605, 'impression', '13', 241585951L, datetime.datetime(2013, 5, 29, 22, 32, 52), 0.0673862780906475, False, 'time']
['everlastingapps', 202594605, 'impression', '11', 241586111L, datetime.datetime(2013, 5, 29, 22, 32, 52), 0.0414824826226344, False, 'time']
['everlastingapps', 202594605, 'impression', '16', 241585230L, datetime.datetime(2013, 5, 29, 22, 32, 52), 0.0563716254938599, False, 'time']
['everlastingapps', 202594605, 'impression', '7', 241591707L, datetime.datetime(2013, 5, 29, 22, 32, 52), 0.0544164969260582, False, 'time']
