['fairwaysponsors', 202591988, 'impression', '1', 241529846L, datetime.datetime(2013, 5, 28, 23, 12, 55), 0.0526594057235866, False, 'best']
['fairwaysponsors', 202591988, 'impression', '2', 241529458L, datetime.datetime(2013, 5, 28, 23, 12, 55), 0.0227766272193379, False, 'best']

['fairwaysponsors', 202591988, 'impression', '10', 241532721L, datetime.datetime(2013, 5, 29, 11, 8, 29), 0.0308282654481897, False, 'best']
['fairwaysponsors', 202591988, 'impression', '14', 241532295L, datetime.datetime(2013, 5, 29, 11, 8, 29), 0.0248466707477052, False, 'best']
['fairwaysponsors', 202591988, 'impression', '16', 241529458L, datetime.datetime(2013, 5, 29, 11, 8, 29), 0.0227766272193379, False, 'best']
['fairwaysponsors', 202591988, 'impression', '15', 241542926L, datetime.datetime(2013, 5, 29, 11, 8, 29), 0.0241108280479512, False, 'best']
['fairwaysponsors', 202591988, 'impression', '4', 241537749L, datetime.datetime(2013, 5, 29, 11, 8, 29), 0.0518090098699517, False, 'best']
['fairwaysponsors', 202591988, 'impression', '11', 241552451L, datetime.datetime(2013, 5, 29, 11, 8, 29), 0.0293367102258663, False, 'best']
['fairwaysponsors', 202591988, 'impression', '3', 241529846L, datetime.datetime(2013, 5, 29, 11, 8, 29), 0.0526594057235866, False, 'best']
['fairwaysponsors', 202591988, 'impression', '8', 241531710L, datetime.datetime(2013, 5, 29, 11, 8, 29), 0.0366400313623547, False, 'best']
['fairwaysponsors', 202591988, 'impression', '7', 241543005L, datetime.datetime(2013, 5, 29, 11, 8, 29), 0.0371962198646202, False, 'best']
['fairwaysponsors', 202591988, 'impression', '13', 241531655L, datetime.datetime(2013, 5, 29, 11, 8, 29), 0.0273362410321924, False, 'best']
['fairwaysponsors', 202591988, 'impression', '2', 241542800L, datetime.datetime(2013, 5, 29, 11, 8, 29), 0.0538081227765636, False, 'best']
['fairwaysponsors', 202591988, 'impression', '5', 241535481L, datetime.datetime(2013, 5, 29, 11, 8, 29), 0.0423512927429501, False, 'best']
['fairwaysponsors', 202591988, 'impression', '12', 241533548L, datetime.datetime(2013, 5, 29, 11, 8, 29), 0.0286236408392242, False, 'best']
['fairwaysponsors', 202591988, 'impression', '6', 241538550L, datetime.datetime(2013, 5, 29, 11, 8, 29), 0.0419540045628918, False, 'best']
['fairwaysponsors', 202591988, 'impression', '9', 241546630L, datetime.datetime(2013, 5, 29, 11, 8, 29), 0.0318277883073811, False, 'best']
['fairwaysponsors', 202591988, 'impression', '1', 241533559L, datetime.datetime(2013, 5, 29, 11, 8, 29), 0.0833298350301394, False, 'best']

