['faithgraphix', 202576119, 'impression', '13', 241175774L, datetime.datetime(2013, 5, 24, 12, 54, 58), 0.0292305466818959, False, 'best']
['faithgraphix', 202576119, 'impression', '8', 241165895L, datetime.datetime(2013, 5, 24, 12, 54, 58), 0.0965143402775695, False, 'best']
['faithgraphix', 202576119, 'impression', '3', 241165321L, datetime.datetime(2013, 5, 24, 12, 54, 58), 0.111305217368853, True, 'best']
['faithgraphix', 202576119, 'impression', '20', 241164716L, datetime.datetime(2013, 5, 24, 12, 54, 58), 0.00480233402289599, False, 'best']
['faithgraphix', 202576119, 'impression', '12', 241168452L, datetime.datetime(2013, 5, 24, 12, 54, 58), 0.0470255235240137, False, 'best']
['faithgraphix', 202576119, 'impression', '11', 241164727L, datetime.datetime(2013, 5, 24, 12, 54, 58), 0.0612410837658289, False, 'best']
['faithgraphix', 202576119, 'impression', '6', 241165954L, datetime.datetime(2013, 5, 24, 12, 54, 58), 0.108239952086731, False, 'best']
['faithgraphix', 202576119, 'impression', '4', 241164771L, datetime.datetime(2013, 5, 24, 12, 54, 58), 0.109426389827519, False, 'best']
['faithgraphix', 202576119, 'impression', '18', 241171429L, datetime.datetime(2013, 5, 24, 12, 54, 58), 0.011593249866516, False, 'best']
['faithgraphix', 202576119, 'impression', '9', 241175472L, datetime.datetime(2013, 5, 24, 12, 54, 58), 0.0826862607300782, False, 'best']
['faithgraphix', 202576119, 'impression', '1', 241166418L, datetime.datetime(2013, 5, 24, 12, 54, 58), 0.160581182396148, False, 'best']
['faithgraphix', 202576119, 'impression', '14', 241171223L, datetime.datetime(2013, 5, 24, 12, 54, 58), 0.0250041015146706, False, 'best']
['faithgraphix', 202576119, 'impression', '19', 241170307L, datetime.datetime(2013, 5, 24, 12, 54, 58), 0.0111466268893488, False, 'best']
['faithgraphix', 202576119, 'impression', '17', 241165709L, datetime.datetime(2013, 5, 24, 12, 54, 58), 0.0134522928875801, False, 'best']
