['fernandezc4', 202556300, 'impression', '3', 240777136L, datetime.datetime(2013, 5, 19, 19, 53, 19), 0.014265261707553, False, 'best']
['fernandezc4', 202556300, 'impression', '2', 240777058L, datetime.datetime(2013, 5, 19, 19, 53, 19), 0.0276706489558696, False, 'best']
['fernandezc4', 202556300, 'impression', '1', 240777125L, datetime.datetime(2013, 5, 19, 19, 53, 19), 0.0344916747602097, False, 'best']
['fernandezc4', 202556300, 'expand_tile', '2', 240777058L, datetime.datetime(2013, 5, 19, 19, 55, 25), 0.0276706489558696, False, 'best']
['fernandezc4', 202556300, 'collapse_tile', '2', 240777058L, datetime.datetime(2013, 5, 19, 19, 55, 40), 0.0276706489558696, False, 'best']
['fernandezc4', 202556300, 'expand_tile', '2', 240777058L, datetime.datetime(2013, 5, 19, 19, 55, 42), 0.0276706489558696, False, 'best']
['fernandezc4', 202556300, 'expand_tile', '1', 240777125L, datetime.datetime(2013, 5, 19, 19, 57, 50), 0.0344916747602097, False, 'best']
['fernandezc4', 202556300, 'impression', '1', 240777125L, datetime.datetime(2013, 5, 19, 20, 0, 31), 0.0344916747602097, False, 'best']
['fernandezc4', 202556300, 'view_full_application', '1', 240777125L, datetime.datetime(2013, 5, 19, 20, 0, 58), 0.0344916747602097, False, 'best']
['fernandezc4', 202556300, 'impression', '3', 240777058L, datetime.datetime(2013, 5, 19, 20, 6, 32), 0.0276706489558696, False, 'best']
['fernandezc4', 202556300, 'impression', '6', 240777256L, datetime.datetime(2013, 5, 19, 20, 6, 32), 0.0170825030449566, False, 'best']
['fernandezc4', 202556300, 'impression', '4', 240777420L, datetime.datetime(2013, 5, 19, 20, 6, 32), 0.0265859848425977, False, 'best']
['fernandezc4', 202556300, 'impression', '2', 240777125L, datetime.datetime(2013, 5, 19, 20, 6, 32), 0.0344916747602097, False, 'best']
['fernandezc4', 202556300, 'impression', '8', 240777188L, datetime.datetime(2013, 5, 19, 20, 6, 32), 0.0135860679885953, False, 'best']
['fernandezc4', 202556300, 'impression', '5', 240777411L, datetime.datetime(2013, 5, 19, 20, 6, 32), 0.0176243995935916, False, 'best']
['fernandezc4', 202556300, 'impression', '7', 240777136L, datetime.datetime(2013, 5, 19, 20, 6, 32), 0.014265261707553, False, 'best']
['fernandezc4', 202556300, 'impression', '1', 240777441L, datetime.datetime(2013, 5, 19, 20, 6, 32), 0.0368194860317649, True, 'best']
['fernandezc4', 202556300, 'expand_tile', '1', 240777441L, datetime.datetime(2013, 5, 19, 20, 6, 43), 0.0368194860317649, True, 'best']
['fernandezc4', 202556300, 'collapse_tile', '1', 240777441L, datetime.datetime(2013, 5, 19, 20, 6, 53), 0.0368194860317649, True, 'best']
['fernandezc4', 202556300, 'expand_tile', '1', 240777441L, datetime.datetime(2013, 5, 19, 20, 6, 53), 0.0368194860317649, True, 'best']
['fernandezc4', 202556300, 'expand_tile', '5', 240777411L, datetime.datetime(2013, 5, 19, 20, 7, 25), 0.0176243995935916, False, 'best']
['fernandezc4', 202556300, 'view_full_application', '1', 240777441L, datetime.datetime(2013, 5, 19, 20, 8, 7), 0.0368194860317649, True, 'best']

