['fisher_michal', 202555981, 'impression', '3', 240815537L, datetime.datetime(2013, 5, 16, 11, 23, 53), 0.0248384575195908, False, 'time']
['fisher_michal', 202555981, 'impression', '12', 240783418L, datetime.datetime(2013, 5, 16, 11, 23, 53), 0.0629747472018602, False, 'time']
['fisher_michal', 202555981, 'impression', '17', 240781111L, datetime.datetime(2013, 5, 16, 11, 23, 53), 0.118009583221056, False, 'time']
['fisher_michal', 202555981, 'impression', '4', 240814060L, datetime.datetime(2013, 5, 16, 11, 23, 53), 0.0585877383340085, False, 'time']
['fisher_michal', 202555981, 'impression', '15', 240781317L, datetime.datetime(2013, 5, 16, 11, 23, 53), 0.0147835079099099, False, 'time']
['fisher_michal', 202555981, 'impression', '16', 240781196L, datetime.datetime(2013, 5, 16, 11, 23, 53), 0.0299808182396835, False, 'time']
['fisher_michal', 202555981, 'impression', '13', 240783132L, datetime.datetime(2013, 5, 16, 11, 23, 53), 0.0157722942428766, False, 'time']
['fisher_michal', 202555981, 'impression', '20', 240776952L, datetime.datetime(2013, 5, 16, 11, 23, 53), 0.0484157702457592, False, 'time']
['fisher_michal', 202555981, 'impression', '14', 240782756L, datetime.datetime(2013, 5, 16, 11, 23, 53), 0.0475948722782909, False, 'time']
['fisher_michal', 202555981, 'impression', '1', 240818544L, datetime.datetime(2013, 5, 16, 11, 23, 53), 0.0347948564044712, False, 'time']
['fisher_michal', 202555981, 'impression', '8', 240798056L, datetime.datetime(2013, 5, 16, 11, 23, 53), 0.0169321756935838, False, 'time']
['fisher_michal', 202555981, 'impression', '6', 240801827L, datetime.datetime(2013, 5, 16, 11, 23, 53), 0.075041576052644, True, 'time']
['fisher_michal', 202555981, 'impression', '7', 240801593L, datetime.datetime(2013, 5, 16, 11, 23, 53), 0.0517308360857932, False, 'time']
['fisher_michal', 202555981, 'impression', '19', 240777243L, datetime.datetime(2013, 5, 16, 11, 23, 53), 0.0368257975284238, False, 'time']
['fisher_michal', 202555981, 'impression', '11', 240783873L, datetime.datetime(2013, 5, 16, 11, 23, 53), 0.00756882924513031, False, 'time']
['fisher_michal', 202555981, 'impression', '10', 240785037L, datetime.datetime(2013, 5, 16, 11, 23, 53), 0.0560728097022021, False, 'time']
['fisher_michal', 202555981, 'impression', '2', 240816572L, datetime.datetime(2013, 5, 16, 11, 23, 53), 0.0317413801146956, False, 'time']
['fisher_michal', 202555981, 'impression', '9', 240793649L, datetime.datetime(2013, 5, 16, 11, 23, 53), 0.172363036375332, False, 'time']
['fisher_michal', 202555981, 'impression', '5', 240806062L, datetime.datetime(2013, 5, 16, 11, 23, 53), 0.0301485878656791, False, 'time']
['fisher_michal', 202555981, 'impression', '18', 240777255L, datetime.datetime(2013, 5, 16, 11, 23, 53), 0.206439372812399, False, 'time']
