['francine-grant', 202539285, 'impression', '4', 240409799L, datetime.datetime(2013, 5, 15, 3, 14, 12), 0.165572821054577, False, 'best']
['francine-grant', 202539285, 'impression', '2', 240408817L, datetime.datetime(2013, 5, 15, 3, 14, 12), 0.136009361137868, False, 'best']
['francine-grant', 202539285, 'impression', '1', 240408626L, datetime.datetime(2013, 5, 15, 3, 14, 12), 0.100507559059422, False, 'best']
['francine-grant', 202539285, 'impression', '3', 240409659L, datetime.datetime(2013, 5, 15, 3, 14, 12), 0.189130841737121, False, 'best']
['francine-grant', 202539285, 'impression', '2', 240408817L, datetime.datetime(2013, 5, 15, 3, 14, 28), 0.136009361137868, False, 'best']
['francine-grant', 202539285, 'impression', '2', 240408817L, datetime.datetime(2013, 5, 15, 3, 14, 52), 0.136009361137868, False, 'best']
['francine-grant', 202539285, 'expand_tile', '2', 240408817L, datetime.datetime(2013, 5, 15, 3, 15, 35), 0.136009361137868, False, 'best']
['francine-grant', 202539285, 'expand_tile', '2', 240408817L, datetime.datetime(2013, 5, 15, 3, 16, 11), 0.136009361137868, False, 'best']
['francine-grant', 202539285, 'shortlist', '2', 240408817L, datetime.datetime(2013, 5, 15, 3, 16, 11), 0.136009361137868, False, 'best']
['francine-grant', 202539285, 'expand_tile', '3', 240409659L, datetime.datetime(2013, 5, 15, 3, 16, 58), 0.189130841737121, False, 'best']
['francine-grant', 202539285, 'view_full_application', '3', 240409659L, datetime.datetime(2013, 5, 15, 3, 17, 57), 0.189130841737121, False, 'best']
['francine-grant', 202539285, 'impression', '1', 240408626L, datetime.datetime(2013, 5, 15, 3, 21, 17), 0.100507559059422, False, 'best']
['francine-grant', 202539285, 'impression', '4', 240409799L, datetime.datetime(2013, 5, 15, 3, 21, 17), 0.165572821054577, False, 'best']
['francine-grant', 202539285, 'impression', '2', 240408817L, datetime.datetime(2013, 5, 15, 3, 21, 17), 0.136009361137868, False, 'best']
['francine-grant', 202539285, 'impression', '3', 240409659L, datetime.datetime(2013, 5, 15, 3, 21, 17), 0.189130841737121, False, 'best']
['francine-grant', 202539285, 'expand_tile', '4', 240409799L, datetime.datetime(2013, 5, 15, 3, 22, 15), 0.165572821054577, False, 'best']
['francine-grant', 202539285, 'view_full_application', '4', 240409799L, datetime.datetime(2013, 5, 15, 3, 22, 31), 0.165572821054577, False, 'best']
['francine-grant', 202539285, 'impression', '1', 240408626L, datetime.datetime(2013, 5, 15, 3, 25, 22), 0.100507559059422, False, 'best']
['francine-grant', 202539285, 'impression', '4', 240409799L, datetime.datetime(2013, 5, 15, 3, 25, 22), 0.165572821054577, False, 'best']
['francine-grant', 202539285, 'impression', '2', 240408817L, datetime.datetime(2013, 5, 15, 3, 25, 22), 0.136009361137868, False, 'best']
['francine-grant', 202539285, 'impression', '5', 240412048L, datetime.datetime(2013, 5, 15, 3, 25, 22), 0.120009857740472, False, 'best']
['francine-grant', 202539285, 'impression', '3', 240409659L, datetime.datetime(2013, 5, 15, 3, 25, 22), 0.189130841737121, False, 'best']
['francine-grant', 202539285, 'impression', '2', 240408817L, datetime.datetime(2013, 5, 15, 3, 25, 24), 0.136009361137868, False, 'best']
['francine-grant', 202539285, 'expand_tile', '1', 240408626L, datetime.datetime(2013, 5, 15, 3, 25, 26), 0.100507559059422, False, 'best']
['francine-grant', 202539285, 'view_full_application', '1', 240408626L, datetime.datetime(2013, 5, 15, 3, 25, 39), 0.100507559059422, False, 'best']

['francine-grant', 202539285, 'impression', '4', 240409799L, datetime.datetime(2013, 5, 15, 4, 34, 1), 0.165572821054577, False, 'best']
['francine-grant', 202539285, 'impression', '6', 240413128L, datetime.datetime(2013, 5, 15, 4, 34, 1), 0.111963715785197, False, 'best']
['francine-grant', 202539285, 'impression', '1', 240408626L, datetime.datetime(2013, 5, 15, 4, 34, 1), 0.100507559059422, False, 'best']
['francine-grant', 202539285, 'impression', '5', 240412048L, datetime.datetime(2013, 5, 15, 4, 34, 1), 0.120009857740472, False, 'best']
['francine-grant', 202539285, 'impression', '3', 240409659L, datetime.datetime(2013, 5, 15, 4, 34, 1), 0.189130841737121, False, 'best']
['francine-grant', 202539285, 'impression', '7', 240413867L, datetime.datetime(2013, 5, 15, 4, 34, 1), 0.238079025449974, False, 'best']
['francine-grant', 202539285, 'impression', '2', 240408817L, datetime.datetime(2013, 5, 15, 4, 34, 1), 0.136009361137868, False, 'best']
['francine-grant', 202539285, 'expand_tile', '7', 240413867L, datetime.datetime(2013, 5, 15, 4, 34, 34), 0.238079025449974, False, 'best']
['francine-grant', 202539285, 'view_full_application', '7', 240413867L, datetime.datetime(2013, 5, 15, 4, 35, 7), 0.238079025449974, False, 'best']
['francine-grant', 202539285, 'impression', '1', 240408626L, datetime.datetime(2013, 5, 15, 4, 36, 24), 0.100507559059422, False, 'best']
['francine-grant', 202539285, 'impression', '6', 240413128L, datetime.datetime(2013, 5, 15, 4, 36, 24), 0.111963715785197, False, 'best']
['francine-grant', 202539285, 'impression', '4', 240409799L, datetime.datetime(2013, 5, 15, 4, 36, 24), 0.165572821054577, False, 'best']
['francine-grant', 202539285, 'impression', '2', 240408817L, datetime.datetime(2013, 5, 15, 4, 36, 24), 0.136009361137868, False, 'best']
