['gabor__o', 202593590, 'impression', '1', 241559016L, datetime.datetime(2013, 5, 29, 7, 36, 34), 0.0328395235580328, True, 'best']
['gabor__o', 202593590, 'view_full_application_via_name', '1', 241559016L, datetime.datetime(2013, 5, 29, 7, 36, 35), 0.0328395235580328, True, 'best']
['gabor__o', 202593590, 'view_full_application_via_name', '1', 241559016L, datetime.datetime(2013, 5, 29, 7, 36, 37), 0.0328395235580328, True, 'best']

['gabor__o', 202593590, 'impression', '7', 241562912L, datetime.datetime(2013, 5, 29, 11, 43, 56), 0.0845554480689804, False, 'best']
['gabor__o', 202593590, 'impression', '6', 241560186L, datetime.datetime(2013, 5, 29, 11, 43, 56), 0.0857805589661787, False, 'best']
['gabor__o', 202593590, 'impression', '19', 241569148L, datetime.datetime(2013, 5, 29, 11, 43, 56), 0.056024639857421, False, 'best']
['gabor__o', 202593590, 'impression', '17', 241560460L, datetime.datetime(2013, 5, 29, 11, 43, 56), 0.0597226209913629, False, 'best']
['gabor__o', 202593590, 'impression', '2', 241562717L, datetime.datetime(2013, 5, 29, 11, 43, 56), 0.106199874767817, False, 'best']
['gabor__o', 202593590, 'impression', '14', 241568093L, datetime.datetime(2013, 5, 29, 11, 43, 56), 0.0649387451679085, False, 'best']
['gabor__o', 202593590, 'impression', '3', 241562579L, datetime.datetime(2013, 5, 29, 11, 43, 56), 0.0998735414911896, False, 'best']
['gabor__o', 202593590, 'impression', '12', 241560523L, datetime.datetime(2013, 5, 29, 11, 43, 56), 0.066648217706547, False, 'best']
['gabor__o', 202593590, 'impression', '18', 241561300L, datetime.datetime(2013, 5, 29, 11, 43, 56), 0.0581443684409485, False, 'best']
['gabor__o', 202593590, 'impression', '15', 241560571L, datetime.datetime(2013, 5, 29, 11, 43, 56), 0.0613360013031344, False, 'best']
['gabor__o', 202593590, 'impression', '8', 241562918L, datetime.datetime(2013, 5, 29, 11, 43, 56), 0.0801100964062223, False, 'best']
['gabor__o', 202593590, 'impression', '20', 241560456L, datetime.datetime(2013, 5, 29, 11, 43, 56), 0.048451689204575, False, 'best']
['gabor__o', 202593590, 'impression', '4', 241573487L, datetime.datetime(2013, 5, 29, 11, 43, 56), 0.0989563324674659, False, 'best']
['gabor__o', 202593590, 'impression', '1', 241560415L, datetime.datetime(2013, 5, 29, 11, 43, 56), 0.183624765140392, False, 'best']
['gabor__o', 202593590, 'impression', '10', 241559758L, datetime.datetime(2013, 5, 29, 11, 43, 56), 0.0727397471543393, False, 'best']
['gabor__o', 202593590, 'impression', '13', 241570624L, datetime.datetime(2013, 5, 29, 11, 43, 56), 0.0663390348309135, False, 'best']
['gabor__o', 202593590, 'impression', '11', 241559660L, datetime.datetime(2013, 5, 29, 11, 43, 56), 0.0717606167920154, False, 'best']
['gabor__o', 202593590, 'impression', '5', 241562529L, datetime.datetime(2013, 5, 29, 11, 43, 56), 0.09789441693186, False, 'best']
['gabor__o', 202593590, 'impression', '9', 241565550L, datetime.datetime(2013, 5, 29, 11, 43, 56), 0.074077838181839, False, 'best']
['gabor__o', 202593590, 'impression', '16', 241564112L, datetime.datetime(2013, 5, 29, 11, 43, 56), 0.0598859909468949, False, 'best']

