['garvin-nathaniel', 202594136, 'impression', '3', 241573662L, datetime.datetime(2013, 5, 29, 11, 18, 49), 0.0719350969962555, False, 'best']
['garvin-nathaniel', 202594136, 'impression', '2', 241573679L, datetime.datetime(2013, 5, 29, 11, 18, 49), 0.103571415141858, False, 'best']
['garvin-nathaniel', 202594136, 'impression', '1', 241573912L, datetime.datetime(2013, 5, 29, 11, 18, 49), 0.161761824990924, False, 'best']
['garvin-nathaniel', 202594136, 'impression', '2', 241573679L, datetime.datetime(2013, 5, 29, 11, 19, 53), 0.103571415141858, False, 'best']
['garvin-nathaniel', 202594136, 'expand_tile', '1', 241573912L, datetime.datetime(2013, 5, 29, 11, 19, 54), 0.161761824990924, False, 'best']
['garvin-nathaniel', 202594136, 'expand_tile', '2', 241573679L, datetime.datetime(2013, 5, 29, 11, 20, 41), 0.103571415141858, False, 'best']
['garvin-nathaniel', 202594136, 'impression', '3', 241573662L, datetime.datetime(2013, 5, 29, 11, 21, 5), 0.0719350969962555, False, 'best']
['garvin-nathaniel', 202594136, 'expand_tile', '3', 241573662L, datetime.datetime(2013, 5, 29, 11, 21, 8), 0.0719350969962555, False, 'best']
['garvin-nathaniel', 202594136, 'collapse_tile', '2', 241573679L, datetime.datetime(2013, 5, 29, 11, 21, 30), 0.103571415141858, False, 'best']

['garvin-nathaniel', 202594136, 'impression', '4', 241573679L, datetime.datetime(2013, 5, 29, 12, 24, 45), 0.103571415141858, False, 'best']
['garvin-nathaniel', 202594136, 'impression', '2', 241573912L, datetime.datetime(2013, 5, 29, 12, 24, 45), 0.161761824990924, False, 'best']
['garvin-nathaniel', 202594136, 'impression', '5', 241575977L, datetime.datetime(2013, 5, 29, 12, 24, 45), 0.0958347679574493, False, 'best']
['garvin-nathaniel', 202594136, 'impression', '6', 241573662L, datetime.datetime(2013, 5, 29, 12, 24, 45), 0.0719350969962555, False, 'best']
['garvin-nathaniel', 202594136, 'impression', '3', 241576549L, datetime.datetime(2013, 5, 29, 12, 24, 45), 0.148078732873013, False, 'best']
['garvin-nathaniel', 202594136, 'impression', '1', 241578436L, datetime.datetime(2013, 5, 29, 12, 24, 45), 0.336929224349291, False, 'best']
['garvin-nathaniel', 202594136, 'expand_tile', '5', 241575977L, datetime.datetime(2013, 5, 29, 12, 27, 20), 0.0958347679574493, False, 'best']
['garvin-nathaniel', 202594136, 'view_full_application', '5', 241575977L, datetime.datetime(2013, 5, 29, 12, 27, 31), 0.0958347679574493, False, 'best']
['garvin-nathaniel', 202594136, 'impression', '5', 241575977L, datetime.datetime(2013, 5, 29, 12, 28, 3), 0.0958347679574493, False, 'best']
['garvin-nathaniel', 202594136, 'impression', '1', 241578436L, datetime.datetime(2013, 5, 29, 12, 28, 3), 0.336929224349291, False, 'best']
['garvin-nathaniel', 202594136, 'impression', '2', 241573912L, datetime.datetime(2013, 5, 29, 12, 28, 3), 0.161761824990924, False, 'best']
['garvin-nathaniel', 202594136, 'impression', '3', 241576549L, datetime.datetime(2013, 5, 29, 12, 28, 3), 0.148078732873013, False, 'best']
['garvin-nathaniel', 202594136, 'impression', '6', 241573662L, datetime.datetime(2013, 5, 29, 12, 28, 3), 0.0719350969962555, False, 'best']
['garvin-nathaniel', 202594136, 'impression', '4', 241573679L, datetime.datetime(2013, 5, 29, 12, 28, 3), 0.103571415141858, False, 'best']
